symbol,n_trades,total_ret,win_rate,avg_pnl,avg_win,avg_loss,sharpe,max_dd,avg_hold_s
1INCHUSDT,2,-0.030544902907084892,0.015536723163841809,-0.0062196546419985834,3.609302400000004e-05,-0.006318382366999996,-1.403155263958852,0.0,184977.9661016949
CHILLGUYUSDT,1,-0.013518229719034491,0.0,-0.0007494327251999998,0.0,-0.0007494327251999998,,0.0,1177200.0000000002
CKBUSDT,2,-0.012764571256715151,0.0,-4.568849029051501e-05,0.0,-4.568849029051501e-05,-1.4330064558524422,-8.370624454423492e-05,1013052.3605150215
ACTUSDT,1,-0.004681053802042201,0.0,-0.00018194417279999986,0.0,-0.00018194417279999986,,0.0,1083600.0
ARCUSDT,1,-0.0038201602580774097,0.0,-9.892268100000002e-05,0.0,-9.892268100000002e-05,,0.0,1188000.0
COMPUSDT,2,-0.003179796752006636,0.15172413793103448,-0.11195026587034476,0.0012727198000000088,-0.13220153159999992,-1.394752338266868,0.0,699318.6206896552
SYNUSDT,3,-0.0026123643162068166,0.014999999999999998,-0.00025627290113499983,2.252622000000004e-06,-0.0002602098380355328,-1.2436246233071107,-0.0025856824533073697,426852.00000000006
COOKIEUSDT,1,-0.0045523425045057575,0.0,-0.00072426172,0.0,-0.00072426172,,0.0,1188000.0
COWUSDT,1,-0.011886344406680793,0.0,-0.0037240595749999986,0.0,-0.0037240595749999986,,0.0,669599.9999999999
SWELLUSDT,4,-0.0036603134166344198,0.1847389558232932,-2.5149384675100387e-05,5.175150089130436e-06,-3.202095412906402e-05,-0.9413408406029163,-5.118855646235598e-05,417224.09638554225
CRVUSDT,2,-0.005664081989284253,0.14965986394557823,-0.002798530486938775,0.00036400936000000007,-0.0033551375,-1.2231682777822213,0.0,635387.7551020408
CTKUSDT,2,-0.006322824985753761,0.12015503875968991,-0.0017851567866666667,0.00010524140399999993,-0.0020433168920000002,-1.30712219169472,0.0,824567.4418604652
SUSHIUSDT,2,-0.0034045020904672763,0.004761904761904762,-0.002175989233042855,1.7419987000000014e-05,-0.002186484013999998,-1.3951672785150622,0.0,718971.4285714285
DIAUSDT,2,0.00013304826877269527,0.23870967741935484,-0.0004617190386838708,0.0013268574440000003,-0.0010225438679999999,0.03619552082348213,0.0,768402.5806451613
STRKUSDT,2,-0.0027779373490987025,0.038277511961722493,-0.0003181209215885165,9.29306400000003e-06,-0.00033115232399999977,-1.347521998695108,0.0,494267.94258373213
ARBUSDT,2,-0.005614259916526532,0.020761245674740483,-0.0018625643971695491,1.688901600000002e-05,-0.001902411465999999,-1.39382117495932,0.0,219911.4186851211
DOGEUSDT,3,-0.012724917445185557,0.001774622892635315,-0.0011654135087299016,4.378878200000003e-06,-0.0011674931396399991,-2.415604765129792,-0.005888080317689837,339409.4055013309
DOGSUSDT,3,-0.00654224841868889,0.008159564823209427,-2.666977957116957e-07,1.175435999999994e-09,-2.6890150602742263e-07,-1.4247340106908972,-0.0006376980995188575,401587.6699909338
ENSUSDT,4,-0.008657998839007308,0.24738675958188153,-0.12764655989930315,0.0019680558797183093,-0.17025136416000003,-1.1306706170400633,0.0,529312.8919860628
API3USDT,1,-0.010815893647691976,0.0,-0.006807723030000001,0.0,-0.006807723030000001,,0.0,1101600.0
ENAUSDT,4,-0.04361264588994318,0.0,-0.009638734543017169,0.0,-0.009638734543017169,-1.388080208708126,-0.03806626892617049,552094.5454545454
EIGENUSDT,3,-0.002418010339070076,0.5334608030592733,-0.00023319115645697744,0.006286796265652334,-0.007688422676,-0.31249980284515244,0.0,585629.82791587
DYMUSDT,4,-0.005108115545550462,0.005555555555555556,-0.0006296808887499987,2.6218350000000055e-06,-0.0006332133062011162,-1.8824556823183047,-0.001960215576713331,349113.33333333326
DYDXUSDT,4,-0.0035055732737683254,0.7261538461538463,-1.9642071507691278e-05,0.001144623514576272,-0.0031069081199999976,-0.609061073266016,0.0,363031.3846153846
THETAUSDT,4,-0.008779588423460272,0.06666666666666667,-0.0024273473660084838,6.256489507272744e-05,-0.002605198241799999,-1.3445444870012329,-0.001103504512418807,355370.1818181818
APTUSDT,2,-0.0046400324316245856,0.0,-0.014703626638865664,0.0,-0.014703626638865664,-2.089724400700578,-0.0007504256062157433,972805.9701492537
DRIFTUSDT,2,-0.03171736573255246,0.0,-0.011798840454728812,0.0,-0.011798840454728812,-1.4235179608296664,-0.00010366623853996781,1030332.2033898304
DOTUSDT,6,-0.000747609771057034,0.6024518388791593,0.000158150306900182,0.0038755600085755865,-0.005475281135286334,-0.38334132143872535,-0.0001836227408551494,197035.37653239933
ACXUSDT,4,-0.011345823219469309,0.04452054794520548,-0.0011483194676147237,1.7066637250000065e-05,-0.00120262061228584,-1.5749993631992096,-0.008710155941199504,401689.72602739726
DOODUSDT,2,-0.021148200796636374,0.0,-4.978534744092637e-05,0.0,-4.978534744092637e-05,-1.4257695651840079,-8.57114423037375e-05,531960.736196319
DOLOUSDT,4,-0.009806645368076183,0.0,-0.0002368281668582468,0.0,-0.0002368281668582468,-1.4664989239713548,-0.0016024822973483843,337055.8441558441
SSVUSDT,2,-0.007818921495245101,0.1305732484076433,-0.055524541242324796,0.006184820070000006,-0.06479224751999996,-1.2235504437588154,0.0,609924.8407643313
SOPHUSDT,4,-0.0030742255841683663,0.18140589569160998,-7.016946008192724e-05,1.2209590400000025e-05,-8.842520534108009e-05,-1.1541986671104598,-0.0003004299511899511,169975.51020408163
CHESSUSDT,3,-0.0012797417377400366,0.8202247191011236,3.06724680498134e-05,7.807773885525185e-05,-0.0001856140799999996,-0.48234905574013315,-0.0025218254338088553,409692.1348314607
CFXUSDT,4,-0.004186689066394078,0.19212962962962962,-0.0005133567555317128,0.000595186330185542,-0.0007769930767767907,-0.3477415157969375,-1.4635831324660842e-08,300033.3333333334
TIAUSDT,4,-0.006615207968968417,0.03655913978494624,-0.00597117671334622,0.0002434463240000004,-0.0062069994625312324,-2.0120448217238436,-0.0033990490398300155,265881.29032258067
ARUSDT,3,-0.013234069860179276,0.006091370558375634,-0.040025678182568504,0.0005247970199999998,-0.0402741999917773,-2.233981080671772,-0.005108459579907909,260186.80203045686
BIOUSDT,1,-0.006466450389454148,0.0,-0.0003475684016999997,0.0,-0.0003475684016999997,,0.0,457200.0
XCNUSDT,2,-0.006497373815788077,0.008849557522123894,-8.888194228141586e-05,6.148517999999998e-07,-8.968102079999994e-05,-1.3982692268095864,0.0,248431.85840707965
BIGTIMEUSDT,1,-0.007350778728601459,0.0,-0.00038628256859999955,0.0,-0.00038628256859999955,,0.0,1090800.0
BIDUSDT,4,-0.0011084421274607514,0.4170403587443946,-4.67172665116592e-05,5.165398559999999e-05,-0.00011709054686846153,-0.8107954324809835,-0.001536491054363931,270371.3004484304
XLMUSDT,1,5.776113268463057e-05,1.0,2.2392973499999998e-05,2.2392973499999998e-05,0.0,,0.0,1098000.0
WLDUSDT,2,-0.018667489358125455,0.0,-0.016055889468354567,0.0,-0.016055889468354567,-1.427874689380999,-8.930812110596875e-05,1166569.5290858725
BERAUSDT,4,-0.010158870918939411,0.0,-0.011821894519807162,0.0,-0.011821894519807162,-1.257324407940859,-0.0006242533821489982,545642.9752066114
ATOMUSDT,4,-0.004329262388750754,0.5030959752321982,-0.006833486624241477,0.003209344497630774,-0.017001462059158867,-1.0435113184852693,-0.00030677921624311377,487131.2693498452
XRPUSDT,8,-0.004557915238874832,0.2077669902912621,-0.007513968264095137,0.0008795528821775719,-0.009715210329416656,-0.9577868801502498,-6.461299041127244e-05,195658.25242718443
BBUSDT,2,-0.01061981206276319,0.049019607843137254,-0.0008282444143147059,2.1673736999999983e-05,-0.0008720546283000001,-1.364347607106876,0.0,227823.5294117647
BANKUSDT,4,0.001548219635986392,1.0,4.994932301682633e-05,4.994932301682633e-05,0.0,1.7842232749873868,0.0,316312.5842696629
AAVEUSDT,3,0.0012096879442455855,0.5255157437567861,0.32157462246460605,1.2787044776000023,-0.738495972239128,0.25311548947564133,-5.2063794229395555e-05,574405.2117263845
BANANAUSDT,4,-0.005674987265346432,0.10416666666666667,-0.07970102965531246,0.0029495819250000034,-0.08931156588558135,-1.1970142701383424,-0.0003580007982908473,436775.0
BCHUSDT,1,-0.0006529080003632171,0.0,-0.3187303671000013,0.0,-0.3187303671000013,,0.0,1296000.0
SIGNUSDT,2,-0.00627223126136689,0.1896551724137931,-0.0003345804583448275,2.528674500000022e-06,-0.0004134783404999999,-1.4031257368367391,0.0,1034565.5172413794
BLURUSDT,2,-0.01443526464160838,0.0,-0.0010313763386842107,0.0,-0.0010313763386842107,-1.416923295360846,-1.3803235619391785e-05,1033957.8947368421
VINEUSDT,1,-0.011578386555557652,0.0,-0.00033875147759999984,0.0,-0.00033875147759999984,,0.0,903600.0
CELOUSDT,7,-0.007828918998268652,0.1409813407049067,-0.0011965319459502426,7.931415401960826e-05,-0.0014059226172244577,-1.4545930730289953,-0.00778827622513989,229489.42639944717
ARKMUSDT,3,-0.006854503099145259,0.04587155963302752,-0.0014081111713710507,7.717603499999969e-05,-0.0014795192101388897,-1.9911509305935906,-0.002249125409437891,361666.0550458716
TRUMPUSDT,1,-0.0031569713636313557,0.0,-0.02760247419999999,0.0,-0.02760247419999999,,0.0,1296000.0
CATIUSDT,2,-0.0066849990288787575,0.0,-0.000565520773269662,0.0,-0.000565520773269662,-1.4177834880419713,-8.416359209784119e-06,603758.4269662921
CAKEUSDT,2,-0.004239319840911304,0.0,-0.009680684716082525,0.0,-0.009680684716082525,-1.4184997555041903,-6.404886471522708e-06,1214842.718446602
TURBOUSDT,3,-0.007692995446419437,0.5189309576837418,-1.2274574948040076e-05,1.015992166200002e-05,-3.647474953201851e-05,-0.8919174104708136,-4.895053838160912e-06,442832.0712694878
BNBUSDT,4,-0.0029414815610085965,0.05607476635514018,-1.581445094177257,0.02078481420000012,-1.6766270689323421,-1.1852843370533426,-8.458160213420385e-05,696571.9626168223
BTCUSDT,1,-0.002347212332594495,0.0,-253.1554935409998,0.0,-253.1554935409998,,0.0,1292400.0
BRUSDT,2,0.0008958590066783234,0.967741935483871,6.228440178064516e-05,6.4360425e-05,3.7051999999995752e-09,1.414061326311776,0.0,762967.741935484
ARKUSDT,4,-0.016636472788074896,0.0,-0.006246267498478722,0.0,-0.006246267498478722,-1.1861404268778275,-0.000332341526701474,284160.63829787227
ACHUSDT,4,-0.01878603949756852,0.005420054200542005,-0.0002576783691823216,4.0995258000000104e-07,-0.0002590848450502362,-1.6684036092641237,-0.013866646345557121,284370.73170731706
USUALUSDT,3,-0.002271795521814002,0.7604355716878404,3.697531067876645e-05,0.0001479784993412894,-0.0003153757199999996,-0.4911108544963267,0.0,272136.4791288566
BRETTUSDT,6,-0.00701695742629449,0.04233301975540922,-0.00014179524240216383,4.934337546666675e-06,-0.00014828132403055025,-1.5891089737549173,-0.002512840701774488,162406.39698965193
BOMEUSDT,2,-0.01077433438883968,0.0,-1.6573405895300744e-05,0.0,-1.6573405895300744e-05,-1.4400552106424906,-9.668144570684767e-05,711771.4285714285
BSVUSDT,2,-0.003693809972553086,0.041379310344827586,-0.0906306795931034,0.0033625152000000026,-0.09468793979999995,-1.3299262171567776,0.0,695842.7586206896
EPICUSDT,2,-0.00542863820978734,0.16844919786096255,-0.0065692947403983935,0.006839978481,-0.009285642691999997,-0.427590507844134,0.0,666259.8930481282
ETCUSDT,2,-0.00428030756720843,0.18260869565217389,-0.06714720275086955,0.01428936453000002,-0.08534047841999999,-1.0660442963374488,0.0,688789.5652173912
ADAUSDT,6,-0.0037251693153969034,0.23324396782841822,-0.001334125119217158,0.00022276223855172548,-0.0018077237210559443,-1.1527407318789074,-0.000432459489185244,212274.5308310992
JASMYUSDT,6,-0.008299174367206397,0.04217791411042945,-2.7854122932377028e-05,4.3449935727273146e-07,-2.909981886987161e-05,-1.292295606441813,-0.0011535098601952454,218332.82208588955
IOTAUSDT,2,-0.0014003033691226685,0.11842105263157895,-0.0002930670771710523,0.00012979947600000004,-0.0003498700469999996,-0.7095731559528321,0.0,318552.63157894736
ONDOUSDT,4,-0.0089781759980192,0.049418604651162795,-0.0032557509315232535,2.4106850000000255e-05,-0.003426263415577979,-1.5756950303032957,-0.001954485595207389,499761.62790697685
INJUSDT,6,-0.012490255873870537,0.007036059806508355,-0.09600035295977116,0.00010934288625000058,-0.09668137826248877,-1.4125433433007537,-0.010063044333385784,413635.8839050132
AIXBTUSDT,1,-0.0015733746744909238,0.0,-0.0002075260099999992,0.0,-0.0002075260099999992,,0.0,1296000.0
ORDIUSDT,4,-0.016199116769092914,0.0,-0.0489103279435443,0.0,-0.0489103279435443,-1.5987400969064924,-0.003522520149432773,364573.53279631754
AEVOUSDT,2,-0.007193643300259289,0.017910447761194027,-0.0006253895688746267,5.959464e-06,-0.0006369035329999999,-1.393001186273195,0.0,216333.1343283582
INITUSDT,3,-0.0086032483924402,0.042918454935622324,-0.00273062643865236,4.0524840000000066e-05,-0.0028548933121345286,-1.2193533900749112,-5.8856408910679114e-05,224204.29184549357
HUMAUSDT,4,-0.01428224223449015,0.0,-0.00029686627202840974,0.0,-0.00029686627202840974,-1.8298296322892162,-0.00978019587515988,666403.2520325202
AEROUSDT,1,-0.009029781133248482,0.0,-0.006403527564000001,0.0,-0.006403527564000001,,0.0,676800.0
HOTUSDT,2,-0.009928230545826366,0.02766798418972332,-8.26665599245059e-06,1.1391170000000042e-08,-8.502210179999997e-06,-1.4117205836208961,0.0,956803.162055336
PENDLEUSDT,4,-0.008775426467665826,0.008445945945945946,-0.015755252387537166,3.202722499999977e-05,-0.01588972666021636,-1.6826899912331266,-0.0023881521482094215,501147.97297297296
HMSTRUSDT,2,-0.010160989676012755,0.0,-5.921340315295695e-06,0.0,-5.921340315295695e-06,-1.4280230185756115,-4.9132472389579185e-05,590370.9677419355
HIPPOUSDT,2,-0.005884153579219453,0.05090909090909091,-1.052334480614545e-05,6.769214199999999e-07,-1.1124125369999994e-05,-1.2826060135336115,0.0,432772.36363636365
ICPUSDT,4,-0.0014355035862456678,0.7016197783461211,0.012900187463128746,0.028355428020000007,-0.023441706760599968,-0.18576931994325727,-6.697301381397569e-05,392995.39641943737
ALGOUSDT,4,-0.013048642196933802,0.039577836411609495,-0.0018030242985725593,1.0673928466666683e-05,-0.0018777646101263738,-1.248495768280326,-0.0008400197036402268,337944.06332453823
JTOUSDT,2,-0.006526163095645132,0.0,-0.011814231788455918,0.0,-0.011814231788455918,-1.4376049136204598,-5.3096581613676364e-05,1078467.506297229
AIOTUSDT,2,0.006352702086391604,0.3938053097345132,0.0004518166033942479,0.0019655746476,-0.0005315736588999997,0.7035970593568711,0.0,469768.14159292035
MINAUSDT,5,-0.00920258356173742,0.005952380952380953,-0.0008743306913299302,5.26115228571429e-06,-0.0008795977083575689,-1.8270820385643431,-0.005529893251047913,220607.14285714284
MOVEUSDT,1,0.0003364709495101703,1.0,5.336433000000048e-05,5.336433000000048e-05,0.0,,0.0,1270800.0
MEUSDT,1,-0.010163544099778155,0.0,-0.007573250222999999,0.0,-0.007573250222999999,,0.0,1101600.0
MERLUSDT,6,-4.799868427807219e-05,0.5397260273972604,4.637693455726047e-05,0.00014943804052766507,-7.447448137232116e-05,-0.029930645931144945,-0.0005602665715537247,308598.9041095891
