symbol,entry_time,entry_price,exit_time,exit_price,signal,score,position_size,pnl,ret,holding_s
1INCHUSDT,2025-07-09 13:00:00,0.20653802000000002,2025-07-11 15:00:00,0.29718912999999997,-1,-0.2950792659406329,0.0697,-0.006318382366999996,-0.4399076161376968,180000.0
1INCHUSDT,2025-07-11 15:00:00,0.29718912999999997,2025-07-17 10:00:00,0.33000097,1,0.09423410829232769,0.0011,3.609302400000004e-05,0.10940726826045097,500400.0
CHILLGUYUSDT,2025-07-09 16:00:00,0.055553329000000005,2025-07-23 07:00:00,0.082414717,-1,-0.17386600509575237,0.0279,-0.0007494327251999998,-0.4845243626894077,1177200.0
CKBUSDT,2025-07-09 17:00:00,0.0037858639000000003,2025-07-22 00:00:00,0.0059447829,-1,-0.156570593891972,0.0222,-4.7928001799999995e-05,-0.5712579535413304,1062000.0
CKBUSDT,2025-07-22 00:00:00,0.0059447829,2025-07-22 07:00:00,0.00549835,1,0.09449103251737342,0.0011,-4.9107619e-07,-0.07609658594933719,25200.0
ACTUSDT,2025-07-09 16:00:00,0.039028288,2025-07-22 05:00:00,0.048504546999999995,-1,-0.14782840681039675,0.0192,-0.00018194417279999986,-0.24380488552303378,1083600.0
ARCUSDT,2025-07-09 13:00:00,0.0259922,2025-07-23 07:00:00,0.03290987,-1,-0.13366353671388392,0.0143,-9.892268100000002e-05,-0.26714407399142825,1188000.0
COMPUSDT,2025-07-09 13:00:00,41.447562000000005,2025-07-18 04:00:00,52.195654,-1,-0.12724229590252334,0.0123,-0.13220153159999992,-0.2603178339415957,745200.0
COMPUSDT,2025-07-18 04:00:00,52.195654,2025-07-23 07:00:00,52.774163,1,0.09755417856483758,0.0022,0.0012727198000000088,0.010083470665967782,442800.0
SYNUSDT,2025-07-11 15:00:00,0.12853855,2025-07-18 04:00:00,0.12736178,1,0.1035328730962181,0.0041,-4.824756999999974e-06,-0.010154996691653935,565200.0
SYNUSDT,2025-07-18 04:00:00,0.12736178,2025-07-22 18:00:00,0.14834449,-1,-0.13717715154964993,0.0156,-0.0003273302759999998,-0.16574887521201406,396000.0
SYNUSDT,2025-07-22 18:00:00,0.14834449,2025-07-24 09:00:00,0.15585323,1,0.09280302821096346,0.0003,2.252622000000004e-06,0.04961691202686405,140400.0
COOKIEUSDT,2025-07-09 13:00:00,0.15955212,2025-07-23 07:00:00,0.21526456,-1,-0.12966673926529193,0.013,-0.00072426172,-0.3501801926542875,1188000.0
COWUSDT,2025-07-09 18:00:00,0.31400577,2025-07-17 12:00:00,0.45453632,-1,-0.16905936029605256,0.0265,-0.003724059574999999,-0.44854129836531337,669600.0
SWELLUSDT,2025-07-09 13:00:00,0.008847345000000001,2025-07-14 17:00:00,0.011013303,-1,-0.14237828639480424,0.0173,-3.747107339999998e-05,-0.24581446128753867,446400.0
SWELLUSDT,2025-07-14 17:00:00,0.011013303,2025-07-19 23:00:00,0.01289613,1,0.10175100979258567,0.0035,6.5898945e-06,0.16995933890132686,453600.0
SWELLUSDT,2025-07-19 23:00:00,0.01289613,2025-07-20 15:00:00,0.012283684,-1,-0.09789247114279659,0.0011,6.73690600000001e-07,0.04649068131292107,57600.0
SWELLUSDT,2025-07-20 15:00:00,0.012283684,2025-07-24 13:00:00,0.012086373000000001,1,0.1000592982430656,0.003,-5.919329999999959e-07,-0.01706285215412564,338400.0
CRVUSDT,2025-07-09 13:00:00,0.5508347,2025-07-16 20:00:00,0.8192457,-1,-0.12803299371615645,0.0125,-0.0033551374999999995,-0.48828048541604213,630000.0
CRVUSDT,2025-07-16 20:00:00,0.8192457,2025-07-24 13:00:00,0.9847045,1,0.09767852209081836,0.0022,0.00036400936000000007,0.20096480738318193,666000.0
CTKUSDT,2025-07-11 00:00:00,0.31160649,2025-07-21 15:00:00,0.40162045,-1,-0.15797960283919868,0.0227,-0.0020433168920000002,-0.28987062012090953,918000.0
CTKUSDT,2025-07-21 15:00:00,0.40162045,2025-07-23 06:00:00,0.43556929,1,0.10032598272747192,0.0031,0.00010524140399999993,0.08352965978201553,140400.0
SUSHIUSDT,2025-07-09 13:00:00,0.6418074,2025-07-17 21:00:00,0.7464238599999999,-1,-0.15269507260690507,0.0209,-0.002186484013999998,-0.16400288840546232,720000.0
SUSHIUSDT,2025-07-17 21:00:00,0.7464238599999999,2025-07-23 17:00:00,0.9206237300000001,1,0.09130084916595309,0.0001,1.7419987000000014e-05,0.23237928934908397,504000.0
DIAUSDT,2025-07-09 13:00:00,0.38378483,2025-07-19 17:00:00,0.47044109,-1,-0.12597678735897,0.0118,-0.0010225438679999999,-0.22679386475489402,878400.0
DIAUSDT,2025-07-19 17:00:00,0.47044109,2025-07-24 13:00:00,0.82905121,1,0.10214017566663731,0.0037,0.0013268574440000003,0.7612848590883081,417600.0
STRKUSDT,2025-07-09 13:00:00,0.11716484,2025-07-15 04:00:00,0.13364008,-1,-0.15053264434516456,0.0201,-0.00033115232399999977,-0.14161590490799106,486000.0
STRKUSDT,2025-07-15 04:00:00,0.13364008,2025-07-23 07:00:00,0.14525641000000003,1,0.09338187591694402,0.0008,9.29306400000003e-06,0.08592250109398346,702000.0
ARBUSDT,2025-07-09 16:00:00,0.33809854,2025-07-12 00:00:00,0.40532155999999997,-1,-0.17416472152507342,0.0283,-0.001902411465999999,-0.19982670892338064,201600.0
ARBUSDT,2025-07-12 00:00:00,0.40532155999999997,2025-07-24 13:00:00,0.43346992,1,0.09448628940403227,0.0006,1.688901600000002e-05,0.06844698426602334,1083600.0
DOGEUSDT,2025-07-09 16:00:00,0.172898115,2025-07-12 10:00:00,0.20217063300000002,-1,-0.20964622511090536,0.0405,-0.0011855369790000011,-0.17030501526867445,237600.0
DOGEUSDT,2025-07-13 05:00:00,0.19899028500000002,2025-07-17 19:00:00,0.2150645,-1,-0.30096626631792744,0.072,-0.0011573434799999982,-0.08177889330124823,396000.0
