open_time,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base,taker_buy_quote,ignore,fg_index
2024-05-01,1.2,1.209,1.086,1.182,3127590.5,1714607999999,3569530.69671,31805,1502806.93,1712261.37436,0,0.54
2024-05-02,1.183,1.221,1.14,1.204,1163378.67,1714694399999,1375038.02932,15050,547955.32,647107.79947,0,0.43
2024-05-03,1.205,1.264,1.169,1.25,1162971.12,1714780799999,1410409.57798,18390,614914.02,746653.73513,0,0.48
2024-05-04,1.249,1.259,1.22,1.222,1013885.23,1714867199999,1253987.20857,13853,523508.47,647860.83106,0,0.67
2024-05-05,1.222,1.278,1.196,1.247,1142713.48,1714953599999,1411195.56863,16056,600982.61,740096.74103,0,0.69
2024-05-06,1.247,1.289,1.205,1.209,1365738.91,1715039999999,1690785.35754,19929,660287.57,817146.33029,0,0.71
2024-05-07,1.209,1.24,1.176,1.178,1540696.89,1715126399999,1865402.89825,17513,796440.25,965777.67644,0,0.68
2024-05-08,1.177,1.243,1.141,1.172,2409162.15,1715212799999,2842364.85447,28239,1236484.94,1459301.40088,0,0.64
2024-05-09,1.172,1.228,1.136,1.222,1225160.95,1715299199999,1445217.71022,16611,618527.8,729844.30405,0,0.55
2024-05-10,1.222,1.236,1.143,1.161,1507458.84,1715385599999,1796732.37332,19829,711519.94,848955.39372,0,0.66
2024-05-11,1.161,1.187,1.124,1.133,792650.75,1715471999999,921261.87556,10322,395524.44,460192.25891,0,0.53
2024-05-12,1.134,1.16,1.117,1.118,874761.81,1715558399999,997196.78279,10941,447604.75,509852.4348,0,0.56
2024-05-13,1.118,1.153,1.06,1.125,1489232.97,1715644799999,1655544.61633,19624,696742.51,773266.13517,0,0.57
2024-05-14,1.124,1.136,1.09,1.093,1334808.59,1715731199999,1486631.11216,19251,613871.39,683991.4357,0,0.66
2024-05-15,1.093,1.172,1.081,1.164,1663259.92,1715817599999,1881914.55125,17287,915070.96,1035230.13106,0,0.64
2024-05-16,1.164,1.188,1.132,1.169,1015010.23,1715903999999,1184585.72733,13799,490270.58,572609.97133,0,0.7
2024-05-17,1.17,1.239,1.157,1.206,1036252.67,1715990399999,1247427.07785,14699,506569.71,609795.81136,0,0.74
2024-05-18,1.205,1.218,1.178,1.197,530173.35,1716076799999,636695.1926,9216,262520.97,315486.69271,0,0.73
2024-05-19,1.197,1.206,1.14,1.149,746566.62,1716163199999,875451.11857,11290,385322.38,452146.37197,0,0.72
2024-05-20,1.149,1.265,1.129,1.258,1910206.23,1716249599999,2329072.61339,24337,968682.63,1182289.14399,0,0.7
2024-05-21,1.258,1.316,1.245,1.281,1781447.89,1716335999999,2282280.90967,21576,891854.46,1143211.91902,0,0.76
2024-05-22,1.281,1.309,1.249,1.278,1284269.33,1716422399999,1644806.61408,17250,655292.69,839199.74098,0,0.76
2024-05-23,1.278,1.303,1.157,1.243,2128671.83,1716508799999,2630044.22255,28026,1061138.43,1311492.08238,0,0.76
2024-05-24,1.242,1.283,1.201,1.282,854798.63,1716595199999,1061789.51292,10324,420314.39,521751.66614,0,0.74
2024-05-25,1.282,1.35,1.279,1.321,1767927.16,1716681599999,2321572.71923,11996,946398.44,1243270.57772,0,0.76
2024-05-26,1.321,1.326,1.277,1.29,1101374.56,1716767999999,1428582.97057,6466,525370.22,681993.77817,0,0.75
2024-05-27,1.289,1.337,1.277,1.306,1181465.14,1716854399999,1543265.31862,9508,548450.87,716590.17959,0,0.74
2024-05-28,1.304,1.31,1.256,1.283,1658498.4,1716940799999,2126961.8588,15008,782115.1,1003938.65102,0,0.72
2024-05-29,1.283,1.322,1.27,1.284,1539861.52,1717027199999,2002543.20478,14621,762922.96,992060.00744,0,0.72
2024-05-30,1.283,1.32,1.233,1.289,1275196.57,1717113599999,1636127.89427,14139,655622.08,842083.4045,0,0.73
2024-05-31,1.287,1.76,1.263,1.612,28700432.93,1717199999999,44389697.96356,275558,14862653.05,22872448.22452,0,0.73
2024-06-01,1.612,1.749,1.515,1.562,14796810.87,1717286399999,23711406.96344,144753,7186454.38,11528131.38153,0,0.72
2024-06-02,1.562,1.682,1.547,1.657,6688403.74,1717372799999,10741159.44845,75591,3303941.17,5315327.04543,0,0.73
2024-06-03,1.656,2.789,1.656,2.355,80020060.67,1717459199999,195039193.2259,1069537,41197186.17,100432607.42618,0,0.73
2024-06-04,2.355,2.385,2.097,2.175,23672519.65,1717545599999,53285452.91923,263203,11566816.28,26013310.83889,0,0.73
2024-06-05,2.176,2.325,2.103,2.183,11717049.17,1717631999999,25662047.49581,156578,5708951.12,12519725.76759,0,0.75
2024-06-06,2.182,2.265,2.036,2.075,6795981.89,1717718399999,14385937.20833,93036,2941892.86,6238424.41939,0,0.78
2024-06-07,2.076,2.111,1.611,1.818,9918143.33,1717804799999,19114219.09444,127757,4743785.99,9141207.25516,0,0.77
2024-06-08,1.819,1.836,1.709,1.728,4400207.3,1717891199999,7821322.45979,48291,1980976.24,3521036.45133,0,0.72
2024-06-09,1.728,1.743,1.687,1.7,3036930.75,1717977599999,5190857.66987,37426,1468523.45,2511616.21503,0,0.75
2024-06-10,1.697,1.697,1.578,1.59,3759937.58,1718063999999,6185409.19448,41213,1790441.0,2949618.10188,0,0.72
2024-06-11,1.589,1.608,1.483,1.526,4546621.61,1718150399999,7054911.03881,48188,2372634.54,3683342.83023,0,0.74
2024-06-12,1.527,1.597,1.487,1.528,3534255.73,1718236799999,5432398.92991,39878,1786190.54,2747311.99334,0,0.72
2024-06-13,1.528,1.547,1.43,1.481,3167624.36,1718323199999,4725491.62769,36355,1538496.41,2301325.77465,0,0.7
2024-06-14,1.481,1.543,1.357,1.401,5066061.45,1718409599999,7436127.15115,52180,2478257.96,3645915.9136,0,0.74
2024-06-15,1.402,1.473,1.377,1.397,2824556.21,1718495999999,4039973.43258,25412,1422451.52,2034326.78773,0,0.74
2024-06-16,1.398,1.43,1.372,1.395,2237694.84,1718582399999,3138817.76627,20312,1065192.15,1495252.12616,0,0.71
2024-06-17,1.394,1.411,1.2,1.244,4751685.01,1718668799999,6196360.68996,45293,2208153.9,2880897.2831,0,0.71
2024-06-18,1.244,1.251,1.026,1.117,5470386.54,1718755199999,6127301.07677,56497,2746174.59,3076322.29585,0,0.74
2024-06-19,1.118,1.177,1.103,1.155,3834047.82,1718841599999,4398990.10968,31304,1758572.86,2016801.01578,0,0.64
2024-06-20,1.155,1.213,1.144,1.171,2829979.9,1718927999999,3334713.21156,31259,1362192.61,1605794.36676,0,0.6
2024-06-21,1.17,1.262,1.157,1.189,5535067.23,1719014399999,6695245.65718,47184,2875681.08,3485229.4481,0,0.63
2024-06-22,1.19,1.19,1.147,1.152,1643785.9,1719100799999,1918877.3498,13706,787310.65,920038.12868,0,0.53
2024-06-23,1.152,1.171,1.082,1.102,1510485.19,1719187199999,1705686.05361,14849,697516.91,788808.14759,0,0.55
2024-06-24,1.102,1.14,1.03,1.131,3564654.16,1719273599999,3929286.78078,33177,1780400.31,1963636.93898,0,0.51
