open_time,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base,taker_buy_quote,ignore,fg_index
2024-05-01,0.06373,0.06441,0.0587,0.06367,44879947.9,1714607999999,2772365.141598,34898,22073401.2,1363123.121415,0,0.54
2024-05-02,0.06362,0.06581,0.0612,0.06476,26924760.3,1714694399999,1720801.67036,19408,13858752.0,885049.78694,0,0.43
2024-05-03,0.06477,0.06952,0.06393,0.06854,34285015.3,1714780799999,2280447.798896,24343,17338521.0,1153513.48301,0,0.48
2024-05-04,0.06855,0.06947,0.06791,0.0683,20200356.2,1714867199999,1386956.389812,17578,9862560.6,676623.482713,0,0.67
2024-05-05,0.06834,0.07096,0.0668,0.06951,25920961.4,1714953599999,1790570.99845,20583,11896445.9,821700.329756,0,0.69
2024-05-06,0.0695,0.07172,0.06793,0.06819,28864918.8,1715039999999,2006353.861617,24424,13739341.0,955183.758508,0,0.71
2024-05-07,0.06821,0.07016,0.06675,0.06686,26068569.6,1715126399999,1785454.206952,19862,12220934.6,836756.32233,0,0.68
2024-05-08,0.06681,0.0726,0.06488,0.06779,71321267.3,1715212799999,4934766.404981,55148,36936748.6,2563056.283009,0,0.64
2024-05-09,0.06782,0.07092,0.06554,0.06964,45602623.0,1715299199999,3126121.398467,34243,22322061.6,1528589.744439,0,0.55
2024-05-10,0.06968,0.07052,0.06445,0.06543,37263018.2,1715385599999,2502716.929713,31672,16179633.4,1089113.824171,0,0.66
2024-05-11,0.06547,0.07885,0.06523,0.07382,266665802.4,1715471999999,19477423.639474,207646,138383949.1,10101442.226569,0,0.53
2024-05-12,0.07384,0.07651,0.07067,0.07309,174041107.7,1715558399999,12715961.700841,182180,87038274.8,6362026.472829,0,0.56
2024-05-13,0.07312,0.074,0.0683,0.06929,65231982.8,1715644799999,4630065.858485,45311,29328127.1,2080519.902237,0,0.57
2024-05-14,0.06931,0.07428,0.06711,0.06748,61110316.9,1715731199999,4344005.70132,53842,29404189.2,2092058.774274,0,0.66
2024-05-15,0.06751,0.07737,0.06729,0.0722,136861884.8,1715817599999,9899357.395812,106974,68457329.5,4942449.021983,0,0.64
2024-05-16,0.07218,0.07389,0.06927,0.07043,48045458.2,1715903999999,3430698.680812,30359,24562275.4,1753791.129069,0,0.7
2024-05-17,0.07049,0.07316,0.06865,0.07172,34529337.6,1715990399999,2463641.010437,25338,16426007.5,1174924.4809,0,0.74
2024-05-18,0.07171,0.07293,0.07061,0.07148,18987152.6,1716076799999,1366492.651819,14934,9496957.9,684001.872793,0,0.73
