open_time,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base,taker_buy_quote,ignore,fg_index
2024-05-01,30.2,30.877,26.521,28.659,2685773.95,1714607999999,76669818.94118,446698,1269083.06,36286209.17074,0,0.54
2024-05-02,28.659,36.196,27.19,34.431,1751640.97,1714694399999,56522994.97505,342781,891492.13,28780645.55938,0,0.43
2024-05-03,34.423,38.2,33.571,34.568,1630544.07,1714780799999,57796294.80475,268163,840064.33,29819527.08938,0,0.48
2024-05-04,34.56,36.859,33.704,35.845,1232899.88,1714867199999,43568040.88776,197991,610912.51,21586185.04382,0,0.67
2024-05-05,35.854,41.7,35.142,40.569,2034927.89,1714953599999,78533022.63828,350520,1061596.18,40906370.81277,0,0.69
2024-05-06,40.564,40.989,37.789,39.781,1431009.96,1715039999999,56323759.9271,249319,699325.23,27518510.34821,0,0.71
2024-05-07,39.78,42.576,37.388,37.781,1290065.54,1715126399999,51654959.65108,206514,645859.57,25870231.30024,0,0.68
2024-05-08,37.765,39.66,36.119,37.347,1008369.76,1715212799999,38029094.59247,203060,479097.95,18076480.63849,0,0.64
2024-05-09,37.347,41.9,37.326,41.207,1376406.17,1715299199999,54988985.81763,246584,703433.63,28132332.41682,0,0.55
2024-05-10,41.207,44.999,40.776,41.543,1818780.18,1715385599999,77674075.5905,353209,934738.05,39997903.87835,0,0.66
2024-05-11,41.539,42.411,39.135,39.888,906946.73,1715471999999,36926641.50269,179737,465393.19,18964531.52708,0,0.53
2024-05-12,39.893,42.91,39.84,41.908,710579.7,1715558399999,29582669.60639,139006,375720.62,15643006.41122,0,0.56
2024-05-13,41.916,42.617,37.423,39.321,1495795.61,1715644799999,58955374.52654,263744,742013.26,29254711.96992,0,0.57
2024-05-14,39.331,40.551,37.725,39.155,859248.81,1715731199999,33567396.73467,180582,420691.31,16464102.95708,0,0.66
2024-05-15,39.208,46.74,38.623,43.777,1609541.38,1715817599999,69804237.45303,308876,855129.42,37095367.99246,0,0.64
2024-05-16,43.768,45.8,42.216,44.322,906069.17,1715903999999,39721995.66481,184321,432923.58,18999861.73557,0,0.7
2024-05-17,44.32,49.205,44.264,47.585,1326384.19,1715990399999,62815927.95069,241591,667518.67,31598500.63464,0,0.74
2024-05-18,47.589,48.608,46.705,46.914,418588.07,1716076799999,19918319.45089,92232,200787.66,9562221.82571,0,0.73
2024-05-19,46.931,48.444,45.587,48.125,478762.67,1716163199999,22470528.36834,110241,227378.28,10684143.43598,0,0.72
2024-05-20,48.116,49.55,46.05,47.526,1139372.79,1716249599999,54695706.73045,237537,586513.01,28178233.8868,0,0.7
2024-05-21,47.538,48.493,43.433,44.353,1423340.22,1716335999999,64250033.51702,253623,671356.77,30312950.99089,0,0.76
2024-05-22,44.347,46.8,43.5,44.777,1086356.24,1716422399999,49092461.66487,202172,534646.33,24177447.34581,0,0.76
2024-05-23,44.773,45.403,40.0,41.175,877201.19,1716508799999,37199051.96092,194716,404168.75,17141830.2168,0,0.76
2024-05-24,41.174,41.408,38.88,40.818,556093.8,1716595199999,22427500.28483,102704,279411.6,11279176.1016,0,0.74
2024-05-25,40.821,41.0,39.743,40.273,282486.44,1716681599999,11429435.85367,50763,143360.53,5805417.00173,0,0.76
2024-05-26,40.269,40.504,38.21,38.434,404033.23,1716767999999,15868957.25719,73101,173951.22,6845900.28343,0,0.75
2024-05-27,38.434,41.5,38.434,40.324,590067.55,1716854399999,23482295.62635,98999,283433.9,11295407.84672,0,0.74
2024-05-28,40.305,41.488,37.721,38.091,943553.16,1716940799999,37201149.57424,177046,462325.25,18263281.57763,0,0.72
2024-05-29,38.097,39.703,36.789,39.067,573222.85,1717027199999,22012079.18271,99869,270582.5,10405794.36537,0,0.72
2024-05-30,39.07,45.0,37.25,44.051,2164230.02,1717113599999,91462172.38937,368678,1058146.8,44751797.10254,0,0.73
2024-05-31,44.051,45.856,42.539,45.296,1107023.26,1717199999999,48692315.03897,211874,525455.98,23142318.21326,0,0.73
2024-06-01,45.296,46.7,42.638,43.131,583613.44,1717286399999,26039699.36236,123597,278613.86,12444108.67038,0,0.72
2024-06-02,43.146,45.711,42.734,43.425,524476.74,1717372799999,23146159.1479,118098,254625.6,11235713.69502,0,0.73
2024-06-03,43.421,44.4,41.879,42.991,546958.28,1717459199999,23495823.58716,109880,266288.85,11433869.50186,0,0.73
2024-06-04,42.991,46.573,42.401,46.283,722625.13,1717545599999,32426181.41408,131536,386024.39,17327345.06597,0,0.73
2024-06-05,46.286,46.459,44.0,44.215,641097.11,1717631999999,28964674.54609,121247,328474.39,14843269.52865,0,0.75
2024-06-06,44.204,44.683,41.326,41.846,517853.12,1717718399999,22265238.22614,83995,254048.55,10928561.48139,0,0.78
2024-06-07,41.857,42.724,34.008,38.957,990335.75,1717804799999,39031575.39573,187618,446886.96,17616982.31733,0,0.77
2024-06-08,38.946,39.661,36.269,36.795,502075.11,1717891199999,19084184.37524,89082,239367.24,9095830.2337,0,0.72
2024-06-09,36.795,38.399,36.332,37.682,307721.14,1717977599999,11510674.83129,60518,148324.13,5551807.33908,0,0.75
2024-06-10,37.679,38.408,36.074,36.578,411717.34,1718063999999,15382420.01984,78045,210799.63,7883467.75959,0,0.72
2024-06-11,36.577,36.744,31.68,33.182,1104438.2,1718150399999,37669220.61772,193175,558027.63,19011910.01098,0,0.74
2024-06-12,33.181,36.351,32.4,34.885,848874.66,1718236799999,29378544.50703,166045,423483.87,14663727.55372,0,0.72
2024-06-13,34.896,35.722,28.514,29.091,1999094.75,1718323199999,61923475.79722,328864,1059210.17,32772406.98632,0,0.7
2024-06-14,29.098,32.184,27.11,28.497,1503281.46,1718409599999,44844619.28514,238076,755690.9,22541543.6658,0,0.74
2024-06-15,28.498,29.483,28.27,28.301,469116.2,1718495999999,13519758.46077,78285,232566.94,6702704.76445,0,0.74
2024-06-16,28.308,29.0,27.726,28.587,333733.27,1718582399999,9442899.6252,58311,170651.27,4831542.85725,0,0.71
2024-06-17,28.584,28.923,26.0,26.542,894756.36,1718668799999,24133673.93373,147769,395496.52,10677552.88175,0,0.71
2024-06-18,26.539,26.676,23.0,25.92,1077600.62,1718755199999,26852551.45563,174312,500984.96,12496571.94646,0,0.74
2024-06-19,25.913,28.823,25.622,27.177,1077825.16,1718841599999,29908700.55196,189360,577941.04,16032995.38878,0,0.64
2024-06-20,27.179,29.347,25.818,26.087,1318809.83,1718927999999,36120041.84745,202404,681282.28,18691251.85582,0,0.6
2024-06-21,26.083,28.249,25.092,27.981,786550.27,1719014399999,20753709.19614,155074,402069.12,10629858.90038,0,0.63
2024-06-22,27.988,28.415,27.128,27.574,514428.8,1719100799999,14271799.45727,108382,251255.19,6972470.44336,0,0.53
2024-06-23,27.575,27.976,25.965,27.142,496446.65,1719187199999,13448269.7155,106578,247668.02,6714120.78685,0,0.55
2024-06-24,27.143,28.765,25.515,28.579,1226296.36,1719273599999,32779395.38319,210318,630053.6,16842215.46944,0,0.51
2024-06-25,28.591,30.704,27.788,28.77,1014577.62,1719359999999,29896215.96871,170940,465425.34,13718246.69913,0,0.3
2024-06-26,28.767,29.312,25.826,26.017,950991.2,1719446399999,26047697.35321,161284,435227.54,11888952.44113,0,0.46
2024-06-27,26.021,27.587,25.736,26.28,771961.04,1719532799999,20557598.67115,123090,369839.97,9850304.20301,0,0.4
2024-06-28,26.281,26.9,25.819,26.587,754863.15,1719619199999,19840199.24159,172123,380835.01,10016821.90751,0,0.47
2024-06-29,26.587,28.045,26.503,27.832,588510.44,1719705599999,16069112.01214,164322,302615.11,8261333.40879,0,0.3
2024-06-30,27.832,28.193,26.94,27.83,547537.16,1719791999999,15105053.58229,117287,274288.49,7567009.46237,0,0.47
