open_time,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base,taker_buy_quote,ignore,fg_index
2024-05-01,8.442,8.805,8.021,8.745,7381291.74,1714607999999,61859451.10473,187730,3738550.67,31367321.5956,0,0.54
2024-05-02,8.742,9.1,8.553,8.647,3350261.26,1714694399999,29396695.24586,97569,1679916.49,14740116.83726,0,0.43
2024-05-03,8.645,8.914,8.536,8.765,1583013.12,1714780799999,13825455.49087,56030,826459.41,7222492.37084,0,0.48
2024-05-04,8.764,8.837,8.65,8.693,1074742.24,1714867199999,9396015.93517,45982,514257.19,4497597.87555,0,0.67
2024-05-05,8.693,9.405,8.617,9.335,2010054.43,1714953599999,18191509.26844,87966,996670.72,9020450.04698,0,0.69
2024-05-06,9.334,9.507,9.179,9.209,2563216.84,1715039999999,24015852.06563,92381,1252340.21,11739177.82866,0,0.71
2024-05-07,9.206,9.392,8.899,8.94,2173277.3,1715126399999,20001428.16394,68256,1005792.84,9261725.99833,0,0.68
2024-05-08,8.938,9.342,8.849,9.086,2538388.86,1715212799999,22987821.23155,77980,1235160.14,11187126.64317,0,0.64
2024-05-09,9.085,9.302,8.875,9.123,1880860.62,1715299199999,17085223.22485,65664,936643.25,8514484.32679,0,0.55
2024-05-10,9.123,9.171,8.615,8.641,1510834.47,1715385599999,13445908.01384,59054,691611.05,6158227.56222,0,0.66
2024-05-11,8.641,8.76,8.491,8.503,899468.89,1715471999999,7756481.67306,42063,423825.72,3657169.85556,0,0.53
2024-05-12,8.505,8.667,8.46,8.476,599377.73,1715558399999,5136682.05196,24518,284153.91,2435324.55106,0,0.56
2024-05-13,8.479,8.681,8.262,8.4,1289015.5,1715644799999,10933571.53675,45494,623868.9,5292812.15611,0,0.57
2024-05-14,8.4,8.448,8.115,8.134,1403381.3,1715731199999,11648136.1577,48445,701513.97,5823005.51227,0,0.66
2024-05-15,8.135,8.53,7.987,8.434,2275979.4,1715817599999,18742823.95975,64252,1202811.18,9908227.82485,0,0.64
2024-05-16,8.434,8.544,8.264,8.533,2000933.49,1715903999999,16861396.1388,53257,1036831.1,8738855.63043,0,0.7
2024-05-17,8.534,8.8,8.452,8.655,2000540.11,1715990399999,17279355.31584,58498,1060924.83,9162226.93222,0,0.74
2024-05-18,8.656,8.737,8.546,8.603,1176198.4,1716076799999,10172356.14352,38135,571409.47,4942630.83912,0,0.73
2024-05-19,8.605,8.606,8.158,8.206,1062725.84,1716163199999,8910834.60691,38515,562075.15,4717609.41412,0,0.72
2024-05-20,8.205,8.962,8.107,8.92,2924601.35,1716249599999,24835479.96455,92233,1616256.0,13720859.85863,0,0.7
2024-05-21,8.919,9.041,8.7,8.785,2822350.74,1716335999999,24959061.66123,77004,1361920.33,12046668.30902,0,0.76
2024-05-22,8.785,8.83,8.452,8.561,2279363.12,1716422399999,19701170.58566,63907,1158289.48,10012034.85164,0,0.76
2024-05-23,8.561,8.641,8.011,8.361,3224518.75,1716508799999,26926971.84854,90542,1550213.16,12933087.24284,0,0.76
2024-05-24,8.358,8.492,8.196,8.46,1268435.2,1716595199999,10630731.92636,35770,620655.09,5202062.07464,0,0.74
2024-05-25,8.461,8.543,8.418,8.491,755991.09,1716681599999,6410992.70792,23241,368496.52,3125461.44958,0,0.76
2024-05-26,8.493,8.511,8.278,8.404,1027230.76,1716767999999,8630355.79589,29396,475707.14,3998259.3844,0,0.75
2024-05-27,8.404,8.734,8.39,8.695,1421907.77,1716854399999,12200185.8222,52925,695912.45,5971662.49057,0,0.74
2024-05-28,8.697,8.838,8.459,8.722,2164630.22,1716940799999,18710387.66861,82590,1080976.0,9344343.28631,0,0.72
2024-05-29,8.722,8.911,8.619,8.637,2387217.26,1717027199999,20894458.01605,84738,1138231.63,9964085.08813,0,0.72
2024-05-30,8.637,8.726,8.394,8.54,1531035.37,1717113599999,13134634.91365,64089,731412.18,6275026.42412,0,0.73
2024-05-31,8.541,8.542,8.242,8.3,1116070.05,1717199999999,9369196.1913,49915,536636.19,4505818.9774,0,0.73
2024-06-01,8.299,8.379,8.256,8.326,637535.43,1717286399999,5302851.27502,27030,308717.15,2568191.02235,0,0.72
2024-06-02,8.324,8.4,8.171,8.292,942557.45,1717372799999,7828467.31606,35766,449126.28,3731266.16567,0,0.73
2024-06-03,8.295,8.498,8.242,8.339,1190069.19,1717459199999,10007022.00575,49763,551252.07,4637110.84522,0,0.73
2024-06-04,8.34,8.545,8.288,8.538,1120073.92,1717545599999,9430744.83676,38162,537107.81,4525365.44656,0,0.73
2024-06-05,8.539,8.738,8.494,8.692,1230124.64,1717631999999,10587118.39246,45220,623437.62,5368534.74935,0,0.75
2024-06-06,8.693,8.809,8.569,8.617,1514247.32,1717718399999,13130636.11926,57437,698187.63,6054869.56793,0,0.78
2024-06-07,8.617,8.708,7.5,8.102,3609416.11,1717804799999,29624705.44714,135082,1806131.68,14819013.15184,0,0.77
2024-06-08,8.102,8.123,7.716,7.757,1887973.15,1717891199999,14987731.26029,76233,923667.89,7334295.49859,0,0.72
2024-06-09,7.757,8.35,7.726,7.88,1419071.35,1717977599999,11142667.94764,62567,762247.92,5986572.8441,0,0.75
2024-06-10,7.88,7.928,7.716,7.855,1417401.44,1718063999999,11099909.10481,52005,690212.58,5407518.53878,0,0.72
2024-06-11,7.855,7.864,7.373,7.517,2381580.34,1718150399999,18122710.26927,75118,1130968.61,8601330.50186,0,0.74
