open_time,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base,taker_buy_quote,ignore,fg_index
2024-05-01,6.744,7.085,6.386,6.994,1599483.68,1714607999999,10733208.49183,62715,793858.6,5330816.19379,0,0.54
2024-05-02,6.991,7.37,6.775,7.284,822295.75,1714694399999,5843178.46989,28632,410667.09,2919662.10535,0,0.43
2024-05-03,7.283,7.629,7.166,7.513,911150.08,1714780799999,6766537.15876,34047,450647.39,3342109.26225,0,0.48
2024-05-04,7.509,7.585,7.39,7.438,463817.38,1714867199999,3465334.11858,20285,219060.63,1636644.23169,0,0.67
2024-05-05,7.439,7.6,7.294,7.493,467451.46,1714953599999,3474294.18066,19179,220128.96,1636152.16316,0,0.69
2024-05-06,7.49,7.745,7.316,7.33,921549.35,1715039999999,6924761.81769,32866,473004.92,3554174.76414,0,0.71
2024-05-07,7.33,7.475,7.18,7.201,479699.97,1715126399999,3515215.28702,24400,220107.75,1613441.59128,0,0.68
2024-05-08,7.2,7.342,7.081,7.215,535654.75,1715212799999,3862771.74651,28185,233531.45,1684963.65597,0,0.64
2024-05-09,7.218,7.487,7.043,7.461,514262.96,1715299199999,3730932.86123,28454,235257.61,1706407.31311,0,0.55
2024-05-10,7.46,7.754,7.051,7.092,925823.87,1715385599999,6892421.25373,49641,438627.01,3266599.15083,0,0.66
2024-05-11,7.093,7.192,7.002,7.015,474619.32,1715471999999,3367605.75538,21707,256574.78,1819715.04168,0,0.53
2024-05-12,7.016,7.084,6.875,6.941,381696.29,1715558399999,2669234.69099,17647,199022.66,1391966.736,0,0.56
2024-05-13,6.944,7.075,6.645,6.821,1051246.29,1715644799999,7197891.30807,52885,500186.12,3423556.96176,0,0.57
2024-05-14,6.817,6.862,6.617,6.665,516249.6,1715731199999,3484679.8155,31858,262284.4,1770588.65882,0,0.66
2024-05-15,6.665,7.304,6.623,7.195,749775.41,1715817599999,5232089.58724,39419,375168.32,2621046.25009,0,0.64
2024-05-16,7.194,7.333,7.061,7.207,719435.36,1715903999999,5180440.8474,33065,318731.42,2297111.24803,0,0.7
2024-05-17,7.21,7.519,7.124,7.444,574699.54,1715990399999,4228916.47442,30111,300331.91,2213167.2472,0,0.74
2024-05-18,7.444,7.55,7.388,7.436,366657.35,1716076799999,2736442.06449,20509,176348.07,1316805.15543,0,0.73
