open_time,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base,taker_buy_quote,ignore,fg_index
2024-05-01,0.2272,0.2368,0.2134,0.2342,22189953.2,1714607999999,4986402.61268,36803,10595245.6,2382385.3164,0,0.54
2024-05-02,0.2343,0.2515,0.2265,0.2468,15609503.5,1714694399999,3721513.26273,25462,7930012.2,1890978.58452,0,0.43
2024-05-03,0.2468,0.2599,0.2413,0.2577,17493576.7,1714780799999,4394008.79564,33531,8630754.8,2171068.52479,0,0.48
2024-05-04,0.2578,0.2627,0.2535,0.2581,10429645.1,1714867199999,2694258.02046,22630,4947955.1,1279311.61223,0,0.67
2024-05-05,0.2582,0.2674,0.2508,0.2608,11793195.4,1714953599999,3045007.10989,23361,5654729.6,1460374.97416,0,0.69
2024-05-06,0.2607,0.2687,0.255,0.2562,15454180.7,1715039999999,4026708.27336,28094,7472455.1,1950012.51431,0,0.71
2024-05-07,0.2563,0.2702,0.2494,0.251,18421642.8,1715126399999,4787489.69434,32066,8907241.4,2316959.97017,0,0.68
2024-05-08,0.2508,0.2627,0.2398,0.2568,19928611.9,1715212799999,5006354.41549,37281,9679478.2,2434583.40512,0,0.64
2024-05-09,0.2569,0.2872,0.2548,0.283,47114299.6,1715299199999,12762231.89318,85948,24806339.7,6719861.17547,0,0.55
2024-05-10,0.283,0.2974,0.2616,0.2657,33501427.3,1715385599999,9383991.60514,67215,16691376.0,4677654.72459,0,0.66
2024-05-11,0.2657,0.2893,0.2651,0.2666,27638597.2,1715471999999,7635636.52825,53275,13438981.4,3713600.80367,0,0.53
2024-05-12,0.2666,0.2733,0.2632,0.2651,9192513.6,1715558399999,2464640.41016,16646,4224573.2,1133251.15383,0,0.56
2024-05-13,0.2651,0.2749,0.2468,0.2697,18741734.5,1715644799999,4915227.55657,38138,8917010.6,2344113.17328,0,0.57
2024-05-14,0.2696,0.2761,0.2564,0.2586,18275446.0,1715731199999,4855337.19495,39269,8394668.8,2231750.61555,0,0.66
2024-05-15,0.2587,0.2897,0.251,0.2859,24342797.9,1715817599999,6637708.47039,55039,12198738.8,3332780.79525,0,0.64
2024-05-16,0.286,0.2949,0.2679,0.2718,24543132.1,1715903999999,6949130.99587,47987,11555467.7,3280622.43494,0,0.7
