open_time,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base,taker_buy_quote,ignore,fg_index
2024-05-01,1.422,1.468,1.342,1.46,1312479.9,1714607999999,1851469.8238,29970,662620.2,934364.4594,0,0.54
2024-05-02,1.46,1.522,1.41,1.5,616497.3,1714694399999,904677.0096,13495,299405.3,439903.1265,0,0.43
2024-05-03,1.501,1.532,1.453,1.509,884397.6,1714780799999,1322971.1819,17512,438727.0,656150.9319,0,0.48
2024-05-04,1.509,1.541,1.488,1.501,890605.6,1714867199999,1344827.5767,15735,473417.1,715839.294,0,0.67
2024-05-05,1.501,1.533,1.454,1.52,758163.4,1714953599999,1130430.7244,16570,358982.6,534073.7247,0,0.69
2024-05-06,1.518,1.566,1.485,1.49,964954.5,1715039999999,1464223.7979,24015,473217.6,718088.3055,0,0.71
2024-05-07,1.491,1.532,1.463,1.466,742171.6,1715126399999,1114671.305,18751,342252.9,514294.4994,0,0.68
2024-05-08,1.467,1.625,1.434,1.514,3649721.2,1715212799999,5566914.3563,59588,2027032.9,3099584.7448,0,0.64
2024-05-09,1.513,1.588,1.47,1.585,3462971.2,1715299199999,5316607.7721,48658,1595822.5,2456069.463,0,0.55
2024-05-10,1.585,1.585,1.471,1.482,1643884.9,1715385599999,2528366.2619,26322,752414.3,1156742.3152,0,0.66
2024-05-11,1.482,1.519,1.465,1.491,607652.3,1715471999999,906131.1891,12446,269151.0,401815.6503,0,0.53
2024-05-12,1.491,1.517,1.456,1.466,721473.7,1715558399999,1073513.415,13966,359254.8,534564.5576,0,0.56
2024-05-13,1.467,1.479,1.364,1.377,1343256.7,1715644799999,1893349.6341,28483,706935.9,996235.3996,0,0.57
2024-05-14,1.377,1.4,1.343,1.352,931446.5,1715731199999,1275438.0709,22297,479332.6,655650.9318,0,0.66
2024-05-15,1.352,1.469,1.339,1.455,771223.4,1715817599999,1077192.5753,18494,410630.9,572373.1908,0,0.64
2024-05-16,1.455,1.502,1.423,1.467,713174.7,1715903999999,1047171.9012,17372,323989.2,475762.4761,0,0.7
2024-05-17,1.468,1.534,1.466,1.523,1094669.5,1715990399999,1639326.3534,20478,617036.5,923813.1829,0,0.74
2024-05-18,1.524,1.53,1.49,1.52,503018.0,1716076799999,760498.2958,9864,226456.3,342457.1542,0,0.73
2024-05-19,1.519,1.534,1.472,1.484,694494.6,1716163199999,1044227.0447,15031,345496.5,520274.5571,0,0.72
2024-05-20,1.484,1.585,1.467,1.584,1811786.3,1716249599999,2783434.7461,28862,938669.1,1442292.1779,0,0.7
2024-05-21,1.584,1.658,1.559,1.625,1261431.5,1716335999999,2037518.4142,23021,584164.9,943135.6901,0,0.76
2024-05-22,1.625,1.666,1.58,1.625,738550.7,1716422399999,1199497.8717,18957,371001.9,603412.2999,0,0.76
2024-05-23,1.626,1.672,1.512,1.616,1261667.3,1716508799999,2007783.075,22219,620069.9,986432.7754,0,0.76
2024-05-24,1.615,1.736,1.577,1.73,1101269.1,1716595199999,1817818.6473,12782,610751.0,1009401.5988,0,0.74
2024-05-25,1.73,1.792,1.719,1.74,936540.2,1716681599999,1638957.9052,12295,435495.7,762290.5912,0,0.76
2024-05-26,1.74,1.754,1.699,1.732,431174.8,1716767999999,743038.05,6808,193440.6,333562.2087,0,0.75
2024-05-27,1.732,1.83,1.696,1.788,677446.2,1716854399999,1197268.7036,12601,369637.3,655541.0671,0,0.74
2024-05-28,1.789,1.813,1.719,1.749,1106163.6,1716940799999,1946896.5525,21587,496505.8,873284.6002,0,0.72
2024-05-29,1.749,1.86,1.73,1.757,1628065.0,1717027199999,2946394.9442,30749,737059.3,1333437.7328,0,0.72
