open_time,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base,taker_buy_quote,ignore,fg_index
2024-05-01,0.238,0.24,0.2223,0.239,10118796.0,1714607999999,2339130.3634,34652,4895291.0,1131555.9561,0,0.54
2024-05-02,0.2388,0.2446,0.2304,0.241,6048920.0,1714694399999,1440713.207,17082,2869170.0,683368.831,0,0.43
2024-05-03,0.2411,0.2525,0.2384,0.2497,4966655.0,1714780799999,1220292.7062,13820,2382259.0,584776.5424,0,0.48
2024-05-04,0.2497,0.2521,0.2472,0.2482,3876722.0,1714867199999,967539.5903,13591,2038804.0,508773.3781,0,0.67
2024-05-05,0.2481,0.2529,0.2437,0.2494,5038193.0,1714953599999,1248523.7967,14674,2571949.0,637455.1533,0,0.69
2024-05-06,0.2493,0.2555,0.2426,0.2432,6099527.0,1715039999999,1516924.3005,18782,3151169.0,783740.0327,0,0.71
2024-05-07,0.2431,0.2473,0.2397,0.2404,5688148.0,1715126399999,1384652.2704,17214,2865695.0,698014.5572,0,0.68
2024-05-08,0.2404,0.2476,0.2369,0.2426,7756024.0,1715212799999,1873616.0147,21061,3824164.0,923831.5889,0,0.64
2024-05-09,0.2426,0.2487,0.2369,0.2474,4885521.0,1715299199999,1185180.458,13581,2114932.0,512977.3337,0,0.55
2024-05-10,0.2474,0.252,0.2351,0.237,7558519.0,1715385599999,1841442.4185,19721,3952875.0,965180.807,0,0.66
2024-05-11,0.2369,0.2404,0.2304,0.231,4495029.0,1715471999999,1058028.3185,12016,2724099.0,640645.9592,0,0.53
2024-05-12,0.231,0.2323,0.2248,0.2264,5385448.0,1715558399999,1235763.7102,15470,2991688.0,686198.6871,0,0.56
2024-05-13,0.2264,0.2349,0.2192,0.2301,6139267.0,1715644799999,1394743.0897,18437,2799234.0,634880.7484,0,0.57
2024-05-14,0.2302,0.2457,0.2221,0.2226,15179423.0,1715731199999,3534683.4708,44685,7592407.0,1770338.6926,0,0.66
2024-05-15,0.2226,0.2365,0.2206,0.2352,4617713.0,1715817599999,1054564.693,13429,2147357.0,490628.3319,0,0.64
2024-05-16,0.2352,0.2395,0.2326,0.2389,5563136.0,1715903999999,1317201.4521,16615,2482450.0,587918.0997,0,0.7
2024-05-17,0.2388,0.247,0.2354,0.2457,3138576.0,1715990399999,759029.9469,11301,1380429.0,334080.9374,0,0.74
2024-05-18,0.2457,0.2475,0.2425,0.245,2407217.0,1716076799999,590677.1662,8140,1244609.0,305452.8787,0,0.73
2024-05-19,0.2449,0.2462,0.2351,0.2356,2377062.0,1716163199999,572120.941,8543,1077981.0,259458.1516,0,0.72
2024-05-20,0.2357,0.2559,0.2317,0.2555,7168570.0,1716249599999,1753769.1272,24969,3395493.0,830153.014,0,0.7
2024-05-21,0.2555,0.2599,0.2523,0.2546,6101872.0,1716335999999,1561095.5002,19475,2925119.0,748535.9845,0,0.76
2024-05-22,0.2545,0.2562,0.2475,0.2519,3371743.0,1716422399999,851276.0048,13707,1709097.0,431437.861,0,0.76
2024-05-23,0.252,0.2549,0.2325,0.2454,8018778.0,1716508799999,1968137.4493,26251,3895661.0,956025.7344,0,0.76
2024-05-24,0.2452,0.2494,0.239,0.2479,2845885.0,1716595199999,698208.4759,9220,1266971.0,311095.3642,0,0.74
2024-05-25,0.2476,0.2525,0.2472,0.2497,2394879.0,1716681599999,599097.011,5819,1143390.0,286016.6214,0,0.76
2024-05-26,0.2494,0.2505,0.2414,0.2431,2258832.0,1716767999999,555863.4597,6523,1200606.0,295432.7792,0,0.75
2024-05-27,0.2431,0.2535,0.2417,0.2503,3324862.0,1716854399999,824188.2147,11236,1639437.0,406212.5486,0,0.74
2024-05-28,0.2502,0.2515,0.2422,0.2463,5462213.0,1716940799999,1344463.5145,14656,2691868.0,662876.6194,0,0.72
2024-05-29,0.2464,0.2505,0.2417,0.2425,3552713.0,1717027199999,875531.7232,11096,1828595.0,450745.6451,0,0.72
2024-05-30,0.2423,0.2468,0.237,0.243,4023004.0,1717113599999,978989.3908,12419,2035562.0,495599.9037,0,0.73
2024-05-31,0.2429,0.2438,0.2362,0.2431,5205802.0,1717199999999,1255782.9684,14416,2440388.0,588536.3493,0,0.73
2024-06-01,0.2431,0.2437,0.2389,0.2417,4400800.0,1717286399999,1062422.813,8639,1918373.0,463280.2561,0,0.72
2024-06-02,0.2416,0.251,0.2406,0.2432,7330873.0,1717372799999,1794911.671,15429,3973028.0,973162.6171,0,0.73
2024-06-03,0.2429,0.2489,0.2402,0.2426,6483607.0,1717459199999,1592912.8601,14625,2887314.0,709524.4391,0,0.73
2024-06-04,0.2424,0.2434,0.2355,0.2433,4157287.0,1717545599999,996297.8932,10626,2044484.0,489819.2094,0,0.73
2024-06-05,0.2433,0.2526,0.243,0.2493,7585040.0,1717631999999,1878276.9643,18829,4220089.0,1046481.4125,0,0.75
2024-06-06,0.2495,0.2501,0.241,0.2451,5066229.0,1717718399999,1247863.7363,12576,2727093.0,672275.0318,0,0.78
2024-06-07,0.245,0.2538,0.2125,0.2293,12779148.0,1717804799999,3041190.0597,29668,5921615.0,1407959.3259,0,0.77
2024-06-08,0.229,0.2312,0.2104,0.2129,9371482.0,1717891199999,2076071.3082,28052,5684964.0,1261666.4096,0,0.72
2024-06-09,0.2126,0.2206,0.2123,0.2189,4771997.0,1717977599999,1036489.3054,11234,2488595.0,540079.6643,0,0.75
2024-06-10,0.2188,0.2258,0.2139,0.2203,5818229.0,1718063999999,1281915.4441,12715,2913862.0,641766.4394,0,0.72
2024-06-11,0.2203,0.2221,0.2067,0.2154,5582487.0,1718150399999,1200682.0864,14158,2449346.0,527728.3012,0,0.74
2024-06-12,0.2153,0.2296,0.2109,0.2236,7215463.0,1718236799999,1602372.0224,15803,3107190.0,691355.7044,0,0.72
2024-06-13,0.2235,0.2255,0.2105,0.2116,3685885.0,1718323199999,799351.0174,9953,1562454.0,339184.276,0,0.7
2024-06-14,0.2119,0.2183,0.2014,0.2099,5279961.0,1718409599999,1117133.4966,11181,2402430.0,509923.6143,0,0.74
2024-06-15,0.2099,0.215,0.2094,0.2135,2581497.0,1718495999999,548596.5631,5779,1043890.0,221879.9815,0,0.74
2024-06-16,0.2135,0.2156,0.2094,0.2138,2006887.0,1718582399999,427508.291,4909,923610.0,196744.9506,0,0.71
2024-06-17,0.2138,0.2148,0.1932,0.1972,7904127.0,1718668799999,1597375.198,15168,3799298.0,767005.7467,0,0.71
