open_time,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base,taker_buy_quote,ignore,fg_index
2024-05-01,6.423,6.935,6.129,6.899,9928379.44,1714607999999,64889057.77625,175570,4971837.62,32506459.70104,0,0.54
2024-05-02,6.9,7.409,6.694,7.273,5866303.67,1714694399999,41407190.75191,109002,2989781.66,21089488.59573,0,0.43
2024-05-03,7.272,7.386,7.002,7.245,6917886.48,1714780799999,49700402.13008,109634,3849841.15,27661016.19492,0,0.48
2024-05-04,7.244,7.28,7.105,7.122,3557671.87,1714867199999,25538079.66083,71120,1842506.65,13228206.08575,0,0.67
2024-05-05,7.122,7.4,7.014,7.302,4163778.64,1714953599999,29929648.88411,72928,2053134.89,14756410.06752,0,0.69
2024-05-06,7.303,7.473,7.06,7.121,4753151.15,1715039999999,34575115.497,94264,2300855.06,16740333.77776,0,0.71
2024-05-07,7.119,7.295,6.979,6.993,3682848.45,1715126399999,26341986.89067,64947,1709117.46,12230777.07425,0,0.68
2024-05-08,6.992,7.189,6.893,6.983,3774626.84,1715212799999,26568875.86413,75550,1826824.85,12866929.52023,0,0.64
2024-05-09,6.982,7.089,6.782,7.05,3379414.81,1715299199999,23494022.92313,75016,1714347.12,11925299.52689,0,0.55
2024-05-10,7.049,7.149,6.69,6.746,4044018.42,1715385599999,28001136.53901,86237,1924613.53,13347016.87152,0,0.66
2024-05-11,6.745,6.809,6.635,6.659,2377967.87,1715471999999,15990835.94362,63809,1048777.6,7053251.24426,0,0.53
2024-05-12,6.659,6.793,6.586,6.617,1576234.91,1715558399999,10549981.05226,40295,769472.16,5150212.10387,0,0.56
2024-05-13,6.616,6.826,6.431,6.669,3606786.8,1715644799999,24006845.24137,74408,1731132.61,11533322.62222,0,0.57
2024-05-14,6.671,6.698,6.469,6.485,2744202.98,1715731199999,18115960.71576,54763,1291300.56,8525969.83623,0,0.66
2024-05-15,6.485,7.029,6.461,6.961,4442558.01,1715817599999,29947707.03845,93250,2306277.62,15550469.59919,0,0.64
2024-05-16,6.961,7.066,6.812,7.025,3415709.35,1715903999999,23688289.71924,77104,1707446.04,11844582.16317,0,0.7
2024-05-17,7.025,7.299,6.999,7.199,4256397.78,1715990399999,30530613.07534,93983,2134758.35,15305855.57678,0,0.74
2024-05-18,7.198,7.232,7.063,7.157,1889934.65,1716076799999,13528564.03044,51738,860878.17,6163434.10025,0,0.73
2024-05-19,7.157,7.18,6.889,6.931,1874582.61,1716163199999,13172233.68275,52561,894559.89,6285776.3947,0,0.72
2024-05-20,6.93,7.584,6.851,7.575,4828245.07,1716249599999,35050283.82313,111128,2610174.24,18968986.89163,0,0.7
2024-05-21,7.574,7.671,7.428,7.61,4957810.67,1716335999999,37493727.53372,114969,2454000.78,18562631.93695,0,0.76
