open_time,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base,taker_buy_quote,ignore,fg_index
2024-05-01,2.014,2.075,1.893,2.055,8114663.38,1714607999999,16118895.5152,62110,3912455.58,7774161.9017,0,0.54
2024-05-02,2.054,2.139,1.995,2.099,3740759.95,1714694399999,7815159.63084,38167,1921151.66,4017093.90844,0,0.43
2024-05-03,2.1,2.208,2.086,2.183,3568769.91,1714780799999,7661619.42163,34503,2001193.5,4295491.06972,0,0.48
2024-05-04,2.183,2.195,2.152,2.162,2786107.19,1714867199999,6057100.0517,22538,1415653.79,3077974.79395,0,0.67
2024-05-05,2.162,2.302,2.117,2.272,3958534.51,1714953599999,8808273.30993,36352,2136541.32,4754967.81884,0,0.69
2024-05-06,2.272,2.316,2.181,2.184,4381322.58,1715039999999,9843640.27629,41206,2193628.21,4935034.24108,0,0.71
2024-05-07,2.185,2.203,2.092,2.092,3397763.53,1715126399999,7333645.35954,41260,1761231.09,3805904.50617,0,0.68
2024-05-08,2.093,2.151,2.045,2.1,3106202.86,1715212799999,6492380.03004,39963,1580586.39,3304605.12617,0,0.64
2024-05-09,2.1,2.171,2.059,2.161,2665426.65,1715299199999,5633848.8886,28726,1353618.91,2861434.9654,0,0.55
2024-05-10,2.161,2.219,2.015,2.034,4332316.86,1715385599999,9146062.78434,45145,2175291.01,4592477.83096,0,0.66
2024-05-11,2.034,2.069,2.002,2.012,2581587.25,1715471999999,5255975.60591,26012,1337999.69,2724533.76058,0,0.53
2024-05-12,2.012,2.057,1.999,2.008,1846441.35,1715558399999,3732866.60624,18373,902434.04,1825763.1913,0,0.56
2024-05-13,2.009,2.051,1.925,1.978,4330779.02,1715644799999,8646053.64664,36059,2135340.83,4266246.32983,0,0.57
2024-05-14,1.979,1.993,1.862,1.869,4697694.85,1715731199999,8989197.25854,39318,2195475.93,4203068.37896,0,0.66
2024-05-15,1.869,2.067,1.85,2.035,4742147.81,1715817599999,9205049.12472,40133,2473620.69,4801358.81201,0,0.64
2024-05-16,2.035,2.069,1.954,2.03,3915085.18,1715903999999,7910539.52778,35500,2038577.01,4119827.12389,0,0.7
2024-05-17,2.03,2.081,1.979,2.057,6445937.54,1715990399999,13121234.99429,43195,3559635.62,7244032.14294,0,0.74
2024-05-18,2.058,2.077,2.02,2.055,2935786.06,1716076799999,6037935.21423,22393,1536353.3,3161325.45104,0,0.73
