open_time,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base,taker_buy_quote,ignore,fg_index
2024-05-01 00:00:00,14.61,15.0,14.43,14.96,61775.69,1714535999999,907066.2556,6862,30618.03,450090.6679,0,0.54
2024-05-01 04:00:00,14.96,15.1,14.0,14.15,154148.72,1714550399999,2223480.4631,16618,62684.11,905941.4114,0,0.54
2024-05-01 08:00:00,14.15,14.25,13.68,14.13,157052.49,1714564799999,2195816.5019,15778,65324.19,914846.4137,0,0.54
2024-05-01 12:00:00,14.12,14.41,13.86,14.05,90422.3,1714579199999,1278509.8265,11792,47872.73,677241.5498,0,0.54
2024-05-01 16:00:00,14.05,14.94,13.81,14.35,183818.96,1714593599999,2645398.4556,21723,91833.47,1320785.4868,0,0.54
2024-05-01 20:00:00,14.37,14.61,14.26,14.5,39330.2,1714607999999,568095.0205,5193,23173.56,335098.987,0,0.54
2024-05-02 00:00:00,14.5,14.54,14.0,14.4,54373.01,1714622399999,776351.1146,6440,28494.83,407191.6709,0,0.43
2024-05-02 04:00:00,14.4,14.54,14.14,14.3,53010.39,1714636799999,760046.8876,4820,28540.23,409057.5709,0,0.43
2024-05-02 08:00:00,14.31,14.77,14.3,14.72,42529.04,1714651199999,617438.8573,4622,22210.2,322556.3085,0,0.43
2024-05-02 12:00:00,14.72,15.03,14.55,14.93,89260.93,1714665599999,1314717.6486,7774,44992.53,663548.7848,0,0.43
2024-05-02 16:00:00,14.94,15.38,14.91,15.08,78737.5,1714679999999,1187914.435,9708,38745.01,585113.8027,0,0.43
2024-05-02 20:00:00,15.08,15.2,14.85,14.93,44450.3,1714694399999,668309.3085,4833,18742.29,281700.1264,0,0.43
2024-05-03 00:00:00,14.93,15.23,14.87,15.1,30363.07,1714708799999,457938.0701,4441,16598.04,250832.5232,0,0.48
2024-05-03 04:00:00,15.1,15.17,14.71,14.78,42693.97,1714723199999,636737.6841,4474,14962.04,223322.1233,0,0.48
2024-05-03 08:00:00,14.78,15.1,14.68,14.79,81074.08,1714737599999,1203599.7052,7888,51043.89,759048.989,0,0.48
2024-05-03 12:00:00,14.78,15.39,14.73,15.34,99080.53,1714751999999,1506278.7325,11710,59742.69,909089.7245,0,0.48
2024-05-03 16:00:00,15.33,15.61,15.32,15.5,45805.13,1714766399999,708678.0526,5769,24881.28,385136.6864,0,0.48
2024-05-03 20:00:00,15.5,15.86,15.47,15.69,53155.36,1714780799999,835390.646,5851,28461.69,447366.4667,0,0.48
2024-05-04 00:00:00,15.69,15.87,15.56,15.64,49592.64,1714795199999,779873.5778,5991,21535.68,338759.104,0,0.67
2024-05-04 04:00:00,15.64,15.74,15.54,15.56,24526.96,1714809599999,383019.0419,3434,11541.38,180354.4123,0,0.67
2024-05-04 08:00:00,15.57,15.83,15.43,15.49,73686.3,1714823999999,1148164.1681,7404,30608.4,477748.281,0,0.67
2024-05-04 12:00:00,15.49,15.62,15.32,15.52,50426.77,1714838399999,781463.9601,5338,27524.07,426719.5238,0,0.67
2024-05-04 16:00:00,15.52,15.67,15.45,15.66,23413.84,1714852799999,364833.8793,3519,9781.19,152469.6415,0,0.67
2024-05-04 20:00:00,15.67,15.72,15.46,15.48,24436.88,1714867199999,380609.8678,3286,10116.0,157441.1803,0,0.67
2024-05-05 00:00:00,15.48,15.54,15.1,15.24,65614.55,1714881599999,1002436.1582,7219,29575.62,452330.2935,0,0.69
2024-05-05 04:00:00,15.23,15.41,15.09,15.33,47929.33,1714895999999,729259.8622,4757,16920.42,257928.8488,0,0.69
2024-05-05 08:00:00,15.33,15.76,15.29,15.49,98574.74,1714910399999,1532092.3821,10118,45207.18,703475.6609,0,0.69
2024-05-05 12:00:00,15.5,15.95,15.38,15.93,84952.14,1714924799999,1330725.6633,9688,44579.03,698927.6299,0,0.69
2024-05-05 16:00:00,15.93,16.04,15.59,15.68,65726.23,1714939199999,1041316.0893,7742,31521.82,500247.3416,0,0.69
2024-05-05 20:00:00,15.69,15.81,15.6,15.77,26253.02,1714953599999,412211.2667,5195,14875.22,233714.5807,0,0.69
2024-05-06 00:00:00,15.77,15.92,15.59,15.67,39423.14,1714967999999,621563.3884,4961,16941.82,267116.7116,0,0.71
2024-05-06 04:00:00,15.66,15.99,15.58,15.91,64151.82,1714982399999,1015818.295,7325,31772.9,503361.6056,0,0.71
2024-05-06 08:00:00,15.91,16.1,15.32,15.46,210167.1,1714996799999,3298671.2717,17447,115535.65,1811877.5811,0,0.71
2024-05-06 12:00:00,15.47,15.54,14.86,15.14,179691.34,1715011199999,2728985.7611,17837,94563.25,1437226.9515,0,0.71
2024-05-06 16:00:00,15.14,15.19,14.79,14.95,52577.75,1715025599999,788832.093,5909,23873.86,358487.9876,0,0.71
2024-05-06 20:00:00,14.94,15.04,14.77,14.8,27537.84,1715039999999,411063.2719,3492,14957.52,223377.2528,0,0.71
