open_time,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base,taker_buy_quote,ignore,fg_index
2024-05-01,25.44,25.68,23.97,25.55,1858092.16,1714607999999,46125278.5317,88889,896301.77,22256007.0611,0,0.54
2024-05-02,25.55,25.94,24.82,25.66,854021.8,1714694399999,21778331.4584,47603,436904.24,11150571.0223,0,0.43
2024-05-03,25.65,27.37,25.47,26.89,1102880.42,1714780799999,29167801.0095,57300,580752.51,15370999.6428,0,0.48
2024-05-04,26.9,27.53,26.79,26.95,801907.14,1714867199999,21695091.9863,46149,406639.93,11003852.6002,0,0.67
2024-05-05,26.94,27.86,26.44,27.67,870475.55,1714953599999,23642506.897,53416,431347.3,11716114.4514,0,0.69
2024-05-06,27.67,28.99,26.97,26.98,1472362.36,1715039999999,41108197.7889,83507,700738.89,19562485.3755,0,0.71
2024-05-07,26.98,27.9,26.73,27.07,1021753.78,1715126399999,27906181.0837,48079,502247.34,13720901.1517,0,0.68
2024-05-08,27.07,29.39,26.55,27.18,2211366.24,1715212799999,61449969.8779,127948,1107057.68,30791299.5514,0,0.64
2024-05-09,27.18,27.83,26.83,27.66,990779.26,1715299199999,27061674.82,61282,479493.91,13100756.9042,0,0.55
2024-05-10,27.65,27.82,26.14,26.38,1233702.12,1715385599999,33414671.3777,61767,561477.89,15216865.6077,0,0.66
2024-05-11,26.39,26.98,26.18,26.47,444546.37,1715471999999,11804158.5979,24053,214319.73,5692234.8559,0,0.53
2024-05-12,26.48,26.92,26.36,26.69,350731.33,1715558399999,9352829.812,19222,159546.85,4254798.8948,0,0.56
2024-05-13,26.7,26.99,25.19,26.3,1324568.93,1715644799999,34737551.9898,66489,649542.19,17029132.1296,0,0.57
2024-05-14,26.29,26.45,25.26,25.36,800855.41,1715731199999,20641201.1883,39172,376878.58,9718853.5896,0,0.66
2024-05-15,25.36,27.17,25.35,27.09,994588.16,1715817599999,26191456.1295,50036,525018.63,13828985.0116,0,0.64
2024-05-16,27.1,27.53,26.62,27.24,1079085.33,1715903999999,29235111.9069,61440,534971.6,14494159.6869,0,0.7
2024-05-17,27.24,28.78,26.93,28.31,1060294.43,1715990399999,29764580.4809,66269,520219.64,14607603.5972,0,0.74
2024-05-18,28.31,29.14,28.1,28.62,836626.44,1716076799999,24059586.5656,56757,403541.22,11612590.3458,0,0.73
2024-05-19,28.63,28.9,27.33,27.58,608837.18,1716163199999,17072137.2541,46521,273906.85,7686650.814,0,0.72
2024-05-20,27.58,32.98,27.45,32.36,2430014.31,1716249599999,73243516.7452,170195,1257901.77,37959452.3391,0,0.7
2024-05-21,32.35,32.9,30.83,31.72,2951774.4,1716335999999,94258417.0114,175263,1635986.44,52254635.064,0,0.76
2024-05-22,31.72,31.96,29.6,30.38,1978758.96,1716422399999,60758428.8694,123358,986584.25,30289641.6488,0,0.76
2024-05-23,30.38,34.34,30.36,32.42,5621305.65,1716508799999,182395256.3838,368219,2821472.32,91605613.1541,0,0.76
2024-05-24,32.42,33.93,31.01,31.59,1973374.87,1716595199999,63432159.0025,117164,1045155.61,33591742.4495,0,0.74
2024-05-25,31.59,32.34,31.27,31.67,967554.16,1716681599999,30750665.6104,58961,465574.98,14803483.8232,0,0.76
2024-05-26,31.67,32.77,31.44,31.71,1094390.87,1716767999999,35011794.2601,61641,526846.44,16867586.3914,0,0.75
2024-05-27,31.7,32.72,31.57,31.91,1015772.79,1716854399999,32589987.3088,63972,506766.08,16262396.6948,0,0.74
2024-05-28,31.91,31.91,30.62,31.42,1163267.9,1716940799999,36371774.3185,79531,517849.44,16189247.8521,0,0.72
2024-05-29,31.42,31.66,30.14,30.43,976268.72,1717027199999,30048002.876,55974,460862.31,14184077.8905,0,0.72
2024-05-30,30.43,30.74,29.2,29.8,937944.25,1717113599999,28121452.3477,57327,407789.22,12234797.3822,0,0.73
2024-05-31,29.8,30.56,29.11,29.59,783199.31,1717199999999,23367924.0967,46448,377261.39,11260022.9284,0,0.73
2024-06-01,29.59,29.82,29.42,29.56,367904.12,1717286399999,10897526.3855,28723,161316.89,4779492.4776,0,0.72
2024-06-02,29.55,29.82,28.54,28.93,534445.86,1717372799999,15580372.9339,30604,246598.53,7186282.8776,0,0.73
2024-06-03,28.93,29.47,28.55,28.63,773997.01,1717459199999,22445925.1019,36421,372931.12,10818354.1158,0,0.73
2024-06-04,28.64,29.99,28.16,29.73,965092.71,1717545599999,27979493.7465,43357,518908.05,15038349.3722,0,0.73
2024-06-05,29.73,30.03,29.19,29.8,759057.04,1717631999999,22495469.6481,39480,372039.42,11027583.5026,0,0.75
2024-06-06,29.8,29.81,28.75,29.05,586328.94,1717718399999,17230548.3104,32387,298537.41,8776047.57,0,0.78
2024-06-07,29.05,29.43,25.07,27.05,1718963.32,1717804799999,47454489.4042,114771,831211.08,23008719.9862,0,0.77
2024-06-08,27.04,27.19,26.36,26.84,962692.0,1717891199999,25873889.3477,67333,540915.01,14547148.2091,0,0.72
2024-06-09,26.84,27.08,26.73,26.97,365003.72,1717977599999,9831014.8855,27588,191376.43,5154449.4364,0,0.75
2024-06-10,26.97,27.1,26.33,26.62,511024.85,1718063999999,13662301.0831,49056,255562.35,6830981.414,0,0.72
2024-06-11,26.63,26.63,25.01,25.67,1167796.92,1718150399999,30101373.6158,81152,542991.74,13992542.6626,0,0.74
2024-06-12,25.67,26.76,25.28,26.11,947459.36,1718236799999,24735731.5062,64757,482673.27,12606989.7431,0,0.72
2024-06-13,26.12,26.16,25.09,25.31,548140.43,1718323199999,14010696.1373,45731,240994.57,6161892.276,0,0.7
2024-06-14,25.31,25.68,24.11,25.13,832204.16,1718409599999,20735809.5193,54558,359690.11,8970906.3681,0,0.74
2024-06-15,25.14,25.71,24.97,25.63,363459.16,1718495999999,9212832.5883,22260,191603.71,4859185.3889,0,0.74
2024-06-16,25.63,25.68,25.24,25.46,287940.99,1718582399999,7338337.6065,19790,133774.43,3409928.5602,0,0.71
2024-06-17,25.47,25.55,23.45,24.09,1030167.08,1718668799999,25069973.2387,56291,483352.81,11752658.0438,0,0.71
2024-06-18,24.08,24.13,21.16,23.05,2308466.45,1718755199999,52579567.8054,110585,928826.63,21133372.784,0,0.74
2024-06-19,23.05,24.19,22.9,23.98,760919.59,1718841599999,18092173.8255,43912,351666.89,8366521.0045,0,0.64
2024-06-20,23.99,24.8,23.75,24.06,698008.03,1718927999999,16896374.9503,44075,369163.42,8940476.0708,0,0.6
2024-06-21,24.06,24.11,23.17,23.56,749019.59,1719014399999,17760067.8146,45952,354130.12,8386364.1313,0,0.63
2024-06-22,23.56,23.65,23.27,23.36,261624.8,1719100799999,6145834.9854,22098,131418.68,3087509.1918,0,0.53
2024-06-23,23.36,23.54,22.5,22.66,319753.73,1719187199999,7354423.8073,21715,140139.68,3227740.9726,0,0.55
2024-06-24,22.66,23.05,21.53,23.0,894650.52,1719273599999,20174608.2441,57213,392698.88,8852885.2246,0,0.51
2024-06-25,22.99,23.74,22.89,23.48,393003.74,1719359999999,9203276.8645,27559,204938.42,4798235.0203,0,0.3
2024-06-26,23.48,23.98,23.26,23.68,300860.22,1719446399999,7086033.4011,23579,151790.89,3573738.3969,0,0.46
2024-06-27,23.69,24.41,23.12,24.07,431475.36,1719532799999,10247155.9584,32158,237001.47,5633596.2265,0,0.4
2024-06-28,24.06,24.44,23.38,23.41,382407.8,1719619199999,9151028.169,27041,165620.95,3965550.4895,0,0.47
2024-06-29,23.41,23.75,23.09,23.14,187493.68,1719705599999,4389358.1182,15264,80335.13,1881030.9846,0,0.3
2024-06-30,23.15,23.88,22.69,23.69,272674.62,1719791999999,6333046.6873,20473,136025.32,3159512.9477,0,0.47
2024-07-01,23.69,24.09,23.16,23.24,427936.1,1719878399999,10107717.1556,35499,226563.17,5349360.9736,0,0.53
2024-07-02,23.22,23.46,22.95,23.29,237956.02,1719964799999,5521112.3166,15995,125391.83,2910808.7751,0,0.51
2024-07-03,23.3,23.34,22.25,22.54,399400.28,1720051199999,9047692.8811,25611,180644.81,4089818.9473,0,0.5
2024-07-04,22.55,22.63,20.63,20.77,790964.83,1720137599999,17070567.7782,56666,327708.82,7069990.0732,0,0.44
2024-07-05,20.78,20.85,18.17,20.22,2469049.3,1720223999999,47737746.5969,113595,1209622.42,23387510.0946,0,0.29
2024-07-06,20.22,21.29,20.03,21.18,426454.38,1720310399999,8795532.6271,31319,179684.96,3704686.9473,0,0.26
2024-07-07,21.18,21.24,19.64,19.76,512111.32,1720396799999,10483300.7235,36429,239616.65,4900914.4606,0,0.29
2024-07-08,19.76,21.13,18.93,20.4,725837.75,1720483199999,14581474.1833,51817,364282.77,7326848.9587,0,0.28
2024-07-09,20.4,21.06,20.28,20.64,363104.47,1720569599999,7522818.9308,24729,181421.37,3757375.107,0,0.27
2024-07-10,20.64,21.22,20.43,20.99,300398.96,1720655999999,6291437.0338,21885,157885.76,3306966.3044,0,0.28
2024-07-11,20.99,21.72,20.57,20.66,368264.71,1720742399999,7807280.0118,34733,169828.38,3603837.2347,0,0.29
2024-07-12,20.65,21.78,20.49,21.48,307962.13,1720828799999,6492790.2775,27680,168991.77,3566563.9379,0,0.25
2024-07-13,21.48,22.55,21.43,22.39,814682.06,1720915199999,17940291.892,46024,437328.07,9629938.2944,0,0.25
2024-07-14,22.38,22.73,22.15,22.58,417281.22,1721001599999,9324343.3012,28258,201732.54,4505788.4471,0,0.33
2024-07-15,22.57,23.97,22.51,23.88,380815.94,1721087999999,8819014.1968,39223,209415.12,4849034.1367,0,0.52
2024-07-16,23.89,23.99,22.74,23.59,565285.61,1721174399999,13262932.6224,52906,297554.45,6989861.9304,0,0.65
2024-07-17,23.59,23.89,22.88,22.96,602623.97,1721260799999,14170108.9923,53451,356132.69,8388727.4136,0,0.69
2024-07-18,22.97,23.49,22.51,23.01,399338.0,1721347199999,9217945.7941,46856,196268.16,4531375.918,0,0.61
2024-07-19,23.01,23.69,22.51,23.61,362186.46,1721433599999,8383251.3396,37681,192835.68,4466708.0623,0,0.6
2024-07-20,23.6,24.22,23.37,23.92,414651.22,1721519999999,9859945.8773,32897,236661.48,5628148.5912,0,0.74
2024-07-21,23.92,24.35,22.81,24.16,425196.03,1721606399999,10048981.3573,36908,219135.82,5181649.458,0,0.74
2024-07-22,24.16,24.31,22.98,23.43,429472.07,1721692799999,10106637.1301,34269,217624.2,5126155.619,0,0.7
2024-07-23,23.43,25.15,23.4,24.05,1440619.36,1721779199999,34983497.7049,112447,749049.22,18191773.5691,0,0.71
2024-07-24,24.04,24.14,22.58,22.86,491782.96,1721865599999,11487318.1023,40159,234061.49,5465652.1617,0,0.69
2024-07-25,22.85,22.96,21.28,22.09,573118.86,1721951999999,12608557.8797,47954,246887.23,5433178.9648,0,0.68
2024-07-26,22.09,22.99,22.06,22.91,304481.78,1722038399999,6870350.1409,17943,148766.04,3355575.1572,0,0.68
