open_time,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base,taker_buy_quote,ignore,fg_index
2024-05-01,5.624,5.779,5.204,5.717,11042997.49,1714607999999,60239723.33448,124401,5357273.61,29229343.77624,0,0.54
2024-05-02,5.717,6.028,5.548,5.928,5589898.92,1714694399999,32244850.41056,75305,2821567.48,16280001.30706,0,0.43
2024-05-03,5.927,6.14,5.83,6.047,5333370.65,1714780799999,31973476.77876,75561,2733219.41,16383450.38826,0,0.48
2024-05-04,6.046,6.213,6.0,6.057,4829979.85,1714867199999,29444885.53021,58781,2465714.48,15035272.90909,0,0.67
2024-05-05,6.056,6.302,5.946,6.153,5647081.23,1714953599999,34431465.58772,69639,2825744.47,17233114.60578,0,0.69
2024-05-06,6.154,6.422,6.015,6.027,8252155.07,1715039999999,51219213.49032,89911,3907214.22,24277131.81935,0,0.71
2024-05-07,6.027,6.135,5.765,5.772,6402246.59,1715126399999,38267726.88261,79517,3027677.58,18106582.13181,0,0.68
2024-05-08,5.771,5.819,5.607,5.704,5458454.74,1715212799999,31290503.77633,63490,2684597.25,15392780.11825,0,0.64
2024-05-09,5.702,5.937,5.684,5.92,4521730.95,1715299199999,26178811.07541,51536,2261915.77,13101756.02132,0,0.55
2024-05-10,5.919,5.975,5.564,5.622,6371172.95,1715385599999,36706256.56723,73722,3049186.87,17560526.65067,0,0.66
2024-05-11,5.624,5.689,5.544,5.608,3067354.61,1715471999999,17266104.99996,38141,1465794.23,8251297.77419,0,0.53
2024-05-12,5.607,5.698,5.558,5.605,2090376.74,1715558399999,11778931.85538,25764,1037246.98,5845306.08386,0,0.56
2024-05-13,5.605,5.713,5.366,5.604,6328847.14,1715644799999,35170325.90209,69553,2992808.09,16629233.91208,0,0.57
2024-05-14,5.604,5.622,5.32,5.351,4690856.05,1715731199999,25653450.75374,59331,2195495.09,12006059.76215,0,0.66
2024-05-15,5.351,5.841,5.28,5.784,5871199.74,1715817599999,32863946.38571,77745,3066402.99,17190825.87734,0,0.64
2024-05-16,5.784,5.92,5.619,5.752,6004076.71,1715903999999,34589181.31048,82457,3192970.87,18401759.14731,0,0.7
2024-05-17,5.752,5.989,5.685,5.884,4957475.03,1715990399999,29028807.44604,62954,2577295.06,15090814.49355,0,0.74
2024-05-18,5.884,5.986,5.805,5.85,3164768.34,1716076799999,18639625.16113,39152,1534273.57,9038222.20132,0,0.73
2024-05-19,5.851,5.963,5.48,5.552,5318561.75,1716163199999,30364133.96635,56519,2561823.94,14634327.73842,0,0.72
2024-05-20,5.552,6.204,5.484,6.17,10848569.93,1716249599999,63064955.33694,130693,5637151.85,32790143.81487,0,0.7
2024-05-21,6.168,6.358,6.053,6.235,9495593.06,1716335999999,58698677.46496,99882,4866379.38,30086169.47684,0,0.76
2024-05-22,6.234,6.31,5.96,6.118,7136409.71,1716422399999,43803169.33732,97551,3563183.04,21897041.70943,0,0.76
2024-05-23,6.118,6.236,5.5,5.795,12909952.42,1716508799999,76168763.06481,174630,5762639.59,33997479.8032,0,0.76
2024-05-24,5.794,5.893,5.653,5.82,6059753.88,1716595199999,35063456.70011,76068,2942787.29,17028328.53003,0,0.74
2024-05-25,5.819,6.046,5.809,6.006,3971770.54,1716681599999,23417723.71041,50960,2003624.37,11812319.45769,0,0.76
2024-05-26,6.006,6.04,5.81,5.855,3703042.69,1716767999999,21914851.76701,51797,1667256.27,9868018.30243,0,0.75
2024-05-27,5.854,6.245,5.84,6.116,5532546.43,1716854399999,33384455.68489,88556,2874190.28,17364953.35803,0,0.74
2024-05-28,6.116,6.131,5.829,5.94,5801119.79,1716940799999,34413247.84681,87749,2759933.71,16372109.94691,0,0.72
2024-05-29,5.94,6.049,5.755,5.787,5081259.69,1717027199999,30088710.13494,81150,2404569.29,14251994.76233,0,0.72
2024-05-30,5.786,5.929,5.63,5.808,4641191.16,1717113599999,26885846.50861,74653,2164676.73,12545594.05432,0,0.73
2024-05-31,5.808,5.853,5.636,5.734,3723881.05,1717199999999,21428539.6832,52518,1614159.43,9294485.64524,0,0.73
2024-06-01,5.733,5.817,5.706,5.795,1722900.0,1717286399999,9943276.79607,26079,847736.27,4893598.82518,0,0.72
2024-06-02,5.796,5.922,5.692,5.807,3757665.02,1717372799999,21727980.45006,52139,1768979.79,10238092.61976,0,0.73
2024-06-03,5.808,5.959,5.746,5.786,5565154.03,1717459199999,32624159.91248,70323,2846813.58,16695641.28397,0,0.73
2024-06-04,5.786,6.05,5.711,5.959,5663688.14,1717545599999,33264322.36871,78514,2914437.33,17137852.38388,0,0.73
2024-06-05,5.96,6.104,5.94,6.075,5226184.29,1717631999999,31452842.02686,80148,2763565.61,16635537.64656,0,0.75
2024-06-06,6.076,6.094,5.841,5.957,4441854.16,1717718399999,26676768.42391,66022,1764726.64,10597293.17563,0,0.78
2024-06-07,5.957,6.753,5.7,6.116,25835664.82,1717804799999,162707967.74277,407513,12266836.91,77283837.05014,0,0.77
2024-06-08,6.116,6.47,5.98,6.055,14512600.72,1717891199999,90394783.33229,215701,6869047.82,42822023.00639,0,0.72
2024-06-09,6.054,6.368,6.011,6.128,8379236.2,1717977599999,52077863.84502,113939,4076029.72,25339838.88976,0,0.75
