open_time,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base,taker_buy_quote,ignore,fg_index
2024-05-01,0.00887,0.00897,0.00828,0.00891,246551591.0,1714607999999,2125054.95593,16156,115622557.0,998298.56901,0,0.54
2024-05-02,0.00891,0.00916,0.0086,0.00902,131216280.0,1714694399999,1162514.03148,10042,66952721.0,593352.18742,0,0.43
2024-05-03,0.00903,0.00956,0.00887,0.00942,152061028.0,1714780799999,1399192.05066,11198,72695788.0,670378.91527,0,0.48
2024-05-04,0.00943,0.0095,0.0093,0.00936,120728376.0,1714867199999,1133476.32003,8891,61014111.0,572769.50591,0,0.67
2024-05-05,0.00936,0.00951,0.00916,0.00938,116357301.0,1714953599999,1085447.39101,8866,61634095.0,574838.90372,0,0.69
2024-05-06,0.00937,0.00963,0.00911,0.00913,230132631.0,1715039999999,2151770.70707,17023,109836881.0,1026263.38512,0,0.71
2024-05-07,0.00913,0.00926,0.00894,0.00898,168791792.0,1715126399999,1538852.64388,11324,85543352.0,779808.33718,0,0.68
2024-05-08,0.00898,0.00919,0.00883,0.00897,158715389.0,1715212799999,1425309.50841,12829,74101748.0,665302.41822,0,0.64
2024-05-09,0.00897,0.00922,0.00877,0.00918,126674888.0,1715299199999,1138238.53259,9574,62712305.0,563824.2423,0,0.55
2024-05-10,0.00918,0.00926,0.00868,0.00882,132033504.0,1715385599999,1186297.46124,10281,66886415.0,601838.6311,0,0.66
2024-05-11,0.00881,0.00892,0.0086,0.00861,164819966.0,1715471999999,1438601.01248,9763,96841547.0,845612.51347,0,0.53
2024-05-12,0.00862,0.00867,0.00841,0.00848,84576677.0,1715558399999,724630.43087,7662,43970540.0,376745.56453,0,0.56
2024-05-13,0.00848,0.00874,0.00818,0.00856,174817752.0,1715644799999,1484452.38701,13928,80224039.0,680711.48115,0,0.57
2024-05-14,0.00857,0.00867,0.00838,0.0084,171977182.0,1715731199999,1467970.16151,12971,92349647.0,788984.37479,0,0.66
2024-05-15,0.0084,0.00895,0.00839,0.0089,125487778.0,1715817599999,1087021.45879,10087,64643629.0,559766.52549,0,0.64
2024-05-16,0.0089,0.00908,0.00873,0.00895,130635855.0,1715903999999,1167718.47512,9100,71248229.0,637789.08546,0,0.7
2024-05-17,0.00895,0.00923,0.00883,0.00914,127480069.0,1715990399999,1158111.91609,8947,62969601.0,572322.28613,0,0.74
2024-05-18,0.00914,0.00922,0.00905,0.00921,96721721.0,1716076799999,885243.96762,6937,56364496.0,516205.89335,0,0.73
2024-05-19,0.00921,0.00925,0.00876,0.00882,104966495.0,1716163199999,942431.2902,7296,50000569.0,449085.30842,0,0.72
2024-05-20,0.00882,0.00968,0.00869,0.00966,250861312.0,1716249599999,2320334.08121,18604,128240760.0,1188204.39391,0,0.7
2024-05-21,0.00966,0.00977,0.00946,0.00965,232459060.0,1716335999999,2233241.36884,16243,122356389.0,1175675.54929,0,0.76
2024-05-22,0.00965,0.00968,0.00932,0.00945,201952987.0,1716422399999,1921812.73628,15491,94291041.0,897280.34793,0,0.76
2024-05-23,0.00944,0.00958,0.00883,0.00928,273672895.0,1716508799999,2521123.26435,21172,146742400.0,1350426.75781,0,0.76
2024-05-24,0.00928,0.00939,0.009,0.00936,92552564.0,1716595199999,856194.71583,8861,49016315.0,453821.41476,0,0.74
2024-05-25,0.00935,0.00952,0.0093,0.0094,95297360.0,1716681599999,895675.92083,6610,50817665.0,477738.34956,0,0.76
2024-05-26,0.00939,0.0094,0.009,0.00908,96696441.0,1716767999999,891986.44133,7469,42144604.0,388625.8249,0,0.75
2024-05-27,0.00908,0.00938,0.009,0.00907,166250324.0,1716854399999,1517487.00697,16051,75788048.0,692381.06993,0,0.74
2024-05-28,0.00907,0.00909,0.00876,0.00894,269223166.0,1716940799999,2401118.79376,22954,137525005.0,1226982.34733,0,0.72
2024-05-29,0.00894,0.0091,0.00876,0.0088,149539865.0,1717027199999,1342036.12713,15433,76049654.0,682579.56213,0,0.72
2024-05-30,0.00879,0.00891,0.00854,0.00874,197066949.0,1717113599999,1726400.19523,16323,92327093.0,809828.27728,0,0.73
2024-05-31,0.00873,0.00877,0.0085,0.00868,160519477.0,1717199999999,1389979.42021,14237,76892648.0,666218.63421,0,0.73
2024-06-01,0.00867,0.00869,0.00859,0.00866,54387805.0,1717286399999,470054.64479,5368,25442585.0,220002.42894,0,0.72
2024-06-02,0.00866,0.00876,0.00853,0.00857,92460036.0,1717372799999,799788.12922,8722,40348609.0,349127.15231,0,0.73
2024-06-03,0.00857,0.00874,0.00848,0.0085,128096795.0,1717459199999,1103847.45864,10197,59192101.0,510114.2637,0,0.73
2024-06-04,0.00851,0.00871,0.00844,0.00869,163612077.0,1717545599999,1401234.03429,12481,74912838.0,640694.79553,0,0.73
2024-06-05,0.00868,0.00876,0.00859,0.00875,155445813.0,1717631999999,1350561.71999,12847,66833325.0,581170.57182,0,0.75
2024-06-06,0.00875,0.00878,0.00847,0.00861,111372115.0,1717718399999,961974.66188,10692,47799632.0,413001.76154,0,0.78
2024-06-07,0.00861,0.00877,0.00744,0.00806,434407645.0,1717804799999,3521546.19626,30042,209323881.0,1691542.30794,0,0.77
2024-06-08,0.00806,0.00811,0.00751,0.00759,221525791.0,1717891199999,1725082.62301,21751,111525978.0,868345.12423,0,0.72
2024-06-09,0.00759,0.00784,0.00755,0.0078,110535377.0,1717977599999,851686.95496,11053,54773933.0,422166.74939,0,0.75
2024-06-10,0.00781,0.00787,0.00756,0.00767,151227729.0,1718063999999,1169494.9115,11275,72375260.0,559735.6846,0,0.72
2024-06-11,0.00768,0.00774,0.00722,0.00745,327701838.0,1718150399999,2456931.79881,20410,155585786.0,1167974.364,0,0.74
2024-06-12,0.00746,0.00792,0.00729,0.00778,192897494.0,1718236799999,1484821.93358,16001,106477648.0,819997.05709,0,0.72
2024-06-13,0.00779,0.00795,0.0076,0.00766,220085589.0,1718323199999,1717817.86547,19931,116995462.0,913475.08541,0,0.7
2024-06-14,0.00767,0.00773,0.00718,0.00736,179483564.0,1718409599999,1341029.87582,18001,89830699.0,671221.95552,0,0.74
2024-06-15,0.00736,0.00753,0.00731,0.0075,55371596.0,1718495999999,411553.45735,6692,26721428.0,198672.25811,0,0.74
2024-06-16,0.0075,0.0077,0.00743,0.00764,105033002.0,1718582399999,798376.32258,10112,52155276.0,396761.38586,0,0.71
2024-06-17,0.00764,0.00768,0.00672,0.00676,344213452.0,1718668799999,2443989.6484,24169,153528551.0,1087740.11469,0,0.71
2024-06-18,0.00677,0.00681,0.00587,0.00633,439293584.0,1718755199999,2773977.54282,25190,218665500.0,1379239.99652,0,0.74
2024-06-19,0.00632,0.00657,0.00626,0.00653,119180797.0,1718841599999,769301.65586,11154,59802289.0,386297.17599,0,0.64
2024-06-20,0.00653,0.0071,0.00649,0.00658,289054415.0,1718927999999,1971968.16935,20570,131294209.0,893388.69055,0,0.6
2024-06-21,0.00658,0.00677,0.0065,0.00659,124795451.0,1719014399999,830108.64856,9744,63322914.0,421270.88297,0,0.63
2024-06-22,0.0066,0.00683,0.00651,0.00682,85010674.0,1719100799999,566546.95432,6038,43736180.0,292107.59724,0,0.53
2024-06-23,0.00682,0.00685,0.00648,0.00652,128839451.0,1719187199999,861762.82051,7730,52813806.0,353117.1991,0,0.55
2024-06-24,0.00652,0.00661,0.00608,0.00656,312314508.0,1719273599999,1983642.71281,23331,169678742.0,1078444.08546,0,0.51
2024-06-25,0.00655,0.00678,0.00647,0.00663,169443127.0,1719359999999,1124193.5637,13589,95789416.0,636082.57693,0,0.3
2024-06-26,0.00663,0.00673,0.00637,0.00639,117718765.0,1719446399999,774921.88213,8729,66120700.0,435903.78242,0,0.46
2024-06-27,0.0064,0.00668,0.0063,0.00666,87791205.0,1719532799999,569772.53746,8296,46624680.0,302586.85414,0,0.4
2024-06-28,0.00665,0.00675,0.00654,0.00654,113230228.0,1719619199999,753437.145,11132,51486136.0,343041.91713,0,0.47
2024-06-29,0.00655,0.00664,0.00641,0.00644,56365110.0,1719705599999,368694.00044,6007,31803684.0,208132.21291,0,0.3
2024-06-30,0.00644,0.0067,0.00639,0.00666,62728781.0,1719791999999,410514.39036,6908,32158623.0,210639.31161,0,0.47
2024-07-01,0.00667,0.00674,0.00649,0.00651,98756480.0,1719878399999,652774.8347,9063,50256171.0,332268.54837,0,0.53
2024-07-02,0.00652,0.00667,0.00594,0.00605,819897892.0,1719964799999,5094476.18615,45486,388262127.0,2415988.38769,0,0.51
2024-07-03,0.00605,0.00629,0.00587,0.00602,618958775.0,1720051199999,3777968.10642,34388,291185822.0,1779064.48725,0,0.5
2024-07-04,0.00602,0.00605,0.00559,0.00569,385065349.0,1720137599999,2239706.14876,24804,179065260.0,1041385.08545,0,0.44
2024-07-05,0.00569,0.00569,0.00461,0.00531,776251987.0,1720223999999,3977420.10682,35647,358973193.0,1838571.36266,0,0.29
2024-07-06,0.00532,0.00575,0.00525,0.0057,152392110.0,1720310399999,830937.35143,12063,78438266.0,429566.40317,0,0.26
2024-07-07,0.00571,0.00575,0.00534,0.00538,137764757.0,1720396799999,769666.33667,10200,71904729.0,401938.62625,0,0.29
2024-07-08,0.00538,0.00582,0.00516,0.00562,221672037.0,1720483199999,1235495.74209,17085,107810347.0,600759.7086,0,0.28
2024-07-09,0.00562,0.00576,0.00555,0.00566,140449404.0,1720569599999,793395.71287,9148,71393239.0,403827.84385,0,0.27
2024-07-10,0.00566,0.0058,0.0056,0.0057,124421033.0,1720655999999,711367.033,8050,77732263.0,444417.81879,0,0.28
2024-07-11,0.0057,0.00586,0.00565,0.00566,109752743.0,1720742399999,631663.08666,7782,54366018.0,313248.87068,0,0.29
2024-07-12,0.00567,0.00583,0.00562,0.00579,102195099.0,1720828799999,585205.50739,8351,52890208.0,302953.94297,0,0.25
2024-07-13,0.00579,0.00592,0.00575,0.00586,89081506.0,1720915199999,519162.82791,5847,54381614.0,317062.36218,0,0.25
2024-07-14,0.00586,0.00602,0.0058,0.00599,92294190.0,1721001599999,544106.1188,5784,50820889.0,299628.6422,0,0.33
2024-07-15,0.00598,0.00623,0.00598,0.00622,181140855.0,1721087999999,1105766.47986,11190,86813718.0,530194.24665,0,0.52
2024-07-16,0.00623,0.00634,0.00597,0.00628,212281208.0,1721174399999,1314789.7184,14258,101020477.0,626154.24127,0,0.65
2024-07-17,0.00628,0.00643,0.0062,0.00622,140366708.0,1721260799999,888475.72409,10010,71759565.0,454433.31822,0,0.69
2024-07-18,0.00623,0.00639,0.00602,0.00617,167591232.0,1721347199999,1036399.85488,10251,92152574.0,569677.10667,0,0.61
2024-07-19,0.00617,0.00638,0.00605,0.00636,176616859.0,1721433599999,1104994.59281,11360,101820531.0,637185.85815,0,0.6
2024-07-20,0.00637,0.00642,0.00628,0.00634,104321956.0,1721519999999,662930.09937,6273,63522277.0,403717.9681,0,0.74
2024-07-21,0.00634,0.0065,0.00605,0.00634,194350220.0,1721606399999,1224199.6179,9195,109396466.0,689233.60962,0,0.74
2024-07-22,0.00635,0.00645,0.00604,0.00608,172284393.0,1721692799999,1072290.93084,11582,92105365.0,573683.53651,0,0.7
2024-07-23,0.00608,0.00627,0.00589,0.00602,248237710.0,1721779199999,1505513.61744,14100,141484401.0,858814.44063,0,0.71
2024-07-24,0.00602,0.00618,0.00591,0.00595,115574677.0,1721865599999,698061.72578,8298,63770220.0,384864.66878,0,0.69
2024-07-25,0.00594,0.00599,0.00555,0.00581,197189488.0,1721951999999,1130870.33025,12396,98553066.0,565034.67039,0,0.68
2024-07-26,0.0058,0.00616,0.00577,0.00615,89487279.0,1722038399999,533188.75499,5895,48737293.0,290810.09019,0,0.68
2024-07-27,0.00616,0.00639,0.00612,0.0063,148170034.0,1722124799999,928377.116,10085,70395751.0,441265.47526,0,0.72
2024-07-28,0.00629,0.00638,0.00616,0.00633,154966956.0,1722211199999,970768.43151,8536,88164945.0,552862.12719,0,0.71
2024-07-29,0.00633,0.00642,0.00618,0.00629,191657034.0,1722297599999,1213558.69754,12169,93369771.0,592187.2456,0,0.74
2024-07-30,0.00629,0.00638,0.00599,0.00608,121332396.0,1722383999999,755570.10594,8954,59024451.0,367382.81376,0,0.67
2024-07-31,0.00608,0.00617,0.00592,0.00593,109635590.0,1722470399999,665194.34016,8345,48975400.0,297384.9462,0,0.61
2024-08-01,0.00593,0.00599,0.00545,0.00585,118140150.0,1722556799999,680709.97493,10334,57907350.0,333571.06972,0,0.52
2024-08-02,0.00585,0.00587,0.00544,0.00553,119601330.0,1722643199999,676136.76558,10161,63268522.0,357529.90428,0,0.57
2024-08-03,0.00553,0.00561,0.00515,0.00525,154567249.0,1722729599999,831657.68152,9960,75723971.0,408327.0833,0,0.37
2024-08-04,0.00525,0.00535,0.00477,0.00486,172747085.0,1722815999999,871061.24374,11457,89439634.0,449296.15725,0,0.34
2024-08-05,0.00486,0.00492,0.00398,0.00456,709693577.0,1722902399999,3121918.92203,43590,365590027.0,1608283.63198,0,0.26
2024-08-06,0.00455,0.00487,0.00455,0.00477,185853749.0,1722988799999,884399.02332,12825,97324952.0,463326.22928,0,0.17
2024-08-07,0.00476,0.00495,0.00464,0.00474,144875269.0,1723075199999,696623.98321,11144,73021597.0,351641.23476,0,0.29
2024-08-08,0.00473,0.00527,0.00465,0.00525,156198991.0,1723161599999,781718.93786,9635,83580848.0,418642.42852,0,0.2
2024-08-09,0.00526,0.00534,0.00515,0.00527,135729399.0,1723247999999,711610.44121,6790,74068074.0,388373.77236,0,0.48
2024-08-10,0.00528,0.00539,0.00523,0.00537,71227058.0,1723334399999,377352.902,4001,38302266.0,202901.41416,0,0.4
2024-08-11,0.00537,0.00539,0.005,0.00504,86468575.0,1723420799999,452125.64482,5348,33712689.0,176499.53702,0,0.39
2024-08-12,0.00505,0.00527,0.00493,0.00522,204227620.0,1723507199999,1044685.61493,14252,84429110.0,433688.90521,0,0.25
2024-08-13,0.00521,0.00538,0.0051,0.00533,115907464.0,1723593599999,605317.50741,5605,59182386.0,309329.99186,0,0.31
2024-08-14,0.00533,0.00534,0.00513,0.00522,122759789.0,1723679999999,645188.45093,5580,58126346.0,305285.61044,0,0.3
2024-08-15,0.00522,0.00527,0.00488,0.00497,131199822.0,1723766399999,669002.28602,5433,66086155.0,336565.44965,0,0.29
2024-08-16,0.00498,0.00502,0.00482,0.00491,149427664.0,1723852799999,736642.64573,5328,77997937.0,384677.16066,0,0.27
2024-08-17,0.0049,0.00504,0.00489,0.00499,69109743.0,1723939199999,343192.76532,3248,39422989.0,195980.0394,0,0.25
2024-08-18,0.00499,0.00512,0.00489,0.00501,101001647.0,1724025599999,506865.54106,5917,51486718.0,258384.17569,0,0.31
2024-08-19,0.00501,0.00519,0.00494,0.00519,184971499.0,1724111999999,938928.52155,7692,86417007.0,439009.8386,0,0.28
2024-08-20,0.00518,0.0053,0.00514,0.00523,126133168.0,1724198399999,660914.87528,10388,70802212.0,371261.89281,0,0.3
2024-08-21,0.00523,0.00545,0.00514,0.00538,188814954.0,1724284799999,995982.26341,12456,106943604.0,564267.43686,0,0.26
2024-08-22,0.00538,0.00554,0.0053,0.00547,105112187.0,1724371199999,571764.37889,7362,53967750.0,293950.62183,0,0.39
2024-08-23,0.00548,0.00576,0.00545,0.00571,146975472.0,1724457599999,822919.0761,8780,78471491.0,439774.89811,0,0.34
2024-08-24,0.00572,0.00597,0.00562,0.00579,301990025.0,1724543999999,1757893.47877,15692,173734661.0,1013006.77899,0,0.56
2024-08-25,0.00578,0.00582,0.00552,0.00562,170953207.0,1724630399999,967979.98853,8908,83861938.0,474896.28069,0,0.54
2024-08-26,0.00561,0.00567,0.00526,0.00526,320308404.0,1724716799999,1762046.79702,11841,160493170.0,884174.16595,0,0.55
2024-08-27,0.00527,0.00538,0.00479,0.00493,272893765.0,1724803199999,1398220.66363,11030,116580203.0,597056.94325,0,0.48
2024-08-28,0.00493,0.00507,0.00474,0.0049,216127286.0,1724889599999,1060553.9659,9790,109495797.0,537828.54269,0,0.3
