open_time,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base,taker_buy_quote,ignore,fg_index
2024-05-01,0.2132,0.2174,0.1995,0.2135,39445348.0,1714607999999,8211671.9791,56881,19956144.0,4154916.8522,0,0.54
2024-05-02,0.2134,0.2232,0.2071,0.2186,24891311.0,1714694399999,5361871.5707,31422,12520009.0,2697245.1297,0,0.43
2024-05-03,0.2185,0.2291,0.2163,0.2265,30112952.0,1714780799999,6699750.0216,36881,14622450.0,3252009.2913,0,0.48
2024-05-04,0.2265,0.2304,0.2249,0.2269,17820114.0,1714867199999,4057989.8158,20945,8586459.0,1955171.5761,0,0.67
2024-05-05,0.2268,0.2316,0.2221,0.2277,17606585.0,1714953599999,3992977.769,22243,8742188.0,1982560.1041,0,0.69
2024-05-06,0.2278,0.2385,0.2233,0.2266,42928890.0,1715039999999,9865442.8128,43718,20974839.0,4822550.8289,0,0.71
2024-05-07,0.2266,0.2304,0.2181,0.2182,26784991.0,1715126399999,6040485.1405,31055,13108969.0,2956947.6085,0,0.68
2024-05-08,0.2182,0.2229,0.2129,0.2174,29386613.0,1715212799999,6409839.1212,30864,15376480.0,3354660.2215,0,0.64
2024-05-09,0.2173,0.2285,0.2152,0.2269,22188056.0,1715299199999,4915053.5114,23881,10947499.0,2426346.6995,0,0.55
2024-05-10,0.2269,0.23,0.2103,0.2128,26598321.0,1715385599999,5838760.0028,31872,13321337.0,2918927.0633,0,0.66
2024-05-11,0.2128,0.2164,0.2101,0.2104,14699654.0,1715471999999,3132975.3191,17097,6912792.0,1473543.9778,0,0.53
2024-05-12,0.2104,0.2121,0.2046,0.2069,10269285.0,1715558399999,2149621.04,13187,5497058.0,1150775.061,0,0.56
2024-05-13,0.207,0.2121,0.1996,0.2077,23380540.0,1715644799999,4812634.8531,28149,12292878.0,2531618.7466,0,0.57
2024-05-14,0.2078,0.2098,0.1997,0.2007,27237941.0,1715731199999,5596055.862,28782,12984589.0,2669787.0211,0,0.66
2024-05-15,0.2007,0.2166,0.1988,0.2148,22672685.0,1715817599999,4727162.067,26799,11708858.0,2439232.089,0,0.64
2024-05-16,0.2149,0.217,0.208,0.212,21800159.0,1715903999999,4643888.4331,22131,11453147.0,2441968.1568,0,0.7
2024-05-17,0.212,0.2224,0.2093,0.2195,17618693.0,1715990399999,3811312.0566,19634,9055098.0,1958499.9859,0,0.74
2024-05-18,0.2194,0.2223,0.2147,0.2156,11385536.0,1716076799999,2489541.275,15766,5774341.0,1262750.9899,0,0.73
2024-05-19,0.2156,0.2173,0.2032,0.2051,16042549.0,1716163199999,3370860.3283,20214,7431793.0,1559186.526,0,0.72
2024-05-20,0.205,0.2331,0.2018,0.2316,67867436.0,1716249599999,14779191.6147,77691,36621970.0,7969630.1271,0,0.7
2024-05-21,0.2316,0.2374,0.2282,0.2335,33553950.0,1716335999999,7818889.1511,39420,15949253.0,3716807.3911,0,0.76
2024-05-22,0.2336,0.234,0.2223,0.232,28270623.0,1716422399999,6484352.6348,32987,13860658.0,3178357.3737,0,0.76
2024-05-23,0.232,0.2345,0.2121,0.2269,38374740.0,1716508799999,8644093.8016,46150,19126639.0,4311619.53,0,0.76
2024-05-24,0.2269,0.2348,0.2203,0.2303,25860260.0,1716595199999,5897493.515,25253,12539962.0,2859836.6178,0,0.74
2024-05-25,0.2303,0.2324,0.2283,0.231,17147321.0,1716681599999,3940986.5861,17904,8129947.0,1869053.2009,0,0.76
2024-05-26,0.231,0.2318,0.2228,0.2239,16513033.0,1716767999999,3746832.7289,17922,7908473.0,1794789.0886,0,0.75
2024-05-27,0.2239,0.2341,0.2229,0.2304,23969446.0,1716854399999,5491171.7136,26014,12176051.0,2789408.6831,0,0.74
2024-05-28,0.2305,0.232,0.2224,0.229,28625723.0,1716940799999,6502947.0708,33606,14093425.0,3202233.8575,0,0.72
2024-05-29,0.229,0.2337,0.2224,0.2233,35663114.0,1717027199999,8123716.6482,38028,16628789.0,3793814.0706,0,0.72
2024-05-30,0.2232,0.2259,0.2166,0.2184,20560162.0,1717113599999,4549075.2337,24167,9752769.0,2159079.0268,0,0.73
2024-05-31,0.2184,0.2215,0.2127,0.2178,28612909.0,1717199999999,6240829.084,34123,13447207.0,2935036.9401,0,0.73
2024-06-01,0.2178,0.2197,0.2159,0.218,8888815.0,1717286399999,1935847.0328,12309,4367037.0,951129.5123,0,0.72
2024-06-02,0.2179,0.22,0.2125,0.2139,27941430.0,1717372799999,6047017.6213,31835,13856686.0,2999121.7384,0,0.73
2024-06-03,0.2139,0.2187,0.2113,0.2151,19546684.0,1717459199999,4222817.6826,18749,9589632.0,2071999.9387,0,0.73
2024-06-04,0.2151,0.2332,0.2133,0.2313,52275754.0,1717545599999,11780707.5816,51173,27428792.0,6183698.4781,0,0.73
2024-06-05,0.2313,0.2373,0.2278,0.2364,24620656.0,1717631999999,5710840.8053,26133,13309043.0,3088136.2164,0,0.75
2024-06-06,0.2363,0.2401,0.2271,0.2373,28001831.0,1717718399999,6515825.8171,30335,14458077.0,3368056.6857,0,0.78
2024-06-07,0.2372,0.254,0.196,0.2191,84329053.0,1717804799999,20219152.3232,96441,41126494.0,9888342.3543,0,0.77
2024-06-08,0.2191,0.2219,0.2052,0.2081,30856912.0,1717891199999,6564506.8367,30253,14238548.0,3031819.8808,0,0.72
2024-06-09,0.208,0.2121,0.2038,0.2117,13226759.0,1717977599999,2765385.162,16495,6976817.0,1459204.2677,0,0.75
