open_time,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base,taker_buy_quote,ignore,fg_index
2024-05-01,0.05337,0.05434,0.05025,0.05338,107144075.0,1714607999999,5569963.2859,83239,53273865.0,2770392.82757,0,0.54
2024-05-02,0.05337,0.05462,0.05157,0.0541,71023963.0,1714694399999,3770973.30912,46847,34550923.0,1835267.26294,0,0.43
2024-05-03,0.05409,0.05876,0.05314,0.05795,74150676.0,1714780799999,4120063.4483,53795,38425318.0,2134849.44073,0,0.48
2024-05-04,0.05798,0.05924,0.05618,0.05629,70174334.0,1714867199999,4039393.53256,46375,33728447.0,1942630.57329,0,0.67
2024-05-05,0.05631,0.05777,0.05458,0.05683,58120007.0,1714953599999,3252563.64753,41916,27413842.0,1534932.50017,0,0.69
2024-05-06,0.05684,0.0585,0.05361,0.05382,96388490.0,1715039999999,5395126.50865,66610,46746754.0,2616465.75794,0,0.71
2024-05-07,0.05383,0.0544,0.05175,0.05179,64831631.0,1715126399999,3460427.01335,50525,31372994.0,1674725.64646,0,0.68
2024-05-08,0.05178,0.05212,0.047,0.04746,150406870.0,1715212799999,7388429.33528,95002,86377122.0,4243093.57043,0,0.64
2024-05-09,0.04746,0.05054,0.04666,0.04986,102084245.0,1715299199999,4930178.90014,59834,53702200.0,2593770.63861,0,0.55
2024-05-10,0.04987,0.05094,0.04724,0.0485,85527003.0,1715385599999,4192075.20626,58162,42872535.0,2100673.60934,0,0.66
2024-05-11,0.04851,0.0503,0.04837,0.04957,69403012.0,1715471999999,3425202.30922,42569,34331662.0,1695286.87153,0,0.53
2024-05-12,0.04959,0.05075,0.04886,0.04915,51804739.0,1715558399999,2587048.24304,29850,24310016.0,1214256.33687,0,0.56
2024-05-13,0.04915,0.04984,0.04637,0.04765,109225429.0,1715644799999,5258661.97503,66634,51511311.0,2481157.54874,0,0.57
2024-05-14,0.04765,0.04795,0.04528,0.04546,84067920.0,1715731199999,3908277.20443,49640,40409036.0,1879385.0503,0,0.66
2024-05-15,0.04547,0.04931,0.04466,0.04872,100656219.0,1715817599999,4728349.53148,59347,51920593.0,2439262.95384,0,0.64
2024-05-16,0.04872,0.05187,0.04807,0.04936,101892376.0,1715903999999,5093220.10665,60275,52260290.0,2615116.26501,0,0.7
2024-05-17,0.04936,0.05199,0.04867,0.05068,68769659.0,1715990399999,3464183.21092,37349,34289048.0,1727281.07992,0,0.74
2024-05-18,0.05068,0.05172,0.04993,0.05123,44012331.0,1716076799999,2243488.13791,26649,20395220.0,1039557.01036,0,0.73
2024-05-19,0.05125,0.05178,0.04807,0.0484,43056885.0,1716163199999,2145594.06448,28513,19219592.0,957085.74704,0,0.72
2024-05-20,0.0484,0.05385,0.04732,0.05341,77852197.0,1716249599999,3931325.7782,55038,38582295.0,1948781.29498,0,0.7
2024-05-21,0.05344,0.05508,0.05249,0.05335,110917578.0,1716335999999,5975295.41404,60838,54083165.0,2913974.69559,0,0.76
2024-05-22,0.05334,0.05384,0.05089,0.05162,91586721.0,1716422399999,4792703.64149,53820,43397882.0,2272167.50458,0,0.76
2024-05-23,0.05162,0.05308,0.04761,0.05037,107618529.0,1716508799999,5442309.35115,71101,54239055.0,2742001.97527,0,0.76
2024-05-24,0.05037,0.05185,0.04923,0.05124,59912313.0,1716595199999,3043543.8916,38777,29058546.0,1476436.62892,0,0.74
2024-05-25,0.05126,0.05455,0.05105,0.05325,87149950.0,1716681599999,4624959.17244,82126,44655470.0,2369868.04683,0,0.76
2024-05-26,0.05326,0.0535,0.05049,0.05109,76146517.0,1716767999999,3949593.46312,55812,35101445.0,1819560.56042,0,0.75
2024-05-27,0.05109,0.05879,0.05062,0.0572,233231417.0,1716854399999,12991029.08485,126241,120097840.0,6689988.37356,0,0.74
2024-05-28,0.05718,0.05785,0.05365,0.055,154654519.0,1716940799999,8543877.86267,86806,74608293.0,4123470.97119,0,0.72
2024-05-29,0.055,0.05597,0.05308,0.05319,101409936.0,1717027199999,5527996.10477,64195,49903417.0,2721269.59254,0,0.72
2024-05-30,0.05318,0.06106,0.05218,0.05804,259160980.0,1717113599999,14781051.70627,149349,131128711.0,7483780.00035,0,0.73
2024-05-31,0.05805,0.06108,0.05643,0.05753,178996831.0,1717199999999,10556820.01353,102561,87956816.0,5195864.33609,0,0.73
2024-06-01,0.05755,0.06469,0.0575,0.06298,189912913.0,1717286399999,11727814.13082,126602,99757105.0,6158531.73717,0,0.72
2024-06-02,0.06297,0.06412,0.05909,0.05948,114708594.0,1717372799999,7107695.61175,69010,51111895.0,3168738.40533,0,0.73
2024-06-03,0.05949,0.06183,0.05837,0.05881,86492723.0,1717459199999,5170783.7964,65950,41610369.0,2489252.16945,0,0.73
2024-06-04,0.05881,0.06093,0.05751,0.06063,67167534.0,1717545599999,3974264.67158,51624,32259344.0,1909804.81689,0,0.73
2024-06-05,0.06064,0.06582,0.06039,0.06551,137717450.0,1717631999999,8709766.68565,86591,70399243.0,4450895.63575,0,0.75
2024-06-06,0.06549,0.06586,0.06202,0.06214,82846980.0,1717718399999,5312415.8114,44756,39499722.0,2534659.36814,0,0.78
2024-06-07,0.06215,0.0657,0.05266,0.05712,157252924.0,1717804799999,9533914.11718,82499,78863136.0,4768776.26557,0,0.77
2024-06-08,0.05711,0.05895,0.0523,0.05322,126408878.0,1717891199999,6969375.88612,66030,59225300.0,3266680.48484,0,0.72
2024-06-09,0.05321,0.05468,0.05222,0.05384,54824560.0,1717977599999,2933683.02748,41506,28041459.0,1500401.16101,0,0.75
2024-06-10,0.05385,0.05432,0.05213,0.05242,60634089.0,1718063999999,3230672.88077,40277,28836113.0,1537270.78445,0,0.72
2024-06-11,0.05237,0.05291,0.04823,0.04986,99169152.0,1718150399999,5001940.45087,49136,47438346.0,2391789.15651,0,0.74
2024-06-12,0.04986,0.05397,0.04903,0.05204,142700588.0,1718236799999,7412524.69599,67781,72079252.0,3741184.04638,0,0.72
2024-06-13,0.05204,0.05222,0.04816,0.04866,136804794.0,1718323199999,6833375.35831,65497,67034731.0,3347024.75817,0,0.7
2024-06-14,0.04866,0.05033,0.04638,0.04779,165666823.0,1718409599999,8014548.98447,75134,82593066.0,3995010.60602,0,0.74
2024-06-15,0.0478,0.04932,0.04724,0.04841,77747333.0,1718495999999,3760217.97569,33825,38915213.0,1881693.51932,0,0.74
2024-06-16,0.04841,0.06391,0.04775,0.05046,325595579.0,1718582399999,16836361.19427,133775,159380268.0,8312744.58248,0,0.71
2024-06-17,0.05044,0.0536,0.04673,0.05261,261051281.0,1718668799999,13153402.4548,110044,130411241.0,6579432.73402,0,0.71
2024-06-18,0.05262,0.05358,0.04263,0.04406,253523141.0,1718755199999,11872291.95088,119516,121583266.0,5675833.26057,0,0.74
2024-06-19,0.04407,0.04706,0.04271,0.04558,134382338.0,1718841599999,6067091.64571,63104,67025617.0,3028880.97333,0,0.64
2024-06-20,0.04557,0.04827,0.04494,0.04525,75757573.0,1718927999999,3518414.93646,50147,35224806.0,1636595.50206,0,0.6
2024-06-21,0.04524,0.04578,0.043,0.04313,85373439.0,1719014399999,3760461.57736,51810,41014022.0,1805771.0402,0,0.63
2024-06-22,0.04314,0.04321,0.04142,0.04155,46573505.0,1719100799999,1978831.74737,25050,21047057.0,894940.48806,0,0.53
2024-06-23,0.04158,0.04301,0.04003,0.04028,46792148.0,1719187199999,1948497.04225,26427,21150242.0,880400.22186,0,0.55
2024-06-24,0.04027,0.04078,0.038,0.04021,174785480.0,1719273599999,6884874.85827,75010,79598507.0,3137731.48784,0,0.51
2024-06-25,0.04023,0.04168,0.03995,0.04108,82965390.0,1719359999999,3382690.77439,33623,41797733.0,1704925.6969,0,0.3
2024-06-26,0.04109,0.04154,0.0389,0.03951,67682915.0,1719446399999,2715571.83626,34623,31256797.0,1254865.41355,0,0.46
2024-06-27,0.03949,0.04126,0.03865,0.04058,79513772.0,1719532799999,3179816.22909,38242,36331027.0,1453318.66036,0,0.4
2024-06-28,0.04058,0.04251,0.03964,0.03977,98341203.0,1719619199999,4047179.23907,42944,47362800.0,1948348.71705,0,0.47
2024-06-29,0.03977,0.04019,0.03736,0.03773,83096973.0,1719705599999,3219666.81,31345,43612243.0,1687447.5744,0,0.3
