open_time,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base,taker_buy_quote,ignore,fg_index
2024-05-01,28.71,29.24,26.67,29.01,134881.18,1714607999999,3753898.36997,34405,62869.834,1753478.75501,0,0.54
2024-05-02,29.04,30.39,28.07,29.93,86657.276,1714694399999,2544325.77915,25434,47113.26,1384480.56805,0,0.43
2024-05-03,29.94,30.67,29.02,30.3,89156.755,1714780799999,2677524.45388,26478,44816.534,1346988.84849,0,0.48
2024-05-04,30.3,30.44,28.7,28.75,120581.936,1714867199999,3559181.53451,31586,56775.684,1673936.75129,0,0.67
2024-05-05,28.74,29.95,27.96,29.02,159465.013,1714953599999,4590271.85472,40110,81746.436,2349942.95997,0,0.69
2024-05-06,29.02,30.2,27.85,27.99,147750.109,1715039999999,4261041.1624,40260,69962.32,2015429.72148,0,0.71
2024-05-07,27.98,29.25,27.75,28.01,98082.197,1715126399999,2794152.3108,31872,45053.783,1282051.62149,0,0.68
2024-05-08,28.0,31.0,27.43,28.57,158746.009,1715212799999,4568797.17615,41314,73502.876,2117563.04589,0,0.64
2024-05-09,28.56,30.68,28.22,30.19,130309.003,1715299199999,3851001.12733,35282,63392.068,1873141.64108,0,0.55
2024-05-10,30.18,30.92,28.3,28.68,136186.199,1715385599999,4042008.49627,33628,63712.603,1893197.43424,0,0.66
2024-05-11,28.67,29.22,28.01,28.07,49354.144,1715471999999,1414694.17911,15422,27589.768,790977.33219,0,0.53
2024-05-12,28.07,28.84,27.72,27.77,41242.156,1715558399999,1166325.51876,13708,20230.497,571514.39424,0,0.56
2024-05-13,27.78,29.41,26.9,27.94,76763.013,1715644799999,2157691.48866,25002,38159.086,1070989.29519,0,0.57
2024-05-14,27.93,28.62,26.94,27.1,66455.825,1715731199999,1851387.68626,20434,31673.016,882211.41912,0,0.66
2024-05-15,27.1,29.55,26.82,29.4,77494.732,1715817599999,2201488.5711,23628,39632.248,1124609.38339,0,0.64
2024-05-16,29.41,29.56,28.33,28.98,84425.259,1715903999999,2449324.10565,17505,31962.476,928088.50569,0,0.7
2024-05-17,28.99,30.33,28.68,30.2,77934.231,1715990399999,2304761.63183,19418,41858.978,1237036.1455,0,0.74
2024-05-18,30.19,30.93,28.71,30.49,73517.748,1716076799999,2189442.64292,22689,35549.258,1057733.63261,0,0.73
2024-05-19,30.5,31.55,28.56,28.88,82135.869,1716163199999,2455846.95636,21704,44569.594,1333326.04927,0,0.72
2024-05-20,28.88,32.58,28.32,32.28,136069.414,1716249599999,4177305.83271,46855,72091.177,2209239.78677,0,0.7
2024-05-21,32.28,32.71,31.65,32.15,118295.594,1716335999999,3805254.79026,32557,56839.953,1829103.94079,0,0.76
2024-05-22,32.18,32.53,31.06,31.47,70012.033,1716422399999,2218905.38106,21331,37610.877,1192278.18745,0,0.76
2024-05-23,31.49,32.17,28.64,30.22,148468.775,1716508799999,4539135.30237,42855,69114.527,2111749.77629,0,0.76
2024-05-24,30.22,32.33,29.91,31.96,80626.224,1716595199999,2512198.97075,20452,39951.008,1243619.1365,0,0.74
2024-05-25,31.95,33.05,31.91,32.56,87123.124,1716681599999,2826202.8336,17140,46436.122,1507385.54423,0,0.76
2024-05-26,32.53,33.3,32.02,32.27,51432.552,1716767999999,1683383.86776,11773,25506.099,835390.43581,0,0.75
2024-05-27,32.27,33.47,32.02,32.51,75900.594,1716854399999,2489541.00433,20966,38293.715,1257116.47502,0,0.74
2024-05-28,32.51,32.88,31.5,32.16,79926.14,1716940799999,2565945.33624,25611,37470.03,1203869.49132,0,0.72
2024-05-29,32.2,33.33,31.77,31.96,73114.326,1717027199999,2374828.97059,23277,33446.901,1088522.02296,0,0.72
2024-05-30,31.95,32.44,30.14,30.73,94091.073,1717113599999,2942984.36911,27213,37973.628,1183690.86822,0,0.73
2024-05-31,30.74,30.98,29.95,30.36,44885.734,1717199999999,1369984.16545,15220,21109.809,644856.16739,0,0.73
