open_time,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base,taker_buy_quote,ignore,fg_index
2024-05-01,13.128,13.506,12.35,13.347,4938418.64,1714607999999,63768531.38039,254363,2334542.51,30149887.34563,0,0.54
2024-05-02,13.348,13.776,12.926,13.59,2408170.3,1714694399999,32470226.73454,116800,1137931.49,15335315.34827,0,0.43
2024-05-03,13.59,14.2,13.459,14.093,2185366.29,1714780799999,30180754.91247,106279,1113886.43,15376692.03774,0,0.48
2024-05-04,14.093,14.48,13.973,14.316,2150934.56,1714867199999,30620958.07491,98341,1162574.69,16547658.46402,0,0.67
2024-05-05,14.317,14.662,14.11,14.371,1494724.41,1714953599999,21416508.55613,85829,706269.7,10122802.20088,0,0.69
2024-05-06,14.371,15.165,14.277,14.484,3244647.01,1715039999999,47949159.52999,164970,1548652.89,22882412.18832,0,0.71
2024-05-07,14.484,14.725,13.963,13.997,2558935.56,1715126399999,36780917.17889,144682,1220462.22,17552261.4814,0,0.68
2024-05-08,13.997,14.121,13.689,13.9,2688746.46,1715212799999,37390609.20232,131552,1314237.45,18279633.6586,0,0.64
2024-05-09,13.899,14.369,13.842,14.237,2293030.1,1715299199999,32267834.28268,111363,1172147.16,16490773.16379,0,0.55
2024-05-10,14.237,14.37,13.5,13.564,2824808.84,1715385599999,39210541.46742,138210,1343204.48,18660198.9643,0,0.66
2024-05-11,13.565,13.812,13.28,13.306,1322923.76,1715471999999,17891073.10781,61814,629249.39,8511480.35988,0,0.53
2024-05-12,13.306,13.595,13.284,13.559,932004.7,1715558399999,12540149.18085,45701,470410.9,6328370.21143,0,0.56
2024-05-13,13.559,13.678,13.076,13.393,2514847.72,1715644799999,33788159.45687,103632,1206713.55,16215323.67408,0,0.57
2024-05-14,13.392,13.6,12.933,12.98,2612434.88,1715731199999,34651990.37375,73895,1242001.22,16493644.80564,0,0.66
2024-05-15,12.985,13.938,12.84,13.865,2926889.87,1715817599999,39094126.12478,109924,1474630.81,19703324.37763,0,0.64
2024-05-16,13.867,15.866,13.537,15.516,7412429.35,1715903999999,109596758.08333,271954,3889247.78,57462805.90706,0,0.7
2024-05-17,15.516,16.765,15.478,16.231,9400608.31,1715990399999,151694684.95919,402520,4724536.37,76275010.55066,0,0.74
2024-05-18,16.231,16.567,16.05,16.329,3328563.95,1716076799999,54178328.01008,134345,1675513.11,27278139.49188,0,0.73
2024-05-19,16.33,17.136,16.3,16.56,4967635.46,1716163199999,82796253.85751,211112,2523995.57,42075286.85415,0,0.72
2024-05-20,16.56,17.46,16.362,17.262,6577697.92,1716249599999,110623422.20124,299604,3204308.99,53894581.87646,0,0.7
2024-05-21,17.263,17.439,16.51,16.739,5456936.22,1716335999999,92095128.35,210835,2517911.13,42481998.24761,0,0.76
2024-05-22,16.741,16.929,16.148,16.354,4024068.18,1716422399999,66519417.2489,171028,1830995.33,30270350.4411,0,0.76
2024-05-23,16.352,16.808,15.442,16.596,5766263.23,1716508799999,93811325.01619,249885,2746344.88,44690761.66555,0,0.76
2024-05-24,16.596,17.798,16.56,17.25,7298192.05,1716595199999,126210221.12192,285342,3530700.48,61046354.48852,0,0.74
2024-05-25,17.25,17.472,16.912,17.443,2426265.67,1716681599999,41668842.90567,104220,1202035.34,20646179.31019,0,0.76
2024-05-26,17.442,17.915,16.991,17.042,3214720.65,1716767999999,55975360.47582,129901,1609525.76,28041445.61511,0,0.75
2024-05-27,17.042,18.867,16.878,18.786,5638537.81,1716854399999,101809382.62813,244229,2874647.37,51961815.03052,0,0.74
2024-05-28,18.791,18.838,17.847,18.528,5603881.79,1716940799999,102437426.27287,220611,2731184.15,49922689.82764,0,0.72
2024-05-29,18.539,19.22,18.036,18.453,4377221.2,1717027199999,81824480.14262,203674,2064043.65,38608984.09141,0,0.72
2024-05-30,18.453,19.207,17.781,17.944,3752099.99,1717113599999,68901339.3941,182696,1750140.01,32156495.27484,0,0.73
2024-05-31,17.943,18.74,17.461,18.414,3063262.06,1717199999999,55169560.14045,151826,1477937.17,26632252.33305,0,0.73
2024-06-01,18.411,18.686,18.266,18.443,1410910.67,1717286399999,26093242.6873,70502,700450.76,12956748.68118,0,0.72
2024-06-02,18.442,18.566,18.072,18.143,1523835.06,1717372799999,27912583.96317,79018,699312.91,12809735.15213,0,0.73
2024-06-03,18.142,18.359,17.539,17.629,2446283.0,1717459199999,43905977.56663,116312,1108700.1,19904712.0902,0,0.73
2024-06-04,17.629,17.852,17.474,17.716,1872549.09,1717545599999,33108741.01947,86647,827500.23,14632696.78414,0,0.73
2024-06-05,17.716,18.082,17.6,17.741,2229505.03,1717631999999,39721212.45145,90205,1015191.22,18102421.67836,0,0.75
2024-06-06,17.743,17.776,17.102,17.248,2933861.04,1717718399999,51171292.36675,110233,1229818.86,21461296.5384,0,0.78
2024-06-07,17.248,17.722,15.3,16.318,4192706.62,1717804799999,70071328.53364,204195,1908729.47,31960430.3684,0,0.77
2024-06-08,16.319,16.421,15.682,15.928,1915926.5,1717891199999,30705500.20944,80375,855342.85,13696165.63427,0,0.72
2024-06-09,15.929,16.383,15.901,16.372,1099628.14,1717977599999,17672329.90944,44208,567074.89,9115665.01588,0,0.75
2024-06-10,16.371,16.39,15.76,15.905,1775765.43,1718063999999,28406239.59595,70320,880224.46,14081947.00298,0,0.72
2024-06-11,15.906,15.913,14.662,14.988,3486215.88,1718150399999,53360601.49149,135904,1615295.04,24728399.40298,0,0.74
2024-06-12,14.987,16.236,14.73,16.006,3534449.74,1718236799999,55451609.03928,144271,1802002.04,28263228.49999,0,0.72
2024-06-13,16.007,16.05,15.052,15.141,2308110.11,1718323199999,35648129.52781,104113,1093606.47,16887517.36236,0,0.7
2024-06-14,15.139,15.462,14.469,14.744,2962457.3,1718409599999,44344526.07192,112414,1427230.1,21377064.44293,0,0.74
2024-06-15,14.745,15.113,14.702,14.857,1563299.76,1718495999999,23307238.40683,65714,782684.96,11670328.04786,0,0.74
2024-06-16,14.859,15.23,14.57,15.144,1514250.0,1718582399999,22623114.31908,61244,748255.56,11178172.34362,0,0.71
2024-06-17,15.141,15.22,14.017,14.523,2994665.1,1718668799999,43520971.91832,114404,1442214.54,20962646.45488,0,0.71
2024-06-18,14.522,14.62,12.931,13.986,5575818.39,1718755199999,75772985.08947,222876,2661933.59,36168732.41169,0,0.74
2024-06-19,13.986,14.503,13.913,14.345,2075689.63,1718841599999,29587077.81995,89803,1051930.62,14996517.02173,0,0.64
2024-06-20,14.346,14.86,14.192,14.255,1908530.59,1718927999999,27641464.2479,84166,931548.26,13497074.0794,0,0.6
2024-06-21,14.26,14.595,13.844,13.848,3109887.06,1719014399999,44259723.52028,118665,1394567.7,19861691.33671,0,0.63
2024-06-22,13.849,13.912,13.468,13.482,1389556.99,1719100799999,19049290.08838,53940,653605.61,8961606.80357,0,0.53
2024-06-23,13.483,13.685,13.123,13.194,1460540.28,1719187199999,19660625.41784,58524,717777.23,9668488.91387,0,0.55
2024-06-24,13.194,13.689,12.63,13.617,3776245.24,1719273599999,49893335.76386,149533,1877240.64,24816364.61175,0,0.51
2024-06-25,13.617,14.291,13.571,14.198,2163785.76,1719359999999,30234318.08154,84648,1067811.39,14922728.76142,0,0.3
2024-06-26,14.197,14.293,13.857,13.915,1473178.38,1719446399999,20708639.63275,61023,722425.28,10156715.37931,0,0.46
2024-06-27,13.917,14.63,13.585,14.433,2616406.14,1719532799999,36877510.92982,95310,1337821.76,18890397.46775,0,0.4
2024-06-28,14.432,14.6,13.757,13.778,2211079.82,1719619199999,31484531.74658,101572,971765.86,13847201.69315,0,0.47
2024-06-29,13.777,14.167,13.481,13.543,1485231.67,1719705599999,20507933.28121,61724,666871.13,9214656.93037,0,0.3
2024-06-30,13.544,14.35,13.451,14.281,1645240.48,1719791999999,22634093.74383,57471,871867.74,11993761.9588,0,0.47
2024-07-01,14.279,14.579,14.22,14.338,1755091.25,1719878399999,25246456.98834,70302,873563.66,12569337.13211,0,0.53
2024-07-02,14.338,14.754,14.245,14.415,2151743.28,1719964799999,31255819.9625,81203,980410.32,14246116.99166,0,0.51
2024-07-03,14.413,14.596,13.5,13.589,3543779.54,1720051199999,50200003.43705,143070,1487700.73,21109386.26791,0,0.5
2024-07-04,13.59,13.739,12.512,12.538,4607993.13,1720137599999,60327391.91545,185079,2142274.41,28052318.54473,0,0.44
2024-07-05,12.539,12.549,11.053,12.311,8073983.29,1720223999999,95362871.17224,297252,3817410.54,45057983.94777,0,0.29
2024-07-06,12.312,13.283,12.187,13.18,1887193.74,1720310399999,23916467.89665,72876,966620.93,12258890.64608,0,0.26
2024-07-07,13.18,13.195,12.289,12.352,1659445.12,1720396799999,21119755.17104,74799,788761.71,10035695.41986,0,0.29
2024-07-08,12.355,13.526,11.772,13.121,3902970.7,1720483199999,50276492.08459,181166,1888798.81,24337857.19704,0,0.28
2024-07-09,13.119,13.316,12.73,12.841,3025500.29,1720569599999,39263137.55584,130875,1332258.85,17290869.68879,0,0.27
2024-07-10,12.841,13.168,12.69,12.79,2316344.53,1720655999999,29878993.33726,83011,1014599.68,13090639.59372,0,0.28
2024-07-11,12.791,13.191,12.291,12.347,2913398.11,1720742399999,37169659.23675,107979,1294707.51,16532788.47457,0,0.29
2024-07-12,12.343,12.829,12.228,12.74,3147280.64,1720828799999,39356669.04637,96307,1437528.25,17968222.35756,0,0.25
2024-07-13,12.743,13.136,12.7,13.021,1843029.13,1720915199999,23881659.38673,68977,878764.66,11390490.0785,0,0.25
