open_time,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base,taker_buy_quote,ignore,fg_index
2024-05-01,0.2361,0.2421,0.2198,0.2391,16459065.0,1714607999999,3808716.2359,35500,8043906.0,1860038.7414,0,0.54
2024-05-02,0.2391,0.2463,0.2316,0.2422,8674913.0,1714694399999,2074216.9476,20018,4361005.0,1042607.2196,0,0.43
2024-05-03,0.2422,0.2618,0.2397,0.2603,9919188.0,1714780799999,2475861.6769,23628,5114764.0,1277301.8998,0,0.48
2024-05-04,0.2604,0.263,0.255,0.2577,7188218.0,1714867199999,1856248.7383,17101,3263515.0,842861.1859,0,0.67
2024-05-05,0.2577,0.2644,0.2524,0.2609,8778401.0,1714953599999,2265330.3552,16793,4212002.0,1086165.7969,0,0.69
2024-05-06,0.2609,0.2714,0.2543,0.2552,11155062.0,1715039999999,2918584.3967,25671,5358883.0,1402913.2167,0,0.71
2024-05-07,0.2553,0.2614,0.2498,0.2509,10056588.0,1715126399999,2570320.5211,21148,4478398.0,1144934.2552,0,0.68
2024-05-08,0.251,0.2563,0.2452,0.2499,10601899.0,1715212799999,2649291.2769,19442,5129851.0,1281249.2124,0,0.64
2024-05-09,0.25,0.2625,0.2438,0.2603,6562550.0,1715299199999,1664541.2974,17100,3020588.0,765666.1247,0,0.55
2024-05-10,0.2603,0.2641,0.2422,0.2448,10439775.0,1715385599999,2647987.8382,21585,5035809.0,1276312.2702,0,0.66
2024-05-11,0.2448,0.2489,0.2414,0.2428,4354518.0,1715471999999,1067522.3506,11127,2192839.0,537586.524,0,0.53
2024-05-12,0.2428,0.2472,0.2396,0.2417,3690249.0,1715558399999,898660.0121,8631,1849419.0,450095.5013,0,0.56
2024-05-13,0.2416,0.2555,0.2316,0.243,11489990.0,1715644799999,2806241.7524,24096,5741205.0,1402926.493,0,0.57
2024-05-14,0.243,0.28,0.2381,0.2409,53858542.0,1715731199999,13751198.7247,112786,27098048.0,6922188.8302,0,0.66
2024-05-15,0.2409,0.2618,0.2364,0.2558,24649818.0,1715817599999,6099850.4773,50759,12104573.0,2995103.7644,0,0.64
2024-05-16,0.2559,0.259,0.2461,0.2517,8760100.0,1715903999999,2222693.057,19422,4111470.0,1042671.4869,0,0.7
2024-05-17,0.2519,0.2622,0.2486,0.2607,8495291.0,1715990399999,2175364.9231,18073,4012456.0,1027282.7034,0,0.74
2024-05-18,0.2609,0.2634,0.2569,0.2601,5254964.0,1716076799999,1368196.8368,12204,2504124.0,652091.3738,0,0.73
2024-05-19,0.2602,0.2637,0.2477,0.2491,6372675.0,1716163199999,1627582.1256,13126,2868306.0,732535.5878,0,0.72
2024-05-20,0.2491,0.2767,0.2454,0.2758,13440277.0,1716249599999,3549345.8197,36004,6670129.0,1762846.6381,0,0.7
2024-05-21,0.276,0.3055,0.2739,0.2926,31162274.0,1716335999999,9055429.6527,69656,15194256.0,4413257.9608,0,0.76
2024-05-22,0.2927,0.2941,0.28,0.2867,13287038.0,1716422399999,3822495.2907,32239,6745971.0,1942711.0296,0,0.76
2024-05-23,0.2868,0.292,0.2573,0.2799,21733513.0,1716508799999,6086214.514,51107,10738916.0,3006297.8414,0,0.76
2024-05-24,0.2799,0.2843,0.268,0.2787,7565218.0,1716595199999,2101358.1064,14615,3504691.0,973499.7402,0,0.74
2024-05-25,0.2785,0.2832,0.2747,0.2753,7315458.0,1716681599999,2039542.0791,14783,4234927.0,1180660.2115,0,0.76
