open_time,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base,taker_buy_quote,ignore,fg_index
2024-05-01,79.48,80.89,74.6,80.17,713810.495,1714607999999,55474378.31131,147409,330764.503,25692073.69908,0,0.54
2024-05-02,80.17,81.28,78.66,80.02,398879.396,1714694399999,31936818.63684,84597,199392.159,15965934.60725,0,0.43
2024-05-03,80.03,82.62,79.33,81.85,426096.048,1714780799999,34538838.48674,97477,212966.659,17263039.20627,0,0.48
2024-05-04,81.86,83.01,81.42,81.66,294701.796,1714867199999,24204856.89301,71734,145515.383,11952148.42974,0,0.67
2024-05-05,81.66,81.78,80.37,81.32,336649.505,1714953599999,27328777.45925,68411,169920.12,13794317.78937,0,0.69
2024-05-06,81.32,84.2,80.01,80.79,580780.594,1715039999999,47623809.97659,118284,287985.221,23616135.58327,0,0.71
2024-05-07,80.79,82.65,79.78,80.84,493066.083,1715126399999,40151430.79109,95114,234680.1,19107108.82786,0,0.68
2024-05-08,80.82,82.33,79.32,81.7,486202.438,1715212799999,39349264.64329,94270,241425.455,19535563.4339,0,0.64
2024-05-09,81.69,83.16,80.7,83.08,352236.765,1715299199999,28878171.47232,86215,176001.967,14431193.26501,0,0.55
2024-05-10,83.07,83.48,79.55,80.22,420451.976,1715385599999,34299505.09635,99989,209920.561,17125510.86026,0,0.66
2024-05-11,80.22,82.29,80.13,81.39,258119.13,1715471999999,20924685.32522,73087,127260.514,10316344.94007,0,0.53
2024-05-12,81.39,82.18,80.84,81.41,186561.698,1715558399999,15227021.07526,53916,90012.766,7347381.12621,0,0.56
2024-05-13,81.42,82.61,78.95,80.62,448137.788,1715644799999,36413117.62781,103841,215674.969,17532624.02439,0,0.57
2024-05-14,80.62,81.67,78.53,78.79,482795.267,1715731199999,38591792.16351,104614,232120.845,18551698.19857,0,0.66
2024-05-15,78.77,82.87,78.23,82.45,464809.116,1715817599999,37256712.45662,99210,226305.931,18171530.96157,0,0.64
2024-05-16,82.45,83.24,81.37,82.43,347670.919,1715903999999,28606146.55354,90803,173138.797,14246961.80375,0,0.7
2024-05-17,82.43,84.23,81.92,84.14,326396.421,1715990399999,27166111.67058,84815,162730.707,13544139.5865,0,0.74
2024-05-18,84.15,84.81,83.43,83.84,215539.473,1716076799999,18117054.45731,71174,102269.966,8597113.56616,0,0.73
2024-05-19,83.84,84.38,81.77,82.4,227737.175,1716163199999,18923241.41285,66475,109922.616,9137853.89985,0,0.72
2024-05-20,82.4,89.11,82.39,88.64,599212.269,1716249599999,51285350.23268,143215,314663.255,26939541.47533,0,0.7
2024-05-21,88.64,89.63,87.0,88.26,905649.076,1716335999999,80025488.67369,164418,431348.443,38113314.22971,0,0.76
2024-05-22,88.26,88.48,84.88,85.78,537922.52,1716422399999,46541011.36235,119829,249317.173,21566849.24523,0,0.76
2024-05-23,85.78,87.95,80.53,85.45,984635.687,1716508799999,83947774.83241,196935,453194.05,38645380.68093,0,0.76
2024-05-24,85.45,86.48,84.01,85.0,591773.875,1716595199999,50467788.19284,117683,233697.636,19930592.47505,0,0.74
2024-05-25,85.0,85.98,84.43,84.98,251017.316,1716681599999,21365704.20448,78669,112815.512,9602976.0069,0,0.76
2024-05-26,84.99,85.26,83.54,83.9,279388.435,1716767999999,23577748.90249,74740,134936.497,11389541.93518,0,0.75
2024-05-27,83.91,86.43,83.82,85.24,346465.824,1716854399999,29493511.90762,95119,165841.982,14110347.70479,0,0.74
2024-05-28,85.24,85.54,82.06,83.44,475207.661,1716940799999,39676950.79491,128476,237859.936,19864435.97079,0,0.72
2024-05-29,83.44,84.21,82.63,83.59,334222.342,1717027199999,27953551.72354,85429,156546.794,13092657.88091,0,0.72
2024-05-30,83.58,85.54,81.9,84.42,441661.874,1717113599999,37126536.64859,114565,217396.695,18276269.75241,0,0.73
2024-05-31,84.43,84.7,82.02,83.21,355784.532,1717199999999,29728898.90631,96309,164041.994,13708582.69265,0,0.73
2024-06-01,83.21,83.74,82.92,83.48,172096.505,1717286399999,14344976.36493,63151,83555.46,6964521.10377,0,0.72
2024-06-02,83.48,83.53,82.2,83.11,285093.347,1717372799999,23633255.77463,65976,149874.178,12423806.76661,0,0.73
2024-06-03,83.11,84.29,82.65,82.82,379200.72,1717459199999,31657251.00082,93649,183077.41,15283104.82149,0,0.73
2024-06-04,82.83,83.7,81.11,83.65,340359.329,1717545599999,28056436.49822,96846,166615.639,13734225.88076,0,0.73
