open_time,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base,taker_buy_quote,ignore,fg_index
2024-05-01,3.125,3.188,2.917,3.162,2481163.9,1714607999999,7520871.9749,37164,1245680.1,3774568.0062,0,0.54
2024-05-02,3.159,3.249,3.052,3.222,909910.0,1714694399999,2882879.5686,13761,437249.3,1385948.7747,0,0.43
2024-05-03,3.22,3.375,3.173,3.337,1059384.2,1714780799999,3472746.1809,15230,517999.3,1698395.8923,0,0.48
2024-05-04,3.336,3.379,3.298,3.317,920859.3,1714867199999,3073328.7499,15510,488253.3,1629579.0813,0,0.67
2024-05-05,3.316,3.454,3.245,3.367,1171382.2,1714953599999,3932929.4374,18571,605853.1,2035912.7489,0,0.69
2024-05-06,3.367,3.488,3.298,3.31,1317436.7,1715039999999,4462504.1653,20567,626619.1,2122950.4444,0,0.71
2024-05-07,3.31,3.41,3.259,3.29,1285769.9,1715126399999,4297207.7782,20090,577930.8,1931391.4067,0,0.68
2024-05-08,3.288,3.357,3.226,3.283,1220468.5,1715212799999,4004519.0244,21101,569660.8,1870009.1984,0,0.64
2024-05-09,3.283,3.397,3.232,3.374,1003092.5,1715299199999,3331244.7009,16682,486105.8,1613905.2046,0,0.55
2024-05-10,3.375,3.44,3.15,3.191,1566134.7,1715385599999,5159751.6151,22495,786383.4,2590479.7745,0,0.66
2024-05-11,3.191,3.298,3.177,3.184,766246.4,1715471999999,2479442.1638,11520,398766.6,1290127.291,0,0.53
2024-05-12,3.183,3.239,3.147,3.169,764429.3,1715558399999,2435898.9377,9584,443972.3,1413592.9931,0,0.56
2024-05-13,3.17,3.27,3.053,3.173,1430602.0,1715644799999,4532696.629,20190,694147.6,2197957.2635,0,0.57
2024-05-14,3.168,3.232,3.072,3.087,1136565.6,1715731199999,3576145.2401,17680,545449.4,1716730.5789,0,0.66
2024-05-15,3.088,3.299,3.083,3.279,981305.0,1715817599999,3146686.802,17030,502106.4,1609648.4509,0,0.64
2024-05-16,3.279,3.352,3.194,3.333,1254315.8,1715903999999,4120642.1021,20027,566078.0,1861124.6793,0,0.7
2024-05-17,3.332,3.456,3.309,3.4,1307202.6,1715990399999,4413441.7283,22819,677404.7,2287811.0058,0,0.74
2024-05-18,3.4,3.431,3.334,3.388,812888.6,1716076799999,2757125.7867,10009,418177.6,1419322.039,0,0.73
2024-05-19,3.389,3.391,3.22,3.246,696810.2,1716163199999,2303867.3452,10887,300936.0,993985.8322,0,0.72
2024-05-20,3.246,3.595,3.196,3.567,1648678.7,1716249599999,5596060.4432,28717,868717.0,2955760.5943,0,0.7
2024-05-21,3.568,3.621,3.514,3.556,1541686.1,1716335999999,5492993.1253,24945,704927.3,2512674.2217,0,0.76
2024-05-22,3.556,3.565,3.393,3.465,1549281.4,1716422399999,5386116.9673,20279,719847.0,2500811.6298,0,0.76
2024-05-23,3.465,3.528,3.25,3.431,2090673.4,1716508799999,7106830.7963,34744,1040944.0,3537072.3468,0,0.76
2024-05-24,3.43,3.53,3.352,3.526,972401.4,1716595199999,3353398.9415,13614,459197.4,1584423.6182,0,0.74
2024-05-25,3.523,3.57,3.494,3.519,770465.2,1716681599999,2715332.713,10966,363628.0,1281689.1156,0,0.76
2024-05-26,3.518,3.54,3.395,3.43,632274.5,1716767999999,2189352.7518,10193,280380.0,971209.8106,0,0.75
2024-05-27,3.428,3.589,3.4,3.514,1099177.7,1716854399999,3846668.7676,15360,515437.7,1803332.5558,0,0.74
