open_time,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base,taker_buy_quote,ignore,fg_index
2024-05-01,16.99,17.07,15.32,16.23,1166956.01,1714607999999,18581166.8585,89953,578379.87,9207786.1738,0,0.54
2024-05-02,16.22,16.3,15.41,15.93,536636.69,1714694399999,8473471.8981,39441,248451.86,3921180.7682,0,0.43
2024-05-03,15.93,16.9,15.69,16.56,473226.13,1714780799999,7702661.3807,44030,222100.18,3614686.55,0,0.48
2024-05-04,16.56,17.18,16.43,16.67,341615.27,1714867199999,5723309.9196,32386,167324.14,2804614.9531,0,0.67
2024-05-05,16.67,17.1,16.37,16.72,312162.29,1714953599999,5224488.0534,31959,162015.74,2714210.7703,0,0.69
2024-05-06,16.72,17.26,15.98,16.03,562540.1,1715039999999,9314311.3585,51719,258195.38,4284377.3591,0,0.71
2024-05-07,16.02,16.29,15.59,15.63,366195.18,1715126399999,5856589.5959,32378,187695.18,3003756.9891,0,0.68
2024-05-08,15.63,15.78,15.07,15.23,389919.93,1715212799999,6034975.0817,37077,204623.21,3169926.6646,0,0.64
2024-05-09,15.23,15.62,14.88,15.5,283976.11,1715299199999,4334248.4643,25238,130489.1,1993245.9103,0,0.55
2024-05-10,15.49,16.08,14.73,14.96,458737.6,1715385599999,7080128.7101,43009,242024.86,3743021.7928,0,0.66
2024-05-11,14.96,15.36,14.95,15.24,205790.54,1715471999999,3114708.1762,20979,99787.66,1511157.4154,0,0.53
2024-05-12,15.23,15.67,15.2,15.25,236362.94,1715558399999,3639023.5918,22094,116780.38,1798080.0618,0,0.56
2024-05-13,15.26,15.41,14.32,15.08,482454.46,1715644799999,7191776.4242,38121,242938.47,3615652.1513,0,0.57
2024-05-14,15.07,15.23,14.34,14.39,361493.51,1715731199999,5330718.9018,34958,173623.33,2560853.7641,0,0.66
2024-05-15,14.39,15.55,14.24,15.4,411225.55,1715817599999,6153724.8104,35077,205319.9,3074113.4677,0,0.64
2024-05-16,15.4,15.63,14.92,15.21,320124.16,1715903999999,4900948.8605,26758,138689.35,2126038.2619,0,0.7
2024-05-17,15.2,15.74,14.97,15.56,197097.25,1715990399999,3043526.3243,21182,96842.94,1497777.6536,0,0.74
2024-05-18,15.55,15.82,15.39,15.5,171948.14,1716076799999,2691019.9272,14390,73599.25,1151939.2787,0,0.73
2024-05-19,15.51,15.61,14.63,14.78,253361.47,1716163199999,3837156.2366,24391,131293.45,1988845.5446,0,0.72
2024-05-20,14.77,16.89,14.53,16.34,661902.35,1716249599999,10401128.6416,61127,340454.92,5385760.2492,0,0.7
2024-05-21,16.34,16.59,15.64,15.96,516871.49,1716335999999,8337420.7319,51263,237396.16,3828486.1303,0,0.76
2024-05-22,15.96,16.04,15.37,15.63,282977.99,1716422399999,4450567.9071,23773,136874.68,2151492.2337,0,0.76
2024-05-23,15.64,15.83,14.4,15.15,606173.97,1716508799999,9148435.1114,47895,299492.06,4519145.0168,0,0.76
2024-05-24,15.15,15.46,14.68,15.24,396522.06,1716595199999,5995291.6699,28504,197780.63,2993247.0754,0,0.74
2024-05-25,15.24,15.57,15.23,15.55,230757.66,1716681599999,3552224.553,15355,119458.54,1839556.8049,0,0.76
2024-05-26,15.56,15.64,15.19,15.35,186875.4,1716767999999,2874215.3603,17110,88231.21,1356718.833,0,0.75
2024-05-27,15.35,16.11,15.12,15.88,246173.84,1716854399999,3855657.0921,23187,110025.13,1722287.0561,0,0.74
2024-05-28,15.89,15.92,15.16,15.3,307104.35,1716940799999,4727661.4144,29507,160316.7,2467533.6922,0,0.72
2024-05-29,15.3,15.51,14.86,14.87,252351.89,1717027199999,3836145.997,23282,126249.66,1919271.3448,0,0.72
2024-05-30,14.86,15.13,14.5,14.76,253405.32,1717113599999,3743811.4896,26020,113899.21,1684536.2515,0,0.73
2024-05-31,14.75,14.94,14.37,14.59,143968.91,1717199999999,2113373.499,14103,69521.0,1021250.1968,0,0.73
2024-06-01,14.59,14.69,14.47,14.55,109764.51,1717286399999,1601223.669,8356,51936.14,757632.125,0,0.72
2024-06-02,14.56,14.88,14.41,14.46,192494.12,1717372799999,2818248.5826,19666,89230.46,1306501.8698,0,0.73
2024-06-03,14.46,14.99,14.28,14.67,180300.87,1717459199999,2665282.0997,18252,82151.32,1215292.8624,0,0.73
2024-06-04,14.66,15.07,14.59,15.02,156532.84,1717545599999,2323505.1341,14521,78731.1,1169709.4163,0,0.73
2024-06-05,15.03,15.37,14.99,15.28,201337.01,1717631999999,3056160.6545,17464,102999.27,1563650.0813,0,0.75
2024-06-06,15.29,15.31,14.68,14.89,282479.23,1717718399999,4262169.505,28501,140720.1,2125465.5043,0,0.78
2024-06-07,14.89,15.26,12.46,14.07,1272334.16,1717804799999,17650136.1017,84914,672233.18,9334089.0399,0,0.77
2024-06-08,14.08,14.22,13.24,13.4,279054.42,1717891199999,3816162.3325,24500,128816.69,1760444.7997,0,0.72
2024-06-09,13.39,13.56,13.17,13.5,292309.73,1717977599999,3905812.1102,20650,140366.41,1876811.476,0,0.75
2024-06-10,13.5,13.64,13.19,13.39,232716.71,1718063999999,3117783.8395,21422,110535.4,1480486.9078,0,0.72
2024-06-11,13.4,13.45,12.55,12.92,397310.88,1718150399999,5137514.777,36498,193424.13,2504287.5846,0,0.74
2024-06-12,12.91,13.84,12.59,13.56,339672.48,1718236799999,4542296.4931,29902,157223.22,2105264.8747,0,0.72
2024-06-13,13.57,13.78,12.96,13.04,221152.35,1718323199999,2956435.9039,22803,106292.48,1422779.4306,0,0.7
2024-06-14,13.05,13.2,12.18,12.44,287906.57,1718409599999,3663694.7558,26576,136164.9,1732568.6874,0,0.74
2024-06-15,12.44,12.72,12.35,12.67,82295.39,1718495999999,1032749.5539,9743,39955.39,501447.4448,0,0.74
2024-06-16,12.68,12.86,12.48,12.75,134325.11,1718582399999,1704504.5531,12051,58503.5,742570.0558,0,0.71
2024-06-17,12.75,13.75,11.2,11.77,853708.59,1718668799999,10277027.9636,55223,410232.22,4930845.887,0,0.71
2024-06-18,11.77,12.02,10.21,10.98,685225.24,1718755199999,7485218.7913,45622,322312.96,3518172.778,0,0.74
2024-06-19,10.98,11.49,10.86,11.27,189520.26,1718841599999,2135425.4821,17100,96046.14,1082906.1844,0,0.64
2024-06-20,11.26,11.84,11.18,11.28,279671.36,1718927999999,3208485.549,23576,145806.87,1673578.2342,0,0.6
2024-06-21,11.28,11.59,11.08,11.35,253458.47,1719014399999,2868422.6302,20749,129651.12,1467916.5955,0,0.63
2024-06-22,11.36,11.44,11.23,11.32,119561.12,1719100799999,1354588.1956,9904,59888.64,678936.3225,0,0.53
2024-06-23,11.32,11.49,10.89,10.93,132377.24,1719187199999,1484139.4407,11466,50261.5,563486.6528,0,0.55
2024-06-24,10.92,11.14,10.5,11.12,316119.67,1719273599999,3427927.1865,27267,149489.96,1621773.9518,0,0.51
2024-06-25,11.12,11.62,11.07,11.49,155224.83,1719359999999,1759462.5389,15874,77718.57,881603.3673,0,0.3
2024-06-26,11.48,11.61,11.18,11.34,149470.79,1719446399999,1701023.3797,14300,72917.06,829311.2376,0,0.46
2024-06-27,11.34,11.66,11.22,11.62,130800.29,1719532799999,1497297.1219,11591,57914.32,663116.1145,0,0.4
2024-06-28,11.63,11.92,11.37,11.4,185421.87,1719619199999,2155521.1974,13929,88935.82,1034933.8345,0,0.47
2024-06-29,11.4,11.63,11.2,11.25,108338.9,1719705599999,1238791.952,7982,47021.42,538033.2826,0,0.3
2024-06-30,11.24,11.65,11.13,11.61,110904.19,1719791999999,1256416.3622,9006,51133.15,579641.9242,0,0.47
2024-07-01,11.61,11.72,11.37,11.41,126546.46,1719878399999,1462281.276,10930,60721.56,702197.6815,0,0.53
2024-07-02,11.41,11.77,11.35,11.54,180934.09,1719964799999,2088539.8725,14089,102253.96,1180573.4119,0,0.51
2024-07-03,11.54,11.56,10.9,11.02,157120.66,1720051199999,1750515.9843,13843,59874.25,667746.9952,0,0.5
2024-07-04,11.03,11.07,9.67,9.7,383070.21,1720137599999,3944889.4638,30397,182966.08,1886413.8308,0,0.44
2024-07-05,9.7,9.71,8.47,9.4,886819.26,1720223999999,7984408.1326,60420,433756.38,3902713.5987,0,0.29
2024-07-06,9.4,10.06,9.3,10.04,186903.46,1720310399999,1811078.9121,16281,95813.76,928228.8249,0,0.26
