open_time,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base,taker_buy_quote,ignore,fg_index
2024-05-01,0.4183,0.43,0.3959,0.4242,35028269.0,1714607999999,14457302.262,62004,17058356.0,7042355.4901,0,0.54
2024-05-02,0.4241,0.439,0.4119,0.4338,19223867.0,1714694399999,8216319.3663,30601,9589447.0,4098891.3022,0,0.43
2024-05-03,0.434,0.455,0.428,0.4511,17617350.0,1714780799999,7789396.558,31917,8603803.0,3803714.1457,0,0.48
2024-05-04,0.4511,0.4558,0.4461,0.4493,14515398.0,1714867199999,6541754.1228,22704,7479469.0,3370704.1965,0,0.67
2024-05-05,0.4492,0.4581,0.4409,0.4517,11692666.0,1714953599999,5247614.5991,22715,5621970.0,2523497.2602,0,0.69
2024-05-06,0.4516,0.4709,0.4424,0.4427,22040175.0,1715039999999,10042176.6132,39910,10411856.0,4744071.5044,0,0.71
2024-05-07,0.4428,0.4476,0.4311,0.4328,19074427.0,1715126399999,8406689.2716,29351,9237585.0,4072758.5392,0,0.68
2024-05-08,0.4327,0.4393,0.4194,0.4309,14940469.0,1715212799999,6430264.8397,29035,6927032.0,2984516.2762,0,0.64
2024-05-09,0.4307,0.4459,0.4212,0.4425,10325362.0,1715299199999,4474818.2383,20572,4941161.0,2143719.5663,0,0.55
2024-05-10,0.4425,0.4497,0.418,0.4222,17205618.0,1715385599999,7437908.1219,36447,8968324.0,3872466.4457,0,0.66
2024-05-11,0.4221,0.43,0.4191,0.4201,7488736.0,1715471999999,3181735.8114,16253,3609354.0,1533859.2727,0,0.53
2024-05-12,0.4202,0.4258,0.4137,0.4165,7366830.0,1715558399999,3100233.9011,14139,3633823.0,1529112.238,0,0.56
2024-05-13,0.4167,0.4279,0.4007,0.4164,12620839.0,1715644799999,5243144.2246,28242,6066036.0,2518287.2957,0,0.57
2024-05-14,0.4164,0.419,0.4049,0.4062,11811027.0,1715731199999,4871685.359,22943,5736452.0,2366639.004,0,0.66
2024-05-15,0.4064,0.4429,0.4041,0.4383,14945417.0,1715817599999,6333658.4051,29545,7665863.0,3243872.7959,0,0.64
2024-05-16,0.4383,0.4424,0.4246,0.4367,15459026.0,1715903999999,6723569.2996,24403,8034978.0,3496406.4207,0,0.7
2024-05-17,0.4367,0.4553,0.4317,0.4479,11250227.0,1715990399999,4993993.1948,20529,6111963.0,2712074.0007,0,0.74
2024-05-18,0.4478,0.4498,0.4412,0.4465,6551398.0,1716076799999,2922240.5439,12869,3268654.0,1457963.5227,0,0.73
2024-05-19,0.4465,0.4503,0.423,0.4253,10224444.0,1716163199999,4482736.415,19434,4708818.0,2063456.3882,0,0.72
