open_time,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base,taker_buy_quote,ignore,fg_index
2024-05-01,0.8123,0.8389,0.7613,0.8374,5923263.0,1714607999999,4762698.1311,50937,2906414.0,2340735.8201,0,0.54
2024-05-02,0.8377,0.8737,0.8231,0.8361,4445374.0,1714694399999,3757202.9647,43297,2411402.0,2038646.3646,0,0.43
2024-05-03,0.8364,0.8525,0.8222,0.8321,2820992.0,1714780799999,2358188.9028,23456,1447000.0,1209847.6835,0,0.48
2024-05-04,0.8321,0.8505,0.824,0.8309,1899930.0,1714867199999,1588145.242,14335,919509.0,768534.025,0,0.67
2024-05-05,0.8308,0.8317,0.7925,0.7981,2339874.0,1714953599999,1887426.7426,17589,1055735.0,851777.5027,0,0.69
2024-05-06,0.7979,0.8157,0.7774,0.7817,2906912.0,1715039999999,2312166.2092,21315,1468148.0,1169354.0737,0,0.71
2024-05-07,0.7818,0.7959,0.7723,0.778,1845545.0,1715126399999,1443920.7754,14829,820055.0,642026.0247,0,0.68
2024-05-08,0.7776,0.8011,0.773,0.7888,1584208.0,1715212799999,1245814.3695,15205,770650.0,606192.97,0,0.64
2024-05-09,0.7889,0.8002,0.7703,0.7759,1949953.0,1715299199999,1535247.886,16879,1080565.0,851079.981,0,0.55
2024-05-10,0.7759,0.8332,0.7637,0.7886,5780744.0,1715385599999,4613387.928,55601,2898978.0,2316126.74,0,0.66
2024-05-11,0.7896,0.8162,0.7864,0.7938,2936757.0,1715471999999,2350642.8772,26139,1374335.0,1100518.3193,0,0.53
2024-05-12,0.7933,0.8236,0.7924,0.8194,2222604.0,1715558399999,1803299.9532,16573,1202289.0,974954.7883,0,0.56
2024-05-13,0.8206,0.8317,0.805,0.8206,3107899.0,1715644799999,2546937.734,26875,1500766.0,1230335.8785,0,0.57
2024-05-14,0.8207,0.833,0.798,0.8063,2078613.0,1715731199999,1698295.9563,18779,935336.0,764399.4593,0,0.66
2024-05-15,0.8066,0.8282,0.8009,0.8204,1832120.0,1715817599999,1498150.2674,15581,899707.0,735992.0526,0,0.64
2024-05-16,0.8205,0.8345,0.8,0.8018,2209196.0,1715903999999,1803990.5676,19905,1171628.0,957221.5448,0,0.7
2024-05-17,0.8018,0.825,0.8005,0.8213,1170514.0,1715990399999,950591.5412,12706,629575.0,511429.9945,0,0.74
2024-05-18,0.8215,0.8338,0.816,0.8198,681536.0,1716076799999,561614.9898,9795,333435.0,274857.1359,0,0.73
2024-05-19,0.8199,0.8202,0.7822,0.7826,1164804.0,1716163199999,931023.5744,13378,536830.0,428975.4725,0,0.72
2024-05-20,0.7823,0.8182,0.7773,0.8174,1513836.0,1716249599999,1207884.6064,19560,848246.0,677471.9233,0,0.7
2024-05-21,0.8174,0.824,0.8071,0.8173,1587693.0,1716335999999,1295939.915,22485,779490.0,636560.535,0,0.76
2024-05-22,0.8172,0.8259,0.7938,0.8226,1323484.0,1716422399999,1071644.8797,21760,670850.0,543494.5128,0,0.76
2024-05-23,0.8222,0.8375,0.785,0.8153,2938034.0,1716508799999,2400384.523,42293,1315125.0,1073930.6586,0,0.76
2024-05-24,0.8152,0.825,0.7934,0.811,1219405.0,1716595199999,982720.8206,17168,573804.0,462322.5948,0,0.74
