open_time,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base,taker_buy_quote,ignore,fg_index
2024-05-01,126.76,135.97,118.47,134.64,7991325.271,1714607999999,1008351786.04678,1235535,3938878.192,497179952.79072,0,0.54
2024-05-02,134.64,140.9,128.19,137.58,5743465.621,1714694399999,775239966.2423501,881829,2943514.875,397167316.9166,0,0.43
2024-05-03,137.58,145.0,135.88,143.69,4524855.556,1714780799999,636701248.97452,758139,2366846.222,333289355.4761,0,0.48
2024-05-04,143.7,149.14,142.22,146.05,2808003.24,1714867199999,409395252.13994,500318,1391174.629,202858273.57945,0,0.67
2024-05-05,146.05,148.0,143.1,145.73,2131850.263,1714953599999,310504070.39615,396560,1071042.349,156017239.58385,0,0.69
2024-05-06,145.74,156.89,145.4,152.82,4787441.567,1715039999999,729944626.53061,854076,2483641.386,378747053.97158,0,0.71
2024-05-07,152.81,159.19,147.76,148.03,4486379.596,1715126399999,692683918.35024,792273,2168235.516,334963759.90497,0,0.68
2024-05-08,148.03,152.0,140.0,142.18,4533265.341,1715212799999,661888498.59383,756740,2235967.245,326687343.96879,0,0.64
2024-05-09,142.17,153.39,140.61,152.57,3912139.908,1715299199999,571152033.41234,692980,2021207.018,295348770.4766,0,0.55
2024-05-10,152.56,155.75,144.49,146.01,4124775.208,1715385599999,618548257.76221,802880,2015043.159,302574173.47716,0,0.66
2024-05-11,146.02,147.7,143.12,145.42,2017032.814,1715471999999,292868240.91002,401566,978475.257,142069060.09327,0,0.53
2024-05-12,145.42,147.8,142.5,143.43,1422547.627,1715558399999,206518187.5423,309808,701712.347,101909366.36553,0,0.56
2024-05-13,143.42,150.88,137.78,147.54,4407929.923,1715644799999,636617019.96036,766364,2207828.065,319261761.611,0,0.57
2024-05-14,147.53,149.09,141.82,142.03,3389933.371,1715731199999,491650914.90056,573013,1661272.783,240956768.40404,0,0.66
2024-05-15,142.03,158.88,141.21,158.52,4885274.203,1715817599999,734214270.26841,749405,2621799.984,394299721.32109,0,0.64
2024-05-16,158.52,164.79,156.46,159.37,4200112.765,1715903999999,675510074.16727,763259,2104140.951,338488293.36262,0,0.7
2024-05-17,159.36,174.0,159.32,169.44,4097186.841,1715990399999,682669638.66178,728905,2174941.229,362595129.48387,0,0.74
2024-05-18,169.43,176.06,168.65,172.4,2874473.997,1716076799999,496940232.56438,577304,1439363.473,248933881.95271,0,0.73
2024-05-19,172.4,175.5,165.96,169.93,2696984.074,1716163199999,460508285.32582,502213,1366743.734,233400153.02211,0,0.72
2024-05-20,169.93,188.32,167.47,186.7,5690568.998,1716249599999,1022051849.6692,1057452,2986607.02,536993614.54321,0,0.7
2024-05-21,186.69,188.89,174.37,178.15,4727780.064,1716335999999,854999395.0957699,877587,2268072.492,409997168.25251,0,0.76
2024-05-22,178.15,185.0,174.96,176.95,4272900.127,1716422399999,766148690.37294,850875,2219424.671,398102279.96942,0,0.76
2024-05-23,176.96,181.04,165.35,176.16,5598921.63,1716508799999,977277434.41105,1037830,2906972.606,507396382.66246,0,0.76
2024-05-24,176.15,176.15,162.5,167.7,4819660.642,1716595199999,810028558.3107101,856617,2592690.356,436172660.90261,0,0.74
2024-05-25,167.7,170.55,165.9,168.35,1911443.135,1716681599999,321691312.78369,405433,913344.72,153729295.90633,0,0.76
2024-05-26,168.35,168.4,161.0,163.41,3126117.989,1716767999999,512894771.41766,537560,1562641.6,256365632.2785,0,0.75
2024-05-27,163.42,172.28,163.26,170.15,3260017.055,1716854399999,547344142.9486,591480,1688224.025,283304224.83869,0,0.74
2024-05-28,170.15,173.24,164.92,168.68,3779251.343,1716940799999,637522900.01295,714064,1882025.781,317686800.53986,0,0.72
2024-05-29,168.68,173.93,167.0,168.32,2946277.294,1717027199999,500443628.716,607907,1436219.213,244129340.62543,0,0.72
2024-05-30,168.32,173.0,163.55,166.88,3307767.047,1717113599999,555770168.75021,592495,1611989.884,271024192.23503,0,0.73
2024-05-31,166.88,170.94,163.67,165.65,2592736.388,1717199999999,432816352.94655,476139,1258131.12,210094424.84781,0,0.73
2024-06-01,165.65,167.95,165.64,166.14,1070498.928,1717286399999,178824432.11781,214954,511531.916,85454713.6266,0,0.72
2024-06-02,166.14,167.1,161.32,163.15,1669577.986,1717372799999,274722936.49486,308808,853472.818,140434680.34189,0,0.73
2024-06-03,163.14,167.21,161.79,164.89,2378016.532,1717459199999,392561788.00562,409680,1220237.429,201507197.73255,0,0.73
2024-06-04,164.9,171.87,164.31,171.78,2124954.015,1717545599999,356126382.83239,384488,1139887.836,191094484.82293,0,0.73
2024-06-05,171.78,175.6,170.0,173.54,2560223.589,1717631999999,443704811.3612,435543,1255151.766,217608237.78634,0,0.75
2024-06-06,173.55,174.4,167.51,170.15,2116238.234,1717718399999,363765530.70853,360006,1034609.04,177964987.11729,0,0.78
2024-06-07,170.15,172.85,152.92,162.5,3538852.091,1717804799999,584574048.04206,665965,1649973.735,272718584.42987,0,0.77
2024-06-08,162.51,163.78,157.37,157.83,1789882.65,1717891199999,287653524.77527,338015,848013.145,136307543.21986,0,0.72
2024-06-09,157.83,163.04,156.52,162.12,1444905.0,1717977599999,231109362.89601,268602,722609.295,115568027.13828,0,0.75
2024-06-10,162.12,163.18,157.46,159.05,1760276.954,1718063999999,281863612.18113,349749,879124.822,140739984.30796,0,0.72
2024-06-11,159.04,159.75,145.2,149.31,3646582.777,1718150399999,554100633.37648,736163,1724844.878,262110280.77715,0,0.74
2024-06-12,149.31,161.84,145.44,155.22,3851856.394,1718236799999,598161585.14139,801266,1934368.629,300519079.06842,0,0.72
2024-06-13,155.21,155.21,146.03,147.29,2573289.111,1718323199999,385605225.31535,552143,1231600.985,184543542.52355,0,0.7
2024-06-14,147.29,149.0,139.67,143.05,3183461.493,1718409599999,460357684.10748,606662,1561425.613,225955519.82799,0,0.74
