open_time,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base,taker_buy_quote,ignore,fg_index
2024-05-01,0.3257,0.337,0.3067,0.3268,10922609.4,1714607999999,3495110.78522,24807,5634723.1,1804663.66903,0,0.54
2024-05-02,0.3268,0.3393,0.3161,0.3357,7799436.6,1714694399999,2557932.48837,16277,3714754.9,1218469.90272,0,0.43
2024-05-03,0.3356,0.3493,0.3326,0.3469,7236738.2,1714780799999,2461335.83639,19257,3347161.3,1138471.40566,0,0.48
2024-05-04,0.3466,0.3502,0.3422,0.3452,5123468.0,1714867199999,1773630.00451,14534,2401138.7,831475.04387,0,0.67
2024-05-05,0.3453,0.3521,0.3384,0.3462,5557654.5,1714953599999,1913845.76945,15668,2602251.9,895515.84969,0,0.69
2024-05-06,0.3463,0.3544,0.3383,0.3404,7376639.1,1715039999999,2550855.8823,22866,3656168.7,1265069.14235,0,0.71
2024-05-07,0.3405,0.3475,0.3345,0.3358,4510304.4,1715126399999,1537083.96815,16851,2169449.7,739748.7304,0,0.68
2024-05-08,0.3358,0.3428,0.3259,0.3301,7217162.9,1715212799999,2405478.70735,19743,3560323.0,1187757.97714,0,0.64
2024-05-09,0.3297,0.3406,0.3228,0.3389,4869104.0,1715299199999,1609462.54979,18815,2620067.6,865522.64489,0,0.55
2024-05-10,0.3388,0.3442,0.3239,0.3262,6359090.5,1715385599999,2129338.39158,22949,3037321.7,1019190.14533,0,0.66
2024-05-11,0.3261,0.3307,0.3226,0.3246,3112405.5,1715471999999,1017607.19923,11849,1598085.1,522559.99021,0,0.53
2024-05-12,0.3243,0.3285,0.3192,0.3209,5057980.5,1715558399999,1638222.03777,15679,2379758.7,770581.54531,0,0.56
2024-05-13,0.3209,0.3284,0.308,0.3221,6914375.3,1715644799999,2209680.0016,20295,3294376.7,1053017.87991,0,0.57
2024-05-14,0.3221,0.3246,0.3114,0.3124,5835089.6,1715731199999,1855660.98894,20277,2727253.7,867736.2896,0,0.66
2024-05-15,0.3124,0.3336,0.3096,0.3324,4569284.4,1715817599999,1474378.98352,15454,2351064.8,759218.55101,0,0.64
2024-05-16,0.3324,0.3379,0.3272,0.3304,4514327.3,1715903999999,1503712.4557,14174,2277988.5,759221.31408,0,0.7
2024-05-17,0.3303,0.3416,0.3273,0.3394,3446605.4,1715990399999,1158364.33771,12108,1749232.7,587739.85998,0,0.74
2024-05-18,0.3393,0.3429,0.3355,0.3382,2738794.6,1716076799999,929758.49611,8798,1405122.5,477285.98479,0,0.73
2024-05-19,0.3382,0.34,0.3207,0.3228,3906834.2,1716163199999,1288501.15212,15038,1930883.6,637355.97729,0,0.72
2024-05-20,0.3228,0.3525,0.3158,0.3525,6612310.9,1716249599999,2212838.92877,27315,3422401.7,1146714.61539,0,0.7
2024-05-21,0.3526,0.3567,0.3468,0.3503,5681950.8,1716335999999,1996788.81932,24136,2648020.3,930854.26202,0,0.76
2024-05-22,0.3503,0.3521,0.3415,0.3456,4133175.4,1716422399999,1436772.4081,17345,1972899.7,685677.82428,0,0.76
2024-05-23,0.3456,0.3497,0.3228,0.3373,8024633.7,1716508799999,2703431.16565,24994,3962373.5,1334929.18547,0,0.76
2024-05-24,0.3372,0.3489,0.3319,0.3484,5421126.1,1716595199999,1851879.82102,16630,2558543.2,873555.17352,0,0.74
2024-05-25,0.3484,0.3856,0.3459,0.3658,29018627.2,1716681599999,10668263.78934,70168,14677164.2,5399566.72391,0,0.76
2024-05-26,0.3658,0.3757,0.3497,0.3528,11628316.8,1716767999999,4193767.1309,24727,5363832.1,1935715.74764,0,0.75
2024-05-27,0.3526,0.3616,0.345,0.3564,9666003.5,1716854399999,3412764.54867,21927,4476964.4,1581631.23073,0,0.74
2024-05-28,0.3561,0.358,0.344,0.3551,8259868.5,1716940799999,2895527.02459,20288,3823426.0,1340746.26855,0,0.72
2024-05-29,0.3551,0.3598,0.3487,0.3494,7507739.2,1717027199999,2664575.62632,18688,3605541.3,1280131.09803,0,0.72
2024-05-30,0.3492,0.3554,0.3384,0.344,7901961.6,1717113599999,2745421.35196,18736,3622086.7,1259198.23451,0,0.73
2024-05-31,0.344,0.347,0.3351,0.3401,4958481.6,1717199999999,1696019.20905,13088,2368488.3,810504.69356,0,0.73
2024-06-01,0.34,0.3423,0.3364,0.34,2725193.2,1717286399999,923103.81447,8466,1384591.5,469264.55921,0,0.72
2024-06-02,0.3401,0.346,0.3321,0.3339,6384883.4,1717372799999,2167354.50852,16818,2940844.4,998601.39183,0,0.73
2024-06-03,0.3339,0.355,0.33,0.336,11837233.8,1717459199999,4045955.95007,27847,5588498.4,1910941.72389,0,0.73
2024-06-04,0.3359,0.3459,0.3304,0.3451,6301111.3,1717545599999,2121091.84062,18822,2995131.8,1008485.8789,0,0.73
2024-06-05,0.345,0.3538,0.3447,0.3504,6724082.2,1717631999999,2343578.06045,19416,3428209.8,1194450.72045,0,0.75
2024-06-06,0.3504,0.3576,0.3413,0.3465,9003098.1,1717718399999,3147080.74828,25724,4292070.0,1501039.91169,0,0.78
2024-06-07,0.3463,0.3532,0.2911,0.3162,10573560.5,1717804799999,3417361.6206,32831,5193897.7,1674602.94669,0,0.77
2024-06-08,0.3163,0.3195,0.2977,0.3022,6544513.1,1717891199999,2016824.89999,19708,3266939.7,1006881.03376,0,0.72
2024-06-09,0.3018,0.3077,0.2991,0.306,3111328.9,1717977599999,946790.53112,11134,1531566.1,466138.93185,0,0.75
2024-06-10,0.306,0.3092,0.2983,0.3026,3478155.8,1718063999999,1057655.43273,10643,1558267.2,473355.2023,0,0.72
2024-06-11,0.3024,0.3028,0.2829,0.2887,6515783.6,1718150399999,1909105.14663,17411,3101701.9,908839.96187,0,0.74
2024-06-12,0.2888,0.3059,0.2831,0.3016,5754101.4,1718236799999,1715208.00381,15111,2773729.8,826746.03906,0,0.72
2024-06-13,0.3017,0.3025,0.2864,0.2909,3785100.5,1718323199999,1113225.10086,10612,1800080.3,530380.50885,0,0.7
2024-06-14,0.2911,0.2956,0.2745,0.2788,5521879.8,1718409599999,1573923.29536,13044,2627426.8,748747.1474,0,0.74
2024-06-15,0.2788,0.2845,0.2773,0.2832,2283876.8,1718495999999,643687.75453,6811,1125245.9,317180.25572,0,0.74
2024-06-16,0.2832,0.2838,0.2757,0.2762,3515376.3,1718582399999,984405.56007,8918,1539661.2,431270.82265,0,0.71
2024-06-17,0.2762,0.2835,0.245,0.2543,12665343.1,1718668799999,3328101.97473,29770,6042449.9,1590428.14788,0,0.71
2024-06-18,0.2545,0.2555,0.221,0.2418,14109661.6,1718755199999,3323605.57139,34361,6522580.1,1537754.6456,0,0.74
2024-06-19,0.2417,0.2524,0.2392,0.2455,5950825.3,1718841599999,1463909.3745,12734,3040253.2,747664.96005,0,0.64
2024-06-20,0.2451,0.2576,0.2442,0.2529,5794815.9,1718927999999,1459855.56864,15623,2919719.9,735728.54054,0,0.6
2024-06-21,0.2531,0.2671,0.2479,0.2507,10167435.7,1719014399999,2606540.22845,26376,4993586.6,1281411.51833,0,0.63
2024-06-22,0.2508,0.2566,0.2477,0.2523,4102861.5,1719100799999,1030047.30011,11407,2392320.8,600865.83428,0,0.53
2024-06-23,0.2524,0.2556,0.2426,0.2448,3697066.0,1719187199999,926362.60288,9435,1780078.5,446550.10087,0,0.55
2024-06-24,0.245,0.2505,0.2326,0.2499,6915028.5,1719273599999,1680649.99763,18340,3236924.9,786532.23266,0,0.51
