open_time,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base,taker_buy_quote,ignore,fg_index
2024-05-01,7.038,7.154,6.536,7.047,3213315.1,1714607999999,22088674.21804,85269,1591216.89,10943618.39907,0,0.54
2024-05-02,7.047,7.214,6.846,7.107,1054303.79,1714694399999,7444594.79597,31243,549901.29,3884195.70925,0,0.43
2024-05-03,7.107,7.618,6.949,7.585,2069126.75,1714780799999,15186507.24566,52309,1097524.55,8045425.86557,0,0.48
2024-05-04,7.585,7.717,7.472,7.531,1404469.63,1714867199999,10628991.4625,37090,656667.04,4970056.90236,0,0.67
2024-05-05,7.535,7.65,7.352,7.587,1385910.56,1714953599999,10340456.92594,34946,767504.7,5724485.58693,0,0.69
2024-05-06,7.588,7.949,7.435,7.474,2036563.47,1715039999999,15595968.43846,63461,1032866.3,7912906.50319,0,0.71
2024-05-07,7.475,7.68,7.377,7.396,1170340.25,1715126399999,8808520.61659,35337,563023.46,4236402.1139,0,0.68
2024-05-08,7.396,7.531,7.205,7.329,1032760.59,1715212799999,7599886.26306,35188,478543.27,3522499.3416,0,0.64
2024-05-09,7.325,7.548,7.17,7.501,671303.78,1715299199999,4933927.46881,22900,333183.38,2445735.11514,0,0.55
2024-05-10,7.502,7.564,7.024,7.107,888009.63,1715385599999,6488233.21338,33342,424896.52,3109515.07185,0,0.66
2024-05-11,7.109,7.204,7.017,7.036,562896.55,1715471999999,3997887.85925,18933,263020.87,1867968.75652,0,0.53
2024-05-12,7.037,7.217,6.984,7.064,594384.17,1715558399999,4220257.86691,19578,309680.17,2198076.505,0,0.56
2024-05-13,7.064,7.211,6.837,7.003,1438815.8,1715644799999,10137972.08812,41469,751359.37,5298634.96356,0,0.57
2024-05-14,7.007,7.022,6.761,6.787,979588.32,1715731199999,6754810.98308,33558,448788.83,3095470.86136,0,0.66
2024-05-15,6.787,7.445,6.735,7.364,1208615.32,1715817599999,8624098.13786,37856,624231.2,4456177.14305,0,0.64
2024-05-16,7.365,7.429,7.049,7.293,1033317.36,1715903999999,7526050.97033,33711,512364.97,3734528.78328,0,0.7
2024-05-17,7.295,7.605,7.236,7.491,1244916.54,1715990399999,9265922.89621,38946,608184.83,4522648.98253,0,0.74
2024-05-18,7.491,8.228,7.444,7.86,3423784.61,1716076799999,26997589.10363,101276,1741736.49,13727818.57841,0,0.73
2024-05-19,7.86,7.97,7.58,7.642,1209679.92,1716163199999,9422962.98147,37478,540446.66,4215813.30293,0,0.72
2024-05-20,7.642,9.516,7.618,9.328,4886863.41,1716249599999,41349750.57555,206972,2435524.2,20669339.32342,0,0.7
2024-05-21,9.327,9.672,9.083,9.659,4302999.77,1716335999999,40372838.51566,159128,2233755.19,20944119.62871,0,0.76
2024-05-22,9.658,9.694,9.021,9.304,3009371.79,1716422399999,28083840.16705,103667,1486679.19,13885812.26901,0,0.76
2024-05-23,9.305,9.87,8.617,9.088,4686381.81,1716508799999,43854994.33695,181223,2284286.82,21394654.85349,0,0.76
2024-05-24,9.087,10.569,8.938,10.213,6010490.36,1716595199999,58009210.12292,238897,3027562.39,29221552.48528,0,0.74
2024-05-25,10.214,11.497,10.152,11.329,8019458.82,1716681599999,87093873.87142,327412,4170876.31,45306425.66374,0,0.76
2024-05-26,11.33,11.8,11.064,11.167,6066941.99,1716767999999,69108085.41277,238051,3075586.03,35057535.6494,0,0.75
2024-05-27,11.169,11.372,10.902,11.056,3230856.4,1716854399999,35931893.95089,117751,1582151.9,17608694.5848,0,0.74
2024-05-28,11.057,11.51,10.603,11.107,3725865.1,1716940799999,40717492.74409,156360,1798942.57,19686602.31384,0,0.72
