open_time,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base,taker_buy_quote,ignore,fg_index
2024-05-01,0.03607,0.03614,0.033,0.03522,505298694.2,1714607999999,17458605.882901,100767,234211757.8,8091652.631066,0,0.54
2024-05-02,0.03522,0.03557,0.0339,0.0351,234493547.3,1714694399999,8176581.894217,50271,117556598.8,4099617.646198,0,0.43
2024-05-03,0.0351,0.03764,0.03466,0.03722,293263663.1,1714780799999,10636779.96034,60893,151998841.8,5517749.908514,0,0.48
2024-05-04,0.03722,0.03791,0.03666,0.03714,176555544.1,1714867199999,6577222.963562,38341,84472134.5,3146669.680084,0,0.67
2024-05-05,0.03714,0.03766,0.03631,0.03733,158196305.9,1714953599999,5861489.100041,35803,78503114.4,2910525.672515,0,0.69
2024-05-06,0.03735,0.03869,0.03591,0.03593,305284067.9,1715039999999,11349405.380937,68041,150013277.8,5576470.00513,0,0.71
2024-05-07,0.03594,0.03692,0.0354,0.03551,239229259.9,1715126399999,8637390.158844,47640,119894009.2,4330576.726966,0,0.68
2024-05-08,0.03551,0.03617,0.03478,0.03509,274077432.3,1715212799999,9686778.980441,50360,134883657.6,4767946.055446,0,0.64
2024-05-09,0.03509,0.03586,0.03427,0.03565,188446944.5,1715299199999,6619340.109846,41522,94244485.0,3311957.9805,0,0.55
2024-05-10,0.03566,0.0364,0.03425,0.03463,266391583.7,1715385599999,9371871.47395,55527,145032782.9,5101899.397902,0,0.66
2024-05-11,0.03464,0.03532,0.03426,0.0344,154105500.8,1715471999999,5367420.885772,32465,87009035.6,3031245.207476,0,0.53
2024-05-12,0.0344,0.03516,0.03408,0.03434,139744515.6,1715558399999,4824138.484595,28350,69341810.6,2395199.443175,0,0.56
2024-05-13,0.03435,0.03459,0.03261,0.03368,298166764.6,1715644799999,10055254.667557,56110,155073184.4,5230474.615593,0,0.57
2024-05-14,0.03368,0.03425,0.03292,0.03335,174884481.9,1715731199999,5861715.644203,47007,82411172.0,2762456.115076,0,0.66
2024-05-15,0.03334,0.03558,0.03314,0.0354,236939658.6,1715817599999,8186841.001145,55780,119515138.0,4133392.194788,0,0.64
2024-05-16,0.0354,0.03642,0.03481,0.03525,249629556.9,1715903999999,8879234.947091,56225,119814274.1,4266957.130044,0,0.7
2024-05-17,0.03525,0.03669,0.03479,0.03596,172669128.7,1715990399999,6200851.999754,37225,86363494.7,3101108.191811,0,0.74
2024-05-18,0.03595,0.03629,0.03521,0.03527,149297223.8,1716076799999,5338461.039083,33674,67561519.2,2414981.789573,0,0.73
2024-05-19,0.03527,0.03554,0.03388,0.03427,170626788.3,1716163199999,5932092.396581,34851,87682034.4,3050994.988102,0,0.72
2024-05-20,0.03428,0.0369,0.03361,0.03684,301230802.5,1716249599999,10628672.547522,62146,157623671.8,5563408.971443,0,0.7
2024-05-21,0.03685,0.0375,0.036,0.03653,345710931.8,1716335999999,12715028.025847,75423,162455286.9,5977955.168537,0,0.76
2024-05-22,0.03651,0.03678,0.03529,0.03587,257503207.4,1716422399999,9302792.107233,67402,117844572.2,4259118.639154,0,0.76
2024-05-23,0.03587,0.03669,0.03344,0.03513,390369028.8,1716508799999,13754069.666982,80043,194199502.6,6837697.640577,0,0.76
2024-05-24,0.03513,0.03543,0.03406,0.03534,163709063.0,1716595199999,5717830.259223,36975,82334424.1,2875858.042134,0,0.74
2024-05-25,0.03534,0.03577,0.03512,0.03558,104357439.2,1716681599999,3695589.700342,23026,51385518.3,1819851.946169,0,0.76
2024-05-26,0.03558,0.03619,0.0349,0.0356,209213478.9,1716767999999,7421612.587663,40036,112030148.9,3976329.876428,0,0.75
2024-05-27,0.03561,0.03728,0.03507,0.03661,293578688.3,1716854399999,10647587.117386,55397,141222266.3,5129157.931015,0,0.74
2024-05-28,0.03662,0.03666,0.03516,0.0358,237470996.0,1716940799999,8498623.831331,51700,112659186.2,4031653.553025,0,0.72
2024-05-29,0.03581,0.03636,0.03508,0.03516,208725060.7,1717027199999,7443210.309029,43374,92943117.9,3315503.057959,0,0.72
2024-05-30,0.03516,0.03552,0.03404,0.03432,154156559.4,1717113599999,5361388.850135,37024,70615243.3,2455319.551009,0,0.73
2024-05-31,0.03432,0.03461,0.03336,0.03394,189840740.0,1717199999999,6449880.023794,44972,90536537.5,3077251.446535,0,0.73
2024-06-01,0.03394,0.03399,0.03354,0.0337,82723149.4,1717286399999,2789270.350036,23753,40947209.8,1380775.161044,0,0.72
2024-06-02,0.0337,0.03403,0.03316,0.03331,127746821.5,1717372799999,4290696.518069,30018,61103285.1,2052283.965265,0,0.73
2024-06-03,0.0333,0.03458,0.03311,0.03369,273958682.1,1717459199999,9317345.639249,58427,131360852.3,4467678.879222,0,0.73
2024-06-04,0.03368,0.03451,0.03324,0.03428,194316546.8,1717545599999,6599502.110262,40913,102763358.9,3489923.499811,0,0.73
2024-06-05,0.03429,0.03578,0.03425,0.03555,266331444.9,1717631999999,9353272.077835,48865,125961821.1,4423732.264394,0,0.75
2024-06-06,0.03556,0.03662,0.03501,0.03578,247955644.0,1717718399999,8859838.075676,50477,125343329.9,4483129.66095,0,0.78
2024-06-07,0.03578,0.03647,0.03006,0.03285,522362889.7,1717804799999,17511328.632711,114267,266829869.4,8935523.009012,0,0.77
2024-06-08,0.03284,0.03292,0.03113,0.03161,288405727.3,1717891199999,9232375.406815,45118,155235436.9,4969939.025042,0,0.72
2024-06-09,0.03161,0.03224,0.03115,0.03191,140788494.4,1717977599999,4463427.176234,25069,72248772.6,2291052.10808,0,0.75
2024-06-10,0.03192,0.03193,0.03073,0.03108,182093408.2,1718063999999,5707507.072134,36589,84126454.1,2637521.479503,0,0.72
2024-06-11,0.03108,0.03111,0.02899,0.02983,330003290.1,1718150399999,9885980.97816,63449,160213529.8,4802435.383555,0,0.74
2024-06-12,0.02983,0.0321,0.02911,0.03131,271155479.9,1718236799999,8397225.990329,58419,137052392.1,4242777.756552,0,0.72
2024-06-13,0.03131,0.03134,0.02938,0.02959,191499559.8,1718323199999,5782724.821807,52482,91717217.9,2770754.278953,0,0.7
2024-06-14,0.02959,0.02996,0.0278,0.02854,220951952.8,1718409599999,6379523.982613,50413,110970870.3,3205783.815445,0,0.74
2024-06-15,0.02853,0.02915,0.02819,0.02863,130563957.7,1718495999999,3755484.743757,29279,62486400.7,1797832.654732,0,0.74
2024-06-16,0.02863,0.02975,0.02825,0.0295,90818588.7,1718582399999,2628628.831851,21667,42104709.4,1219011.798788,0,0.71
2024-06-17,0.02951,0.02973,0.0266,0.02738,257276969.9,1718668799999,7169162.075242,54897,113713788.9,3171796.418733,0,0.71
2024-06-18,0.02737,0.02746,0.02381,0.02552,667247272.3,1718755199999,16844408.461216,120256,308630690.5,7802811.749828,0,0.74
2024-06-19,0.02551,0.0268,0.02522,0.02604,221969330.3,1718841599999,5794663.538811,46504,103513940.2,2704473.780358,0,0.64
2024-06-20,0.02604,0.02759,0.02589,0.02673,181286297.3,1718927999999,4869577.926362,40365,90746918.1,2438690.964637,0,0.6
2024-06-21,0.02673,0.0271,0.02603,0.02614,240684508.3,1719014399999,6384695.646743,54732,129141432.1,3425132.437629,0,0.63
2024-06-22,0.02614,0.02628,0.02567,0.0257,67686499.9,1719100799999,1758238.356937,16551,34035820.6,884422.304899,0,0.53
2024-06-23,0.02571,0.02609,0.02488,0.02503,87806791.6,1719187199999,2242164.192442,19897,42892669.9,1095878.355823,0,0.55
