open_time,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base,taker_buy_quote,ignore,fg_index
2024-05-01,0.5006,0.5214,0.4782,0.5175,478521177.0,1714607999999,238496942.2037,245638,217756130.0,108596358.4185,0,0.54
2024-05-02,0.5175,0.5245,0.5067,0.518,344602656.0,1714694399999,177688990.7001,163360,165472280.0,85351630.432,0,0.43
2024-05-03,0.518,0.5367,0.5145,0.5317,363626848.0,1714780799999,190081086.4027,172451,184485459.0,96451806.2478,0,0.48
2024-05-04,0.5317,0.541,0.5272,0.5302,158694221.0,1714867199999,84581329.5159,104262,73660828.0,39258811.1804,0,0.67
2024-05-05,0.5302,0.5334,0.524,0.5296,112344720.0,1714953599999,59417628.2842,84937,52446737.0,27738383.1379,0,0.69
2024-05-06,0.5295,0.5703,0.5247,0.5402,567274807.0,1715039999999,308959227.2858,329404,284940447.0,155207393.1164,0,0.71
2024-05-07,0.5401,0.5443,0.5217,0.5245,346192205.0,1715126399999,185972116.8921,182921,167078213.0,89774525.8372,0,0.68
2024-05-08,0.5244,0.53,0.5153,0.5171,346832658.0,1715212799999,181169260.551,172317,169043801.0,88313860.5648,0,0.64
2024-05-09,0.517,0.5238,0.5087,0.5209,299812797.0,1715299199999,154978198.3729,142986,147922544.0,76478554.7437,0,0.55
2024-05-10,0.5209,0.5209,0.497,0.5022,356081362.0,1715385599999,181324120.6451,183584,177820078.0,90579688.8241,0,0.66
2024-05-11,0.5022,0.5079,0.5005,0.5059,99554446.0,1715471999999,50215891.6399,67159,46491227.0,23454502.0652,0,0.53
2024-05-12,0.5059,0.5088,0.4957,0.4993,96995150.0,1715558399999,48846226.618,61866,45550782.0,22934443.1754,0,0.56
2024-05-13,0.4993,0.5121,0.4866,0.5053,307847853.0,1715644799999,154227486.4018,169093,146338551.0,73326785.7123,0,0.57
2024-05-14,0.5052,0.5132,0.4972,0.5002,306746811.0,1715731199999,154803622.0644,144779,141367808.0,71352277.7736,0,0.66
2024-05-15,0.5002,0.5196,0.4967,0.5188,323956909.0,1715817599999,163996243.7466,136661,164762450.0,83393934.9846,0,0.64
2024-05-16,0.5188,0.5228,0.5123,0.5157,327561119.0,1715903999999,169549941.3106,136787,153800264.0,79605862.5905,0,0.7
2024-05-17,0.5158,0.5292,0.5135,0.5234,286496760.0,1715990399999,149222311.8864,123562,143678644.0,74823239.0129,0,0.74
2024-05-18,0.5235,0.5256,0.5186,0.5213,90176826.0,1716076799999,47112655.4979,58571,40163730.0,20984352.0482,0,0.73
2024-05-19,0.5213,0.5236,0.5063,0.5096,112974578.0,1716163199999,58212030.835,72307,49085000.0,25292281.2832,0,0.72
2024-05-20,0.5096,0.538,0.5064,0.5377,404880454.0,1716249599999,211108604.7321,190770,205499118.0,107174265.245,0,0.7
2024-05-21,0.5377,0.5571,0.5319,0.537,491396281.0,1716335999999,265966456.3389,247339,234285022.0,126844602.6999,0,0.76
2024-05-22,0.537,0.5383,0.5224,0.5268,303183587.0,1716422399999,161365019.6231,162091,137112842.0,72994276.3438,0,0.76
2024-05-23,0.5268,0.5488,0.5027,0.5289,585134596.0,1716508799999,307894786.7569,338090,293614312.0,154503164.2371,0,0.76
2024-05-24,0.5288,0.5375,0.5168,0.536,322992520.0,1716595199999,170784784.7435,170176,150272429.0,79447311.3353,0,0.74
2024-05-25,0.5359,0.5426,0.5318,0.5416,132376204.0,1716681599999,71152613.0006,101486,62786261.0,33754052.8785,0,0.76
2024-05-26,0.5416,0.542,0.5255,0.5283,108799266.0,1716767999999,58125721.5082,79119,49332126.0,26354199.7255,0,0.75
2024-05-27,0.5283,0.5409,0.5236,0.534,244982717.0,1716854399999,130266495.3384,143561,120033567.0,63819125.5009,0,0.74
2024-05-28,0.5339,0.5355,0.5211,0.5287,282469800.0,1716940799999,149284045.0986,150940,136960399.0,72388293.6419,0,0.72
2024-05-29,0.5286,0.5334,0.52,0.5238,316791079.0,1717027199999,167216243.8768,162150,150166967.0,79254713.1144,0,0.72
2024-05-30,0.5238,0.5283,0.5127,0.5186,361762802.0,1717113599999,188381860.4883,155622,161403256.0,84067753.2613,0,0.73
2024-05-31,0.5185,0.5259,0.5119,0.5176,304398744.0,1717199999999,158091721.3251,133418,141633590.0,73562747.9591,0,0.73
2024-06-01,0.5176,0.5219,0.5174,0.5187,88294554.0,1717286399999,45883952.1242,52691,38919654.0,20223664.8297,0,0.72
2024-06-02,0.5187,0.5209,0.508,0.5135,130902096.0,1717372799999,67445068.4335,76015,61760284.0,31819953.5367,0,0.73
