open_time,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base,taker_buy_quote,ignore,fg_index
2024-05-01,0.915,0.933,0.87,0.925,5524025.5,1714607999999,4980235.972,36412,2666661.5,2404930.7332,0,0.54
2024-05-02,0.925,0.948,0.897,0.937,3454461.2,1714694399999,3183887.1505,23432,1705200.9,1571667.0262,0,0.43
2024-05-03,0.937,0.984,0.925,0.976,4287708.1,1714780799999,4067860.9563,24729,2116060.8,2008225.3122,0,0.48
2024-05-04,0.975,0.982,0.963,0.966,3257429.4,1714867199999,3164991.6164,15834,1587573.3,1542818.7738,0,0.67
2024-05-05,0.966,0.981,0.947,0.965,2335794.9,1714953599999,2245734.6991,15362,1179906.0,1134585.0165,0,0.69
2024-05-06,0.965,0.991,0.935,0.94,4654629.4,1715039999999,4459201.6327,25334,2422527.6,2320440.7236,0,0.71
2024-05-07,0.94,0.952,0.919,0.923,4578081.9,1715126399999,4290267.2783,23031,2360901.6,2212057.8688,0,0.68
2024-05-08,0.923,0.949,0.91,0.921,4276703.8,1715212799999,3977726.0352,24460,2164328.6,2014225.8164,0,0.64
2024-05-09,0.921,0.945,0.902,0.94,2830494.5,1715299199999,2614603.1846,17170,1361496.8,1257662.1772,0,0.55
2024-05-10,0.939,0.967,0.895,0.91,4869797.8,1715385599999,4560853.3912,32515,2474124.7,2319493.0198,0,0.66
2024-05-11,0.909,0.926,0.905,0.908,3460786.2,1715471999999,3160411.0665,21099,1708887.5,1560904.2279,0,0.53
2024-05-12,0.907,0.911,0.884,0.889,2172778.0,1715558399999,1955571.0582,11628,1137003.7,1023413.4462,0,0.56
2024-05-13,0.889,0.914,0.859,0.885,5493536.2,1715644799999,4885869.7186,26910,2636340.4,2343436.4392,0,0.57
2024-05-14,0.885,0.898,0.866,0.87,11048681.0,1715731199999,9749398.831,35987,5491503.8,4846737.517,0,0.66
2024-05-15,0.87,0.921,0.858,0.916,6407299.4,1715817599999,5687828.9834,22725,3111820.3,2765947.7803,0,0.64
2024-05-16,0.917,0.93,0.9,0.924,6558077.0,1715903999999,5998553.284,21687,3218757.5,2945495.4611,0,0.7
2024-05-17,0.924,0.955,0.917,0.941,5074479.9,1715990399999,4760532.457,16915,2433829.5,2283056.9912,0,0.74
2024-05-18,0.941,0.953,0.93,0.946,3588038.8,1716076799999,3377296.0888,12203,1855435.8,1747049.988,0,0.73
2024-05-19,0.947,0.954,0.902,0.91,2680849.4,1716163199999,2483949.9828,9826,1125046.5,1043789.3411,0,0.72
2024-05-20,0.911,0.987,0.898,0.986,8387467.8,1716249599999,7819653.5043,31000,4102926.5,3832018.9988,0,0.7
2024-05-21,0.986,1.012,0.979,0.989,7547613.8,1716335999999,7515020.9307,26873,3676249.4,3661689.559,0,0.76
2024-05-22,0.99,1.001,0.955,0.967,7957957.4,1716422399999,7760242.4657,28366,3938248.1,3840209.3459,0,0.76
2024-05-23,0.968,0.991,0.904,0.946,11639837.2,1716508799999,11098696.5152,42695,5673369.5,5408767.0245,0,0.76
2024-05-24,0.946,0.986,0.928,0.984,7633963.0,1716595199999,7325110.2268,31139,3697001.3,3546770.4145,0,0.74
2024-05-25,0.984,1.006,0.975,0.996,3603126.7,1716681599999,3572964.5547,14047,1786243.2,1771429.9101,0,0.76
2024-05-26,0.995,0.996,0.953,0.96,4938016.8,1716767999999,4802866.9923,17918,2377068.1,2312510.4716,0,0.75
