open_time,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base,taker_buy_quote,ignore,fg_index
2024-05-01,8.25,8.48,7.81,8.43,365553.81,1714607999999,2978095.5883,18315,179151.37,1459178.2769,0,0.54
2024-05-02,8.42,8.81,8.11,8.68,168628.82,1714694399999,1429872.3507,9533,82808.16,702600.4831,0,0.43
2024-05-03,8.68,8.89,8.48,8.8,222536.15,1714780799999,1934269.8833,11447,103494.73,902301.4265,0,0.48
2024-05-04,8.79,8.97,8.69,8.78,146257.55,1714867199999,1289863.7403,8140,68272.88,602348.1674,0,0.67
2024-05-05,8.78,9.18,8.6,9.03,200426.12,1714953599999,1780551.0619,11964,86173.46,765438.2866,0,0.69
2024-05-06,9.03,9.32,8.85,8.93,232669.83,1715039999999,2105774.3635,15766,106971.86,968885.3908,0,0.71
2024-05-07,8.93,9.1,8.7,8.79,234107.43,1715126399999,2083292.4452,15233,112863.7,1003343.3459,0,0.68
2024-05-08,8.79,8.99,8.62,8.9,193062.51,1715212799999,1696573.2546,13059,94486.81,829934.9048,0,0.64
2024-05-09,8.9,9.23,8.64,9.16,231200.36,1715299199999,2069903.0343,15643,106170.58,950603.1305,0,0.55
2024-05-10,9.16,9.33,8.49,8.6,280581.52,1715385599999,2492701.2908,16551,140605.47,1246080.2744,0,0.66
2024-05-11,8.61,8.77,8.37,8.42,122448.4,1715471999999,1050905.4241,9125,55371.33,474821.9927,0,0.53
2024-05-12,8.42,8.5,8.07,8.14,199802.51,1715558399999,1654558.9036,13459,94354.43,780263.2647,0,0.56
2024-05-13,8.14,8.64,7.83,8.28,364746.05,1715644799999,3035601.5345,25055,165624.4,1376167.6417,0,0.57
2024-05-14,8.27,8.5,8.06,8.11,245232.1,1715731199999,2034306.0891,18685,106520.74,883368.189,0,0.66
2024-05-15,8.11,8.65,8.07,8.52,302309.05,1715817599999,2516638.5319,21331,150228.72,1251502.2131,0,0.64
2024-05-16,8.53,8.67,8.05,8.35,334012.56,1715903999999,2782005.3295,20130,170791.55,1423881.837,0,0.7
2024-05-17,8.35,8.75,8.23,8.67,225124.22,1715990399999,1921329.8071,16425,118417.84,1008274.8222,0,0.74
2024-05-18,8.66,8.69,8.41,8.55,119407.48,1716076799999,1023502.0413,11294,54509.26,467103.5893,0,0.73
2024-05-19,8.55,8.58,8.11,8.23,185098.14,1716163199999,1547525.0372,16163,92863.89,777560.4303,0,0.72
2024-05-20,8.23,9.09,8.07,9.03,319293.06,1716249599999,2727976.4661,27369,144950.82,1240024.9191,0,0.7
