,0
hour_of_day,3647
fg_index_d1,2939
cci_delta_1h,2555
pct_chg1_1h,2185
pct_chg3_1h,2053
cci_1h,1679
bear_streak_1h,1639
close_spread_1h_4h,1516
day_of_week,1498
pct_chg3_4h,1322
atr_pct_ratio_1h_4h,1293
lower_wick_ratio_1h,1291
pct_chg6_1h,1290
atr_chg_1h,1260
hv_7d_1h,1259
upper_wick_ratio_1h,1251
bull_streak_1h,1194
pct_chg6_4h,1033
rsi_slope_4h,997
cg_market_cap_roc_d1,961
rsi_diff_1h_4h,928
atr_chg_d1,902
lower_wick_ratio_4h,876
vol_roc_1h,863
bb_width_chg_1h,862
donchian_perc_d1,836
macd_hist_1h,809
skewness_1h,807
bb_width_ratio_1h_4h,748
cg_market_cap_roc_1h,738
vol_ma_ratio_long_1h,703
long_lower_shadow_1h,667
kurtosis_1h,633
btc_correlation_1h_1h,630
volume_cg_ratio_1h,624
obv_delta_1h,606
eth_correlation_1h_1h,526
long_upper_shadow_1h,506
vol_profile_density_1h,496
hv_14d_d1,493
vol_breakout_1h,452
vol_breakout_d1,447
cg_total_volume_roc_1h,433
vol_breakout_4h,421
