,0
fg_index_d1,2910
hour_of_day,2726
day_of_week,2391
hv_7d_1h,1490
atr_chg_d1,1351
cg_market_cap_roc_1h,1287
price_ratio_cg_1h,1282
long_lower_shadow_1h,1240
atr_pct_ratio_1h_4h,1229
pct_chg6_4h,1176
vol_breakout_1h,1114
pct_chg6_d1,1101
cg_total_volume_roc_1h,1042
long_upper_shadow_1h,1042
atr_pct_d1,1017
macd_hist_1h,836
vol_breakout_d1,800
cg_market_cap_roc_d1,779
pct_chg3_4h,719
vol_breakout_4h,688
rsi_slope_4h,680
donchian_perc_d1,669
ema_diff_d1,632
btc_correlation_1h_1h,606
hv_14d_d1,591
close_spread_1h_4h,589
obv_delta_1h,577
pct_chg6_1h,576
pct_chg3_1h,547
rsi_diff_1h_4h,531
cci_1h,529
bb_width_ratio_1h_4h,503
atr_chg_1h,452
lower_wick_ratio_4h,448
vol_profile_density_1h,445
bb_width_chg_1h,409
supertrend_dir_d1,393
eth_correlation_1h_1h,348
skewness_1h,329
bear_streak_1h,323
vol_ma_ratio_long_1h,312
kurtosis_1h,295
adx_delta_1h,253
vol_roc_1h,239
pct_chg1_1h,217
upper_wick_ratio_1h,205
volume_cg_ratio_1h,197
cci_delta_1h,181
lower_wick_ratio_1h,180
bull_streak_1h,172
buy_sell_ratio_1h,96
