,0
fg_index_d1,1213
cci_delta_1h,1172
rsi_diff_1h_4h,955
cci_1h,932
atr_pct_ratio_1h_4h,833
day_of_week,764
pct_chg3_4h,761
hour_of_day,672
hv_7d_4h,625
vol_ma_ratio_long_1h,538
pct_chg1_4h,412
macd_hist_diff_1h_d1,412
lower_wick_ratio_4h,398
pct_chg6_4h,363
atr_chg_4h,345
upper_wick_ratio_4h,328
cci_delta_4h,314
hv_30d_4h,312
bb_width_chg_4h,279
vol_ratio_1h_4h,210
rsi_slope_4h,184
cg_total_volume_roc_4h,172
skewness_4h,150
funding_rate_anom_d1,130
vol_roc_4h,119
volume_cg_ratio_4h,99
cg_market_cap_roc_4h,81
kurtosis_4h,68
long_lower_shadow_4h,65
vol_breakout_4h,31
