number,value,datetime_start,datetime_complete,duration,params_lambda_l2,params_lr,params_md,params_nl,system_attrs_completed_rung_0,state
0,-0.005182676887311241,2025-06-23 12:04:52.207475,2025-06-23 12:05:13.105561,0 days 00:00:20.898086,0.3959563547045746,0.04959705321870689,6,68,0.005324346341462742,COMPLETE
1,-0.005184565260087712,2025-06-23 12:05:13.106559,2025-06-23 12:05:33.870446,0 days 00:00:20.763887,0.11134153829072785,0.05237913338983604,4,75,0.005340686406863053,COMPLETE
2,-0.005185352492902185,2025-06-23 12:05:33.870446,2025-06-23 12:05:53.981633,0 days 00:00:20.111187,0.3990557335850822,0.053752564612339244,8,87,0.005683950125866689,COMPLETE
3,0.005339142320682056,2025-06-23 12:05:53.982631,2025-06-23 12:06:07.135882,0 days 00:00:13.153251,0.1715703240030494,0.03994533365111637,6,82,0.005339142320682056,PRUNED
4,0.005647094104216579,2025-06-23 12:06:07.136879,2025-06-23 12:06:17.599215,0 days 00:00:10.462336,0.4080880172346509,0.06627234022598454,12,44,0.005647094104216579,PRUNED
5,0.005671234112552193,2025-06-23 12:06:17.599215,2025-06-23 12:06:28.255312,0 days 00:00:10.656097,0.05540292098462701,0.05985339231567161,8,47,0.005671234112552193,PRUNED
6,0.005394023529332403,2025-06-23 12:06:28.255312,2025-06-23 12:06:42.164189,0 days 00:00:13.908877,0.03200231457382363,0.03440307780290958,4,74,0.005394023529332403,PRUNED
7,0.005647531072145181,2025-06-23 12:06:42.165185,2025-06-23 12:06:52.339097,0 days 00:00:10.173912,0.02290250450516873,0.05893797460727992,10,81,0.005647531072145181,PRUNED
8,0.005339067391096488,2025-06-23 12:06:52.339097,2025-06-23 12:07:04.783485,0 days 00:00:12.444388,0.40145473354892214,0.04303400226558628,5,63,0.005339067391096488,PRUNED
9,0.005359000272212753,2025-06-23 12:07:04.784483,2025-06-23 12:07:16.522489,0 days 00:00:11.738006,0.1567107037024788,0.04189608958440214,4,46,0.005359000272212753,PRUNED
10,0.005629769469805771,2025-06-23 12:07:16.523487,2025-06-23 12:07:26.668476,0 days 00:00:10.144989,0.49983924199130025,0.07923629065300468,7,31,0.005629769469805771,PRUNED
11,0.005334047931617483,2025-06-23 12:07:26.669473,2025-06-23 12:07:40.965380,0 days 00:00:14.295907,0.2612275976087651,0.049468328287199596,6,66,0.005334047931617483,PRUNED
12,0.0053293837551160374,2025-06-23 12:07:40.965380,2025-06-23 12:07:55.544112,0 days 00:00:14.578732,0.258223819923617,0.047360886242223336,5,63,0.0053293837551160374,PRUNED
13,0.005347257770408073,2025-06-23 12:07:55.545109,2025-06-23 12:08:14.875803,0 days 00:00:19.330694,0.13194695683390267,0.032306733634199496,6,93,0.005347257770408073,PRUNED
14,0.005617241974682104,2025-06-23 12:08:14.876800,2025-06-23 12:08:26.803535,0 days 00:00:11.926735,0.3137007323152794,0.0682422958023684,10,71,0.005617241974682104,PRUNED
