,0
hour_of_day,3010
day_of_week,2316
ma_ratio_1h_d1,1411
price_ratio_cg_1h,1341
atr_pct_1h,1333
ma_ratio_1h_4h,1312
rsi_diff_1h_4h,1241
macd_hist_diff_1h_4h,1146
rsi_diff_1h_d1,1066
btc_correlation_1h_1h,934
vol_ma_ratio_long_1h,933
bb_width_ratio_1h_4h,917
atr_pct_ratio_1h_4h,886
hv_7d_1h,886
eth_correlation_1h_1h,777
atr_pct_ratio_1h_d1,739
eth_correlation_1h_4h,716
hv_30d_1h,699
hv_14d_1h,652
rsi_1h_mul_vol_ma_ratio_4h,610
btc_correlation_1h_4h,599
adx_1h,583
vol_ratio_1h_4h,578
volume_cg_ratio_1h,422
vol_ratio_1h_d1,387
