,0
hour_of_day,2117
day_of_week,1847
price_ratio_cg_1h,1603
ma_ratio_1h_d1,1439
atr_pct_1h,1352
macd_hist_diff_1h_4h,1324
atr_pct_ratio_1h_4h,1059
stoch_d_1h,963
rsi_diff_1h_d1,902
vol_ratio_1h_4h,836
btc_correlation_1h_4h,815
hv_7d_1h,787
eth_correlation_1h_4h,759
atr_pct_ratio_1h_d1,758
rsi_diff_1h_4h,755
rsi_1h_mul_vol_ma_ratio_4h,741
adx_1h,740
btc_correlation_1h_1h,718
eth_correlation_1h_1h,701
hv_14d_1h,639
long_lower_shadow_1h,605
cg_total_volume_roc_1h,527
rsi_bear_div_1h,517
long_upper_shadow_1h,501
cg_market_cap_roc_1h,395
