,0
day_of_week,1532
hour_of_day,1526
ma_ratio_1h_4h,1445
price_ratio_cg_1h,1410
break_support_1h,1322
ma_ratio_1h_d1,1306
atr_pct_ratio_1h_4h,1223
cg_total_volume_roc_1h,1168
hv_7d_1h,1154
atr_pct_ratio_1h_d1,927
stoch_d_1h,912
hv_30d_1h,844
eth_correlation_1h_4h,841
hv_14d_1h,769
rsi_1h_mul_vol_ma_ratio_4h,767
cg_market_cap_roc_1h,763
btc_correlation_1h_4h,755
rsi_diff_1h_d1,748
rsi_diff_1h_4h,713
btc_correlation_1h_1h,694
adx_delta_1h,658
adx_1h,656
volume_cg_ratio_1h,642
eth_correlation_1h_1h,624
vol_ma_ratio_1h,571
