,0
hour_of_day,1900
ma_ratio_1h_d1,1719
hv_7d_1h,1458
day_of_week,1394
rsi_bear_div_1h,1325
long_upper_shadow_1h,1322
long_lower_shadow_1h,1283
rsi_bull_div_1h,1270
atr_pct_ratio_1h_4h,1227
pct_chg3_1h,1149
donchian_delta_1h,1107
price_ratio_cg_1h,1088
cg_total_volume_roc_1h,1056
macd_hist_diff_1h_4h,963
obv_delta_1h,754
rsi_diff_1h_d1,709
adx_1h,629
cg_market_cap_roc_1h,613
volume_cg_ratio_1h,571
bb_width_ratio_1h_4h,539
vol_ma_ratio_long_1h,505
rsi_1h_mul_vol_ma_ratio_4h,477
adx_delta_1h,466
ichimoku_cloud_thickness_1h,429
vol_ratio_1h_4h,428
