number,value,datetime_start,datetime_complete,duration,params_lambda_l2,params_lr,params_md,params_nl,state
0,-0.053832260028801815,2025-07-23 23:12:30.445965,2025-07-23 23:12:31.537673,0 days 00:00:01.091708,1.980188739952806,0.027841048881644227,8,128,COMPLETE
1,-0.05385464026494059,2025-07-23 23:12:31.538670,2025-07-23 23:12:32.693726,0 days 00:00:01.155056,1.465884674791163,0.02364405700456733,7,97,COMPLETE
2,-0.053779008318842615,2025-07-23 23:12:32.693726,2025-07-23 23:12:33.666108,0 days 00:00:00.972382,1.6400421993662144,0.055868144939336714,8,118,COMPLETE
3,-0.053850162416583316,2025-07-23 23:12:33.667106,2025-07-23 23:12:34.763316,0 days 00:00:01.096210,1.1710328515159454,0.027972618249353678,8,125,COMPLETE
4,-0.05384135198764077,2025-07-23 23:12:34.763316,2025-07-23 23:12:35.907746,0 days 00:00:01.144430,1.2531397658642116,0.022948997411493952,7,105,COMPLETE
5,-0.053857708003447836,2025-07-23 23:12:35.907746,2025-07-23 23:12:37.131751,0 days 00:00:01.224005,0.9677866519117244,0.020505561478081025,9,66,COMPLETE
6,-0.053863178406221825,2025-07-23 23:12:37.131751,2025-07-23 23:12:38.332907,0 days 00:00:01.201156,1.3297239430260195,0.02034597064792861,8,67,COMPLETE
7,-0.05382228127191485,2025-07-23 23:12:38.332907,2025-07-23 23:12:39.416578,0 days 00:00:01.083671,1.55659313405932,0.023430978138184233,4,102,COMPLETE
8,-0.05382971228322042,2025-07-23 23:12:39.416578,2025-07-23 23:12:40.544145,0 days 00:00:01.127567,0.7864273895902966,0.031247421805753704,10,92,COMPLETE
9,-0.05383701871679889,2025-07-23 23:12:40.544145,2025-07-23 23:12:41.656174,0 days 00:00:01.112029,1.0629720887406977,0.027797960597775524,8,123,COMPLETE
10,-0.05381687033952419,2025-07-23 23:12:41.657171,2025-07-23 23:12:42.568909,0 days 00:00:00.911738,1.8294912594760502,0.05943245364376046,5,114,COMPLETE
11,-0.05381685392182982,2025-07-23 23:12:42.568909,2025-07-23 23:12:43.542299,0 days 00:00:00.973390,1.8386146258836984,0.059460620357211225,5,113,COMPLETE
12,-0.0538097037103379,2025-07-23 23:12:43.543297,2025-07-23 23:12:44.496399,0 days 00:00:00.953102,1.6949397043741232,0.05839474208553907,6,115,COMPLETE
13,-0.053784046665626674,2025-07-23 23:12:44.496399,2025-07-23 23:12:45.521570,0 days 00:00:01.025171,1.6168933366455642,0.04615810322636522,6,113,COMPLETE
14,-0.05378407752009477,2025-07-23 23:12:45.521570,2025-07-23 23:12:46.496099,0 days 00:00:00.974529,1.5693552425608477,0.04612911110661602,6,85,COMPLETE
