symbol,time,price,signal,score,pos,stop_loss,take_profit
1INCHUSDT,2025-05-29 06:00:00,0.2393,0,0.09561266107147888,0.0,,
AAVEUSDT,2025-05-29 06:00:00,270.33,0,0.019292437315934607,0.0,,
ADAUSDT,2025-05-29 06:00:00,0.7527,0,-0.040568172937217484,0.0,,
ALGOUSDT,2025-05-29 06:00:00,0.2186,0,-0.07799860050813431,0.0,,
ALICEUSDT,2025-05-29 06:00:00,0.4814,0,0.07233089502228887,0.0,,
ALPHAUSDT,2025-05-29 06:00:00,0.0294,0,0.03101960092882647,0.0,,
ANKRUSDT,2025-05-29 06:00:00,0.01803,0,0.03950646556831966,0.0,,
ARPAUSDT,2025-05-29 06:00:00,0.02536,0,0.03869881292422525,0.0,,
ARUSDT,2025-05-29 06:00:00,7.52,-1,-0.35544017883504386,0.35544017883504386,7.994045170023496,7.045954829976504
ATAUSDT,2025-05-29 06:00:00,0.0503,0,-0.010505107156450283,0.0,,
ATOMUSDT,2025-05-29 06:00:00,4.82,-1,-0.3151569953479969,0.3151569953479969,5.056946280468623,4.583053719531377
AVAXUSDT,2025-05-29 06:00:00,23.8,0,-0.24823807248882293,0.0,,
AXSUSDT,2025-05-29 06:00:00,2.886,0,-0.24851823935752873,0.0,,
BAKEUSDT,2025-05-29 06:00:00,0.1369,-1,-0.33533171165151676,0.33533171165151676,0.14617707717952505,0.12762292282047494
BANDUSDT,2025-05-29 06:00:00,0.746,0,0.04981551673861909,0.0,,
BATUSDT,2025-05-29 06:00:00,0.1427,0,0.005590934208512921,0.0,,
BCHUSDT,2025-05-29 06:00:00,423.1,0,0.02626811394363182,0.0,,
BELUSDT,2025-05-29 06:00:00,0.3354,0,0.08684659725369512,0.0,,
BNBUSDT,2025-05-29 06:00:00,682.91,0,-0.2345715420872238,0.0,,
BTCUSDT,2025-05-29 06:00:00,107942.12,0,-0.16589565548306784,0.0,,
C98USDT,2025-05-29 06:00:00,0.0618,0,-0.21034297178800698,0.0,,
CELOUSDT,2025-05-29 06:00:00,0.3765,0,0.08063594249078945,0.0,,
CELRUSDT,2025-05-29 06:00:00,0.00972,0,0.04379684337081616,0.0,,
CHRUSDT,2025-05-29 06:00:00,0.098,-1,-0.36606731006077137,0.36606731006077137,0.10445110132811534,0.09154889867188466
CHZUSDT,2025-05-29 06:00:00,0.04401,0,0.010759811151214327,0.0,,
COMPUSDT,2025-05-29 06:00:00,43.09,0,-0.06465062120325367,0.0,,
COTIUSDT,2025-05-29 06:00:00,0.07058,0,0.08247592212762642,0.0,,
CRVUSDT,2025-05-29 06:00:00,0.7846,0,0.046830398197186957,0.0,,
CTSIUSDT,2025-05-29 06:00:00,0.0745,0,0.0016767224622629973,0.0,,
DASHUSDT,2025-05-29 06:00:00,23.78,0,-0.17627378173021616,0.0,,
DENTUSDT,2025-05-29 06:00:00,0.000844,0,0.016692054654436128,0.0,,
DOGEUSDT,2025-05-29 06:00:00,0.22501,0,-0.05624623069884273,0.0,,
DOTUSDT,2025-05-29 06:00:00,4.577,0,0.044696087457464076,0.0,,
DUSKUSDT,2025-05-29 06:00:00,0.0811,-1,-0.33412914091497237,0.33412914091497237,0.08641961708510155,0.07578038291489846
DYDXUSDT,2025-05-29 06:00:00,0.6421,0,0.16881534398709216,0.0,,
EGLDUSDT,2025-05-29 06:00:00,18.01,0,-0.23496379644581258,0.0,,
ENJUSDT,2025-05-29 06:00:00,0.0889,0,-0.06564124952111361,0.0,,
ENSUSDT,2025-05-29 06:00:00,24.58,0,0.16650300986879302,0.0,,
ETCUSDT,2025-05-29 06:00:00,18.87,0,0.06811431953144635,0.0,,
ETHUSDT,2025-05-29 06:00:00,2730.6,0,-0.001643190788288118,0.0,,
FILUSDT,2025-05-29 06:00:00,2.876,0,-0.21090875067510612,0.0,,
FLMUSDT,2025-05-29 06:00:00,0.0476,0,0.05842802807591389,0.0,,
GALAUSDT,2025-05-29 06:00:00,0.01956,0,-0.302603051387308,0.0,,
GRTUSDT,2025-05-29 06:00:00,0.111,-1,-0.31630960270756997,0.31630960270756997,0.11823794745941549,0.10376205254058452
GTCUSDT,2025-05-29 06:00:00,0.295,0,0.06789224513277967,0.0,,
HBARUSDT,2025-05-29 06:00:00,0.18582,0,-0.05302259984324326,0.0,,
HOTUSDT,2025-05-29 06:00:00,0.001134,0,-0.01942465975131455,0.0,,
ICXUSDT,2025-05-29 06:00:00,0.1199,0,0.0091159603745401,0.0,,
IOSTUSDT,2025-05-29 06:00:00,0.003885,0,-0.09485226549600229,0.0,,
IOTAUSDT,2025-05-29 06:00:00,0.2088,0,0.013455617206150072,0.0,,
IOTXUSDT,2025-05-29 06:00:00,0.02311,0,-0.05869768730082428,0.0,,
KAVAUSDT,2025-05-29 06:00:00,0.4268,0,-0.023546452360059034,0.0,,
KNCUSDT,2025-05-29 06:00:00,0.3628,-1,-0.3636243892333145,0.3636243892333145,0.37996427498577995,0.3456357250142201
KSMUSDT,2025-05-29 06:00:00,18.6,0,0.024311912436465133,0.0,,
LINKUSDT,2025-05-29 06:00:00,15.83,0,0.014059118577955082,0.0,,
LPTUSDT,2025-05-29 06:00:00,5.605,0,-0.014061943170164376,0.0,,
LRCUSDT,2025-05-29 06:00:00,0.0983,0,-0.06724803640887925,0.0,,
LTCUSDT,2025-05-29 06:00:00,97.08,0,0.008617153337807812,0.0,,
MANAUSDT,2025-05-29 06:00:00,0.3106,0,-0.02756661387641393,0.0,,
MASKUSDT,2025-05-29 06:00:00,2.348,1,0.4157034169832142,0.4157034169832142,2.147704698657613,2.5482953013423866
MKRUSDT,2025-05-29 06:00:00,1753.0,0,0.08806319101039746,0.0,,
MTLUSDT,2025-05-29 06:00:00,0.799,0,-0.027395746286309336,0.0,,
NEARUSDT,2025-05-29 06:00:00,2.96,0,-0.17006185963411335,0.0,,
NEOUSDT,2025-05-29 06:00:00,6.71,0,-0.06706595939998296,0.0,,
NKNUSDT,2025-05-29 06:00:00,0.0358,0,-0.054805633713346916,0.0,,
OGNUSDT,2025-05-29 06:00:00,0.0665,0,0.0006171162409315673,0.0,,
ONEUSDT,2025-05-29 06:00:00,0.01436,0,0.1264588527172539,0.0,,
ONTUSDT,2025-05-29 06:00:00,0.143,0,-0.02045032573293845,0.0,,
PEOPLEUSDT,2025-05-29 06:00:00,0.02446,0,0.011131330845371518,0.0,,
QTUMUSDT,2025-05-29 06:00:00,2.204,0,0.03214011635349104,0.0,,
RLCUSDT,2025-05-29 06:00:00,1.168,0,0.0007775122468724749,0.0,,
ROSEUSDT,2025-05-29 06:00:00,0.03399,-1,-0.3385424363838213,0.3385424363838213,0.03644570846007114,0.03153429153992886
RSRUSDT,2025-05-29 06:00:00,0.008349,0,-0.16809509659703858,0.0,,
RUNEUSDT,2025-05-29 06:00:00,1.909,-1,-0.5808889494827899,0.5808889494827899,2.038536875794199,1.7794631242058008
RVNUSDT,2025-05-29 06:00:00,0.01228,0,0.11279899523375284,0.0,,
SANDUSDT,2025-05-29 06:00:00,0.3072,0,-0.044513014890706595,0.0,,
SFPUSDT,2025-05-29 06:00:00,0.5585,-1,-0.39264609420263863,0.39264609420263863,0.5771115703734303,0.5398884296265697
SKLUSDT,2025-05-29 06:00:00,0.02447,0,-0.09957122402298904,0.0,,
SNXUSDT,2025-05-29 06:00:00,0.791,0,0.10001764538619987,0.0,,
SOLUSDT,2025-05-29 06:00:00,172.46,-1,-0.546580757895379,0.546580757895379,179.47885525413278,165.44114474586723
STORJUSDT,2025-05-29 06:00:00,0.2945,0,0.034164377169906085,0.0,,
SUSHIUSDT,2025-05-29 06:00:00,0.761,0,0.033590273873812596,0.0,,
SXPUSDT,2025-05-29 06:00:00,0.1942,0,0.02710170593406533,0.0,,
THETAUSDT,2025-05-29 06:00:00,0.873,0,0.05762489959624048,0.0,,
TRBUSDT,2025-05-29 06:00:00,51.27,0,0.3548667224222456,0.0,,
TRXUSDT,2025-05-29 06:00:00,0.2745,0,-0.09327843740925425,0.0,,
UNIUSDT,2025-05-29 06:00:00,7.147,0,0.18715757286896723,0.0,,
VETUSDT,2025-05-29 06:00:00,0.02709,0,-0.17043466405739094,0.0,,
XLMUSDT,2025-05-29 06:00:00,0.2855,0,-0.019629106841471317,0.0,,
XRPUSDT,2025-05-29 06:00:00,2.2864,0,-0.033967542534469514,0.0,,
XTZUSDT,2025-05-29 06:00:00,0.643,0,0.07594957186279107,0.0,,
YFIUSDT,2025-05-29 06:00:00,5639.0,0,-0.18997695803052758,0.0,,
ZECUSDT,2025-05-29 06:00:00,53.32,0,0.04427694810616624,0.0,,
ZENUSDT,2025-05-29 06:00:00,9.55,0,0.04135263552434619,0.0,,
